VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,goodOB,EM,SUB,LUM,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag
312,152.944902,-57.91943,16.57,16.34,15.102,15.091,14.37,14.79,12.98,12.598,12.432,4.295,4.338,3.858,12.79,3.87,1,0,0,0,12.014,12.052,8.476,6.477,0.026,0.031,0.061,0.151
314,153.951795,-57.145765,16.485,15.815,13.823,13.832,12.668,13.414,10.732,10.14,9.812,4.571,6.53,3.565,12.79,1.16,1,0,0,1,9.62,9.574,9.796,8.539,0.023,0.019,0.051,0.26
315,153.876703,-57.209975,19.289,17.84,15.275,15.27,13.794,14.798,11.002,10.183,9.696,4.372,8.449,3.768,10.33,0.94,1,0,0,1,9.432,9.297,10.312,7.967,0.023,0.021,0.173,
317,152.758847,-58.083649,12.813,13.096,12.255,12.26,11.738,12.011,10.805,10.593,10.366,4.362,3.321,4.039,11.45,3.26,1,0,0,1,9.929,9.609,6.638,3.576,0.023,0.021,0.019,0.024
319,153.081041,-57.841641,14.218,14.318,13.313,13.31,12.736,13.059,11.752,11.496,11.333,4.358,3.5,3.65,12.36,0.42,1,0,0,0,11.269,11.278,11.71,6.465,0.026,0.028,,0.167
321,153.330275,-57.651605,17.477,16.962,15.454,15.444,14.594,15.11,13.021,12.585,12.427,4.297,4.884,3.607,12.73,6.82,1,0,0,0,12.201,12.232,10.613,7.391,0.027,0.035,0.239,0.144
326,153.558772,-57.479273,20.631,19.726,17.629,17.637,16.419,17.213,14.113,13.476,13.069,4.414,7.1,3.815,14.25,1.6,1,0,0,0,12.749,12.685,8.804,6.499,0.043,0.037,0.05,0.1
335,153.671128,-57.416305,20.839,19.721,17.401,17.397,16.08,16.943,13.606,12.853,12.491,4.455,7.696,3.727,13.99,2.47,1,0,0,0,12.195,12.106,11.226,8.293,0.032,0.04,,
337,154.104518,-57.08418,20.847,19.514,16.878,16.88,15.352,16.319,12.682,11.893,11.405,4.539,8.523,3.602,13.82,1.82,1,0,0,0,10.989,10.746,9.688,7.127,0.024,0.024,0.233,0.135
340,153.998076,-57.173581,19.842,18.846,16.659,16.667,15.399,16.239,13.264,12.586,12.34,4.516,6.997,3.481,14.59,6.81,1,0,0,0,12.176,12.261,10.132,8.61,0.03,0.035,,
345,154.024659,-57.163141,18.004,17.252,15.225,15.267,14.093,14.825,11.937,11.347,11.034,4.471,6.732,3.7,12.81,2.68,1,0,0,0,10.65,10.544,8.842,6.253,0.023,0.021,0.041,0.078
349,154.321321,-56.935518,20.876,19.641,17.434,17.449,16.132,17.009,13.898,13.31,12.867,4.362,7.02,3.542,13.6,3.87,1,0,0,0,12.347,12.439,11.576,8.935,0.024,0.027,,
350,153.448778,-57.638184,20.117,18.934,16.76,16.747,15.513,16.322,13.201,12.512,12.168,4.299,6.988,3.686,12.31,1.9,1,0,0,0,11.8,11.833,10.055,7.206,0.026,0.023,,0.093
352,153.253025,-57.799363,18.189,17.515,15.733,15.728,14.683,15.335,12.745,12.184,11.888,4.352,6.025,3.781,12.57,2.2,1,0,0,0,11.667,11.696,12.317,7.456,0.029,0.034,,
354,153.620899,-57.51636,17.507,16.611,14.499,14.499,13.282,14.076,11.17,10.545,10.233,4.482,6.842,3.549,12.14,1.89,1,0,0,1,10.057,9.994,9.474,6.519,0.024,0.021,0.206,
355,154.103302,-57.13514,16.622,16.088,14.227,14.216,13.144,13.813,11.347,10.79,10.575,4.598,6.105,3.519,13.89,4.63,1,0,0,0,10.293,10.238,9.819,8.574,0.023,0.022,0.104,
357,153.919392,-57.286169,19.772,18.29,15.611,15.593,14.02,15.122,11.212,10.387,9.993,4.567,8.796,3.604,12.64,7.51,1,0,0,1,9.622,9.531,8.668,6.175,0.022,0.021,0.115,0.066
361,154.209593,-57.062754,20.226,19.098,16.988,16.996,15.762,16.561,13.688,13.046,12.78,4.332,6.564,3.471,13.24,4.61,1,0,0,0,12.552,12.558,11.555,8.492,0.027,0.029,0.165,0.26
362,154.244536,-57.037452,20.328,18.981,16.724,16.718,15.391,16.291,13.193,12.539,12.195,4.319,6.941,3.422,12.55,3.84,1,0,0,1,11.705,11.704,12.653,9.185,0.026,0.027,,
367,154.091158,-57.17482,18.326,17.427,15.399,15.377,14.21,14.975,12.166,11.534,11.237,4.403,6.582,3.585,12.35,2.8,1,0,0,0,10.933,10.748,7.014,3.265,0.029,0.029,0.025,0.03
374,154.107755,-57.175893,20.341,19.304,16.849,16.822,15.399,16.391,12.725,11.881,11.51,4.592,8.393,3.814,14.47,5.56,1,0,0,0,11.058,10.706,5.979,1.671,0.035,0.038,0.026,0.02
376,154.220685,-57.090546,20.597,18.508,15.374,15.327,13.514,14.826,10.056,9.057,8.424,4.417,10.406,3.769,9.29,4.29,1,0,0,1,8.014,7.838,7.808,7.019,0.023,0.02,0.053,0.188
380,152.900929,-58.131658,14.918,14.611,13.234,13.193,12.435,12.869,11.12,10.691,10.451,4.329,4.523,3.618,11.14,1.34,1,0,0,1,10.335,10.326,10.518,9.211,0.023,0.021,,
382,154.076172,-57.215173,18.769,17.936,15.938,15.939,14.805,15.543,12.849,12.286,11.976,4.425,6.349,3.504,13.36,0.73,1,0,0,0,11.784,11.892,10.182,7.97,0.031,0.045,,
384,154.072293,-57.221221,16.046,15.517,13.638,13.638,12.56,13.248,10.706,10.16,9.914,4.594,6.191,3.562,13.18,2.68,1,0,0,0,9.743,9.743,8.663,7.352,0.024,0.026,,
386,153.099961,-57.991639,14.596,14.563,13.413,13.409,12.755,13.107,11.565,11.254,11.106,4.368,3.986,3.671,12.15,2.64,1,0,0,0,11.045,11.062,10.343,8.031,0.024,0.023,0.142,0.184
390,153.531055,-57.664835,17.008,16.044,14.039,14.034,12.819,13.582,10.654,10.022,9.701,4.35,6.696,3.7,10.31,5.57,1,0,0,1,9.482,9.413,5.135,0.543,0.022,0.02,0.015,0.022
396,154.167902,-57.164575,20.701,19.696,17.449,17.435,16.148,16.967,13.863,13.282,12.927,4.547,7.25,3.522,15.53,4.09,1,0,0,0,12.762,12.929,11.996,8.8,0.032,0.045,,
398,153.438055,-57.745855,15.533,15.329,14.116,14.072,13.388,13.769,12.138,11.843,11.625,4.314,4.094,3.63,12.2,2.44,1,0,0,0,11.484,11.473,9.581,5.864,0.031,0.035,0.256,
399,153.347965,-57.821383,14.651,14.508,13.258,13.264,12.556,12.955,11.266,10.918,10.727,4.344,4.244,3.71,11.54,0.88,1,0,0,1,10.593,10.624,9.917,5.926,0.023,0.023,0.235,0.06
400,153.421567,-57.765881,15.088,14.904,13.647,13.665,12.938,13.345,11.614,11.283,10.98,4.307,4.3,3.834,11.5,1.31,1,0,0,1,10.602,10.615,8.637,7.147,0.025,0.025,0.265,0.344
401,154.100351,-57.228229,18.782,18.042,15.924,15.949,14.752,15.533,12.492,11.855,11.566,4.569,7.078,3.721,14.4,4.98,1,0,0,0,11.211,11.195,9.143,7.571,0.025,0.033,0.21,
403,154.327687,-57.051395,14.461,14.402,13.351,13.341,12.678,12.768,11.767,11.424,11.233,4.313,3.55,3.538,11.89,6.44,1,1,0,1,10.637,10.357,9.515,8.84,0.022,0.019,0.071,0.403
404,154.112113,-57.228089,17.443,16.849,14.892,14.863,13.739,14.457,11.761,11.219,10.941,4.617,6.496,3.587,14.46,4.09,1,0,0,0,10.677,10.633,8.436,6.72,0.025,0.025,0.078,0.191
405,154.009332,-57.311851,19.622,18.012,15.232,15.244,13.597,14.716,10.619,9.703,9.21,4.481,9.236,3.723,10.85,1.85,1,0,0,1,8.807,8.644,9.84,7.133,0.023,0.02,,
406,154.255997,-57.112696,17.161,16.305,14.243,14.243,13.046,13.829,11.019,10.426,10.116,4.49,6.654,3.505,12.15,1.84,1,0,0,1,9.934,9.889,9.957,9.097,0.023,0.021,0.105,
412,152.899481,-58.199536,15.183,15.036,13.84,13.853,13.164,13.554,11.97,11.616,11.507,4.33,3.983,3.586,12.21,4.64,1,0,0,0,11.395,11.408,10.837,8.458,0.024,0.024,0.29,0.263
414,154.085038,-57.277031,20.09,18.4,15.772,15.751,14.225,15.28,11.453,10.566,10.182,4.316,8.417,3.644,10.3,6.91,1,0,0,1,9.745,9.596,6.778,1.832,0.023,0.022,0.028,0.019
416,154.116771,-57.255932,17.348,16.683,14.947,14.931,13.942,14.561,12.21,11.633,11.442,4.35,5.624,3.587,12.14,6.69,1,0,0,1,11.31,11.371,10.061,6.907,0.025,0.03,,
421,154.629185,-56.848672,13.05,13.302,12.538,12.525,12.098,12.289,11.353,11.239,11.146,4.334,2.685,3.466,12.04,3.53,1,0,0,1,11.081,11.141,11.695,8.04,0.022,0.022,,0.187
422,154.035724,-57.336358,18.605,17.657,15.637,15.64,14.462,15.226,12.492,11.855,11.59,4.368,6.389,3.508,12.4,4.14,1,0,0,1,11.398,11.401,9.156,6.538,0.029,0.043,,0.371
