col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,H_alfa,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
432,433,56.573458,49.782331,2.0,15.07,15.29,13.51,13.26,13.0,12.31,12.13,12.03,432.00,0.01,0.0,J034617.62+494656.3,56.573451,49.7823309,0.0412,0.0392,4.8,11.93,11.945,12.192,8.976,0.023,0.023,0.398,,0.024,0.031,0.025,557149901351023167,0000,0,00nn,AACU,-20,48,51,48,0.163,0.01618
456,457,56.5916047,48.4204317,2.0,13.63,12.56,12.23,11.71,11.52,10.98,10.87,10.78,456.00,0.01,0.0,J034621.98+482513.5,56.5915843,48.4204249,0.0422,0.0393,11.4,10.732,10.742,10.645,8.875,0.025,0.022,0.102,,0.022,0.028,0.021,562148401351028890,0000,0,000n,AAAU,16,44,-53,42,0.083,0.054523
459,460,56.711311,49.664611,2.0,15.2,14.59,13.82,13.64,13.31,12.54,12.36,12.25,459.00,0.0,0.0,J034650.70+493952.6,56.711254,49.6646233,0.0454,0.041,170.5,12.159,12.172,11.741,8.955,0.024,0.023,0.274,,0.024,0.032,0.026,557149901351023245,0000,0,nnnn,AABU,22,50,-26,50,0.124,0.140026
871,873,57.0236253,49.2958139,2.0,14.49,14.13,13.46,13.25,12.96,12.39,12.25,12.12,871.00,0.0,0.0,J034805.66+491744.9,57.0236111,49.295827,0.043,0.0405,7.3,12.027,12.024,12.191,8.392,0.023,0.024,0.388,,0.023,0.033,0.03,580149901351010300,0h00,0,00nn,AACU,79,51,-26,52,0.04,0.057713
828,830,57.033686,49.865078,2.0,13.85,13.25,12.42,12.18,12.0,11.46,11.34,11.26,828.00,0.01,0.0,J034808.09+495154.2,57.03371,49.8650779,0.0408,0.0372,14.2,11.202,11.181,11.145,8.378,0.023,0.022,0.151,,0.021,0.027,0.023,580149901351036074,h000,0,00nn,AABU,-35,44,43,44,0.08,0.0557
1064,1066,57.06337,50.651948,2.0,16.16,15.75,14.51,14.19,13.84,12.76,12.49,12.35,1.064.00,0.01,0.0,J034815.20+503906.9,57.0633546,50.6519427,0.0438,0.0409,1.5,12.246,12.259,12.514,9.154,0.024,0.023,0.512,,0.021,0.032,0.027,580149901351062793,0000,0,00nn,AACU,3,55,55,55,0.058,0.040023
615,617,57.1165778,49.1521294,2.0,14.17,14.06,13.21,12.69,12.41,11.78,11.62,11.49,615.00,0.0,0.0,J034827.97+490907.6,57.1165619,49.1521319,0.041,0.0382,12.4,11.419,11.418,11.423,8.306,0.023,0.022,0.21,,0.023,0.03,0.021,562148401351052168,0000,0,11nn,AABU,51,44,21,45,0.068,0.038541
410,411,57.209205,48.889387,2.0,15.18,14.35,13.07,12.73,12.49,11.63,11.38,11.23,410.00,0.21,1.0,J034850.20+485321.7,57.2092015,48.8893754,0.0404,0.0376,7.0,11.102,11.03,10.768,8.988,0.024,0.021,0.097,,0.023,0.028,0.023,562148401351049569,0000,0,001n,AAAU,-46,42,-30,42,0.084,0.042635
737,739,57.214661,47.881718,2.0,13.54,12.79,12.48,11.98,11.87,11.44,11.35,11.31,737.00,0.02,0.0,J034851.51+475254.1,57.2146553,47.8816996,0.0405,0.0374,7.2,11.249,11.257,11.279,9.073,0.024,0.022,0.168,0.506,0.021,0.028,0.021,562148401351000038,0000,0,11nn,AABC,13,42,137,42,0.068,0.067588
82,82,57.214675,47.881701,2.0,13.54,12.79,12.48,11.98,11.87,11.44,11.35,11.31,82.00,0.02,0.0,J034851.51+475254.1,57.2146553,47.8816996,0.0405,0.0374,7.2,11.249,11.257,11.279,9.073,0.024,0.022,0.168,0.506,0.021,0.028,0.021,562148401351000038,0000,0,11nn,AABC,13,42,137,42,0.068,0.047869
904,906,57.24352,47.895351,2.0,13.66,13.21,12.7,12.32,12.21,11.82,11.74,11.71,904.00,0.05,0.0,J034858.45+475343.1,57.2435755,47.895317,0.0416,0.0386,8.1,11.619,11.616,11.422,9.047,0.024,0.022,0.184,,0.021,0.03,0.024,562148401351000048,0000,0,11nn,AABU,93,44,58,44,0.181,0.181334
1015,1017,57.243551,47.895353,2.0,13.66,13.21,12.7,12.32,12.21,11.82,11.74,11.71,1.015.00,0.05,0.0,J034858.45+475343.1,57.2435755,47.895317,0.0416,0.0386,8.1,11.619,11.616,11.422,9.047,0.024,0.022,0.184,,0.021,0.03,0.024,562148401351000048,0000,0,11nn,AABU,93,44,58,44,0.181,0.142349
428,429,57.3475561,48.5579286,2.0,14.33,13.66,12.76,12.45,12.21,11.6,11.43,11.38,428.00,0.0,0.0,J034923.41+483328.5,57.3475631,48.5579366,0.0416,0.038,13.9,11.322,11.33,11.081,8.965,0.024,0.022,0.117,,0.025,0.027,0.023,562148401351026288,0000,0,11nn,AABU,-10,47,-54,47,0.102,0.033365
486,487,57.3547873,51.3673657,2.0,14.2,14.33,12.78,12.61,12.35,11.63,11.45,11.34,486.00,0.01,0.0,J034925.13+512202.5,57.3547421,51.3673853,0.0411,0.0384,5.6,11.252,11.251,10.962,8.984,0.024,0.022,0.112,,0.025,0.027,0.023,572151401351030626,dd00,0,000n,AABU,-44,43,71,45,0.1,0.123839
458,459,57.524112,50.48651,2.0,15.8,14.34,13.01,12.65,12.31,11.33,11.06,10.94,458.00,0.01,0.0,J035005.75+502911.5,57.5239794,50.48653,0.0402,0.0368,178.7,10.726,10.703,10.489,8.404,0.023,0.021,0.106,,0.023,0.028,0.023,580149901351060182,hh00,0,011n,AAAU,-38,40,40,40,0.39,0.312091
532,533,57.593999,49.831764,2.0,15.08,14.76,13.95,13.74,13.43,12.67,12.47,12.32,532.00,0.0,0.0,J035022.55+494954.3,57.5939974,49.8317637,0.0446,0.042,167.4,12.245,12.244,12.511,9.193,0.023,0.025,,,0.026,0.031,0.03,580149901351033559,0000,0,11nn,AAUU,-16,56,81,55,0.015,0.003975
528,529,57.6371008,48.3658033,2.0,14.09,14.45,12.86,12.69,12.5,11.88,11.79,11.65,528.00,0.02,0.0,J035032.90+482156.8,57.6370929,48.3657887,0.0412,0.0391,12.6,11.581,11.588,11.995,9.177,0.024,0.023,0.313,,0.026,0.033,0.022,584148401351035387,0000,0,00nn,AABU,42,44,-36,45,0.101,0.05582
87,87,57.662033,48.474407,2.0,14.04,15.09,12.66,12.43,12.23,11.6,11.44,11.35,87.00,0.01,0.0,J035038.87+482827.8,57.661999,48.4744008,0.0405,0.0374,11.7,11.286,11.295,11.595,9.003,0.023,0.022,0.196,,0.024,0.028,0.022,584148401351035360,0000,0,00nn,AABU,-27,44,-5,44,0.121,0.084171
480,481,57.692276,49.3150361,2.0,14.52,14.06,13.02,12.64,12.41,11.76,11.6,11.54,480.00,0.01,0.0,J035046.13+491854.1,57.692238,49.3150344,0.041,0.0373,1.4,11.474,11.488,12.0,8.986,0.023,0.022,0.264,,0.026,0.027,0.023,580149901351007659,0000,0,11nn,AABU,-110,45,-12,45,0.068,0.089455
463,464,57.761662,50.148853,2.0,15.13,15.75,13.68,13.49,13.22,12.58,12.41,12.28,463.00,0.01,0.0,J035102.79+500856.0,57.7616664,50.1488961,0.0408,0.0387,28.8,12.15,12.154,11.305,8.611,0.023,0.023,0.167,,0.023,0.03,0.028,580149901351041161,0000,0,01nn,AABU,174,49,-79,50,0.19,0.155488
910,912,57.7659556,48.4654055,2.0,14.07,14.28,12.73,12.53,12.37,11.82,11.65,11.59,910.00,0.03,0.0,J035103.80+482755.3,57.7658408,48.4653849,0.0418,0.0386,14.8,11.543,11.541,11.659,8.776,0.023,0.023,0.236,,0.024,0.028,0.023,584148401351035370,0000,0,01nn,AABU,-21,45,18,44,0.045,0.283963
807,809,57.9928491,49.9138491,2.0,13.98,13.94,13.06,12.72,12.51,11.97,11.82,11.73,807.00,0.01,0.0,J035158.27+495449.9,57.9928081,49.9138696,0.0405,0.0374,17.3,11.677,11.698,11.811,9.172,0.023,0.022,0.228,,0.023,0.03,0.027,580149901351030998,0000,0,00nn,AABU,0,45,0,45,0.108,0.120369
465,466,58.4884425,52.4473981,2.0,14.41,14.08,13.55,13.38,13.16,12.56,12.42,12.37,465.00,0.0,1.0,J035357.22+522650.6,58.488429,52.4473995,0.0426,0.0404,3.2,12.242,12.243,12.001,8.721,0.023,0.023,0.273,,0.023,0.03,0.031,591153001351008127,0000,0,11nn,AABU,-83,45,-5,46,0.065,0.030153
940,942,58.5533732,48.7525903,2.0,13.63,13.08,12.29,11.92,11.79,11.27,11.17,11.1,940.00,0.05,0.0,J035412.80+484509.3,58.5533353,48.7525984,0.0404,0.0367,24.4,11.058,11.058,11.368,9.066,0.024,0.02,0.161,,0.023,0.03,0.026,584148401351042943,0000,0,11nn,AABU,-22,47,50,47,0.053,0.09455
86,86,58.678951,49.927044,2.0,14.24,14.04,13.4,12.77,12.55,11.85,11.68,11.56,86.00,0.01,0.0,J035442.94+495537.3,58.6789497,49.9270464,0.0409,0.0385,1.9,11.5,11.503,11.708,8.751,0.023,0.022,0.228,,0.021,0.03,0.026,580149901351028617,0h00,0,11nn,AABU,-20,43,109,44,0.026,0.009202
464,465,58.745878,52.245922,2.0,13.81,13.65,13.13,12.59,12.37,11.85,11.73,11.67,464.00,0.0,0.0,J035459.02+521445.3,58.7459426,52.2459366,0.0459,0.0404,100.3,11.608,11.621,12.146,8.97,0.024,0.025,0.354,,0.022,0.029,0.027,596151401351060583,0000,0,nnnn,AABU,15,40,-13,41,0.304,0.151732
99,99,58.848878,51.611937,2.0,15.57,15.9,13.83,13.55,13.21,12.29,12.03,11.96,99.00,0.0,0.0,J035523.73+513642.9,58.8488793,51.6119327,0.0413,0.0382,3.9,11.798,11.782,11.814,8.832,0.023,0.022,0.209,,0.021,0.029,0.026,596151401351032625,0000,0,11nn,AABU,1,41,55,40,0.038,0.015784
599,601,59.017563,51.008247,2.0,11.17,10.63,12.74,11.32,11.11,9.57,9.56,9.49,599.00,0.07,0.0,J035604.21+510029.7,59.0175524,51.0082526,0.0387,0.0352,8.7,9.449,9.479,9.442,8.759,0.023,0.021,0.035,0.331,0.027,0.034,0.02,596151401351007750,0000,0,000n,AAAB,-5,36,27,34,0.068,0.031442
84,84,59.058908,52.434199,2.0,14.38,15.89,12.68,11.88,11.91,10.9,10.58,10.26,84.00,0.04,1.0,J035614.13+522603.0,59.0589027,52.4341785,0.035,0.0329,17.7,10.04,9.682,8.79,7.916,0.023,0.019,0.025,0.158,0.027,0.032,0.022,591153001351005250,0000,0,220n,AAAB,-59,31,58,30,0.043,0.074799
937,939,59.076031,51.13302,2.0,10.98,10.13,12.87,11.35,11.1,9.06,9.16,9.08,937.00,0.18,0.0,J035618.19+510758.8,59.0758013,51.1330039,0.0356,0.0337,6.2,8.868,8.888,8.964,8.661,0.022,0.02,0.03,0.314,0.019,0.037,0.028,596151401351015780,0000,1,000n,AAAB,-103,31,145,30,0.503,0.52224
722,724,59.126724,51.087715,2.0,13.8,12.09,12.85,11.85,11.6,10.47,10.37,10.29,722.00,0.12,0.0,J035630.40+510515.8,59.1266994,51.0877265,0.0389,0.0363,11.5,10.199,10.215,10.176,8.435,0.023,0.02,0.051,0.27,0.019,0.028,0.026,596151401351015801,d000,0,110n,AAAB,-14,33,53,32,0.069,0.0692
802,804,59.23572,51.238834,2.0,14.31,12.0,12.76,11.65,11.31,9.94,9.76,9.66,802.00,0.11,0.0,J035656.57+511419.8,59.2357229,51.2388415,0.0376,0.0348,7.2,9.582,9.59,9.664,9.01,0.023,0.02,0.043,,0.019,0.028,0.023,596151401351015790,0000,0,000n,AAAU,-2,30,28,30,0.105,0.027689
594,596,59.235759,51.238823,2.0,14.31,12.0,12.76,11.65,11.31,9.94,9.76,9.66,594.00,0.11,0.0,J035656.57+511419.8,59.2357229,51.2388415,0.0376,0.0348,7.2,9.582,9.59,9.664,9.01,0.023,0.02,0.043,,0.019,0.028,0.023,596151401351015790,0000,0,000n,AAAU,-2,30,28,30,0.105,0.105088
272,272,59.3023628,50.1102214,2.0,13.6,12.79,12.74,11.71,11.65,10.75,10.62,10.58,272.00,0.2,0.0,J035712.56+500636.8,59.3023483,50.1102248,0.0383,0.0355,5.5,10.526,10.526,10.488,9.311,0.023,0.02,0.063,,0.027,0.031,0.02,603149901351036322,0000,0,110n,AAAU,-14,34,-24,34,0.054,0.035719
1011,1013,59.4651939,50.4657608,2.0,13.87,13.69,13.21,12.65,12.42,11.83,11.66,11.59,1.011.00,0.01,0.0,J035751.64+502756.7,59.4651821,50.4657726,0.0397,0.0373,7.0,11.508,11.516,12.133,9.19,0.023,0.021,0.295,,0.026,0.027,0.021,603149901351061858,0000,0,00nn,AABU,4,38,-55,40,0.011,0.050485
85,85,59.503974,50.021637,2.0,13.82,13.75,12.88,12.53,12.28,11.66,11.46,11.41,85.00,0.0,0.0,J035800.94+500117.9,59.5039583,50.0216496,0.0369,0.0336,8.8,11.32,11.354,12.025,9.129,0.021,0.019,0.317,,0.021,0.031,0.023,603149901351036369,0000,0,nnnn,AABU,-34,36,-43,37,0.044,0.058039
801,803,59.5040069,50.0216508,2.0,14.4,15.59,12.88,12.53,12.28,11.66,11.46,11.41,801.00,0.01,0.0,J035800.94+500117.9,59.5039583,50.0216496,0.0369,0.0336,8.8,11.32,11.354,12.025,9.129,0.021,0.019,0.317,,0.021,0.031,0.023,603149901351036369,0000,0,nnnn,AABU,-34,36,-43,37,0.044,0.112392
98,98,59.558931,52.173432,2.0,14.15,14.86,12.91,11.97,11.78,10.89,10.8,10.65,98.00,0.38,1.0,J035814.15+521024.2,59.5589629,52.1734107,0.0382,0.0352,5.7,10.573,10.584,10.818,9.164,0.023,0.02,0.107,,0.029,0.032,0.021,596151401351055562,0000,0,110n,AAAU,-52,33,-18,34,0.042,0.10414
977,979,59.558959,52.173405,2.0,14.15,14.86,12.91,11.97,11.78,10.89,10.8,10.65,977.00,0.38,1.0,J035814.15+521024.2,59.5589629,52.1734107,0.0382,0.0352,5.7,10.573,10.584,10.818,9.164,0.023,0.02,0.107,,0.029,0.032,0.021,596151401351055562,0000,0,110n,AAAU,-52,33,-18,34,0.042,0.022334
273,273,59.558968,52.173405,2.0,13.64,12.76,12.91,11.97,11.78,10.89,10.8,10.65,273.00,0.05,1.0,J035814.15+521024.2,59.5589629,52.1734107,0.0382,0.0352,5.7,10.573,10.584,10.818,9.164,0.023,0.02,0.107,,0.029,0.032,0.021,596151401351055562,0000,0,110n,AAAU,-52,33,-18,34,0.042,0.023406
886,888,59.5885942,51.1447819,2.0,15.18,14.41,13.5,13.14,12.77,11.84,11.55,11.46,886.00,0.0,0.0,J035821.25+510841.2,59.5885702,51.1448005,0.0395,0.0361,7.8,11.32,11.316,11.919,9.205,0.023,0.021,0.235,,0.026,0.029,0.02,596151401351018300,0000,0,11nn,AABU,41,35,103,35,0.085,0.086052
657,659,59.5893831,52.4717781,2.0,12.02,13.27,12.69,11.53,11.38,10.41,10.38,10.37,657.00,0.01,0.0,J035821.44+522818.3,59.5893461,52.4717599,0.0388,0.0353,7.7,10.259,10.276,10.333,8.747,0.023,0.02,0.07,,0.024,0.031,0.022,591153001351002596,hh00,1,110n,AAAU,138,32,-11,32,0.094,0.104339
726,728,59.654127,50.904431,2.0,14.71,14.77,13.03,12.74,12.38,11.55,11.28,11.14,726.00,0.01,0.0,J035836.99+505415.9,59.6541436,50.9044208,0.0395,0.0371,177.4,11.06,11.058,11.162,9.205,0.023,0.021,0.129,,0.027,0.03,0.023,596151401351005319,0000,0,01nn,AABU,46,37,71,37,0.033,0.052589
706,708,59.65414,50.904426,2.0,14.89,16.03,13.03,12.74,12.38,11.55,11.28,11.14,706.00,0.01,0.0,J035836.99+505415.9,59.6541436,50.9044208,0.0395,0.0371,177.4,11.06,11.058,11.162,9.205,0.023,0.021,0.129,,0.027,0.03,0.023,596151401351005319,0000,0,01nn,AABU,46,37,71,37,0.033,0.020424
780,782,59.8230849,50.4115965,2.0,14.42,13.05,12.58,12.02,11.92,11.31,11.2,11.13,780.00,0.22,0.0,J035917.52+502441.8,59.8230287,50.4116204,0.0391,0.0362,14.1,11.096,11.118,11.682,9.296,0.023,0.02,0.193,,0.022,0.028,0.022,603149901351041387,0000,0,11nn,AABU,46,34,-31,36,0.098,0.154993
568,569,59.832704,49.971096,2.0,14.09,14.03,12.96,12.64,12.48,11.73,11.57,11.41,568.00,0.19,0.0,J035919.85+495816.0,59.8327121,49.9711252,0.0399,0.0369,4.0,11.323,11.332,11.545,9.203,0.023,0.021,0.152,,0.027,0.032,0.021,603149901351033580,d000,0,33nn,AABU,-44,37,-70,39,0.079,0.10671
598,600,59.8327278,49.9711017,2.0,14.09,14.03,12.96,12.64,12.48,11.73,11.57,11.41,598.00,0.19,0.0,J035919.85+495816.0,59.8327121,49.9711252,0.0399,0.0369,4.0,11.323,11.332,11.545,9.203,0.023,0.021,0.152,,0.027,0.032,0.021,603149901351033580,d000,0,33nn,AABU,-44,37,-70,39,0.079,0.092073
88,88,59.833879,50.938922,2.0,14.77,14.1,13.05,12.61,12.43,11.53,11.33,11.17,88.00,0.49,0.0,J035920.12+505620.2,59.8338503,50.9389469,0.0382,0.0349,7.5,11.078,11.071,11.172,8.738,0.022,0.02,0.131,,0.026,0.032,0.019,596151401351005303,0000,0,11nn,AABU,-4,34,83,35,0.108,0.110844
666,668,59.8407956,52.6647547,2.0,11.08,11.18,12.63,11.29,11.21,10.36,10.28,10.27,666.00,0.34,0.0,J035921.78+523953.1,59.8407615,52.6647574,0.0379,0.0343,5.9,10.216,10.245,10.286,9.048,0.023,0.019,0.092,,0.027,0.029,0.023,591153001351020150,0000,0,001n,AAAU,-28,32,-50,35,0.083,0.074978
974,976,60.176105,52.200294,2.0,14.69,14.43,13.56,13.29,13.06,12.27,12.07,11.94,974.00,0.01,0.0,J040042.26+521201.1,60.1761039,52.2003151,0.0412,0.0385,6.5,11.823,11.849,12.402,8.794,0.023,0.022,,,0.027,0.03,0.024,596151401351053026,d000,0,00nn,AAUU,16,40,-23,42,0.091,0.07606
1068,1070,60.1838547,50.8106683,2.0,13.6,12.79,12.13,11.88,11.68,11.19,11.06,11.01,1.068.00,0.0,0.0,J040044.11+504838.4,60.183817,50.8106829,0.0395,0.0361,8.5,10.928,10.939,11.023,9.309,0.023,0.02,0.134,,0.026,0.03,0.021,596151401351002783,0000,0,000n,AABU,-50,34,16,34,0.116,0.100515
411,412,60.3368069,51.589007,2.0,13.9,13.82,12.74,12.5,12.32,11.76,11.57,11.52,411.00,0.0,0.0,J040120.82+513520.4,60.3367561,51.5890127,0.0412,0.0377,10.0,11.461,11.465,11.344,8.992,0.023,0.022,0.231,,0.027,0.027,0.022,596151401351027609,000P,0,00nn,AABU,0,38,0,39,0.16,0.115427
1058,1060,60.3800778,52.0806044,2.0,14.69,13.72,12.81,12.48,12.17,11.46,11.18,11.09,1.058.00,0.0,0.0,J040131.21+520450.1,60.3800631,52.0805947,0.0402,0.0368,5.6,10.987,10.987,11.51,8.968,0.024,0.021,0.222,,0.027,0.031,0.021,596151401351050589,0000,0,01nn,AABU,-27,34,4,34,0.08,0.047735
855,857,60.6924803,52.8246658,2.0,15.0,14.72,13.23,12.96,12.65,11.81,11.53,11.4,855.00,0.0,1.0,J040246.19+524928.7,60.6924871,52.8246526,0.0418,0.0388,175.7,11.28,11.28,11.565,9.117,0.023,0.022,0.27,,0.026,0.031,0.023,616153001351013936,0000,0,00nn,AABU,24,41,-50,40,0.046,0.04974
944,946,60.847515,53.21313,2.0,14.21,14.86,12.79,12.51,12.25,11.62,11.4,11.33,944.00,0.0,0.0,J040323.39+531247.3,60.8474841,53.2131477,0.0409,0.0384,7.4,11.224,11.245,11.338,9.083,0.023,0.022,0.158,,0.026,0.028,0.021,616153001351040475,ddd0,0,00nn,AABU,24,39,14,37,0.106,0.092165
566,567,61.409454,51.786729,2.0,14.38,14.69,12.75,12.4,12.03,10.94,10.66,10.52,566.00,0.0,0.0,J040538.27+514712.1,61.4094768,51.7867122,0.0386,0.0355,6.9,10.433,10.431,9.557,6.174,0.024,0.02,0.05,0.058,0.024,0.029,0.022,619151401351036950,0000,0,6610,AAAA,-13,35,24,34,0.093,0.078825
97,97,61.496875,51.466238,2.0,13.91,13.99,12.91,12.53,12.23,11.11,10.83,10.71,97.00,0.0,0.0,J040559.25+512758.4,61.4968938,51.4662267,0.0383,0.0358,2.1,10.657,10.66,9.874,6.385,0.023,0.02,0.157,0.088,0.024,0.031,0.022,619151401351029951,0hdd,0,9900,AABA,24,35,-50,34,0.306,0.058537
34,34,61.590801,54.393031,2.0,13.72,13.08,12.57,12.05,11.82,11.21,11.09,10.98,34.00,0.01,0.0,J040621.78+542334.9,61.5907871,54.3930346,0.0397,0.0367,4.4,10.902,10.928,10.675,8.451,0.023,0.021,0.112,,0.021,0.018,0.02,612154501351029737,0000,0,000n,AABU,54,41,63,40,0.099,0.031944
1039,1041,61.680329,52.61634,2.0,13.7,13.68,12.71,12.14,11.85,11.09,10.91,10.81,1.039.00,0.01,0.0,J040643.28+523658.6,61.6803533,52.6162995,0.037,0.0351,33.7,10.763,10.79,10.476,7.175,0.022,0.02,0.086,0.112,0.022,0.028,0.02,616153001351019082,0000,0,nnnn,AAAB,-35,36,126,36,0.14,0.155127
71,71,61.682058,54.396626,2.0,13.84,15.02,12.71,12.22,11.95,11.06,10.86,10.72,71.00,0.0,1.0,J040643.69+542347.8,61.6820533,54.396631,0.0387,0.0357,4.3,10.613,10.592,10.705,8.951,0.023,0.021,0.089,,0.021,0.02,0.02,612154501351029729,0o00,0,111n,AAAU,39,39,39,38,0.133,0.020499
529,530,61.842572,53.547932,2.0,14.6,14.64,13.89,13.63,13.36,12.14,11.89,11.78,529.00,0.0,0.0,J040722.20+533252.4,61.8425375,53.5479155,0.0442,0.0381,12.3,11.654,11.703,12.123,8.911,0.023,0.022,0.374,,0.024,0.031,0.03,616153001351059684,0000,0,nnnn,AACU,152,44,86,45,0.064,0.094652
888,890,61.854314,54.623305,2.0,15.13,14.26,13.21,12.94,12.56,11.45,11.19,11.04,888.00,0.0,0.0,J040725.03+543723.8,61.8543242,54.6232999,0.0401,0.0365,176.2,10.926,10.915,10.876,9.33,0.023,0.021,0.106,,0.021,0.015,0.023,612154501351029792,0000,0,000n,AAAU,3,40,27,38,0.185,0.028132
786,788,61.943394,51.636058,2.0,14.38,14.0,13.06,12.82,12.54,11.77,11.53,11.42,786.00,0.0,0.0,J040746.42+513809.4,61.9434574,51.6359721,0.0406,0.0378,14.4,11.187,11.21,11.163,8.737,0.023,0.021,0.139,,0.027,0.036,0.031,619151401351027225,0000,1,00nn,AABU,17,42,22,43,0.296,0.340166
165,165,61.956403,53.460651,2.0,13.62,14.88,12.35,11.64,11.56,10.91,10.78,10.68,165.00,0.01,0.0,J040749.54+532738.3,61.9564174,53.4606484,0.0398,0.0361,0.3,10.612,10.622,10.781,8.879,0.022,0.021,0.102,,0.022,0.03,0.025,616153001351049201,0000,0,000n,AAAU,46,39,100,38,0.226,0.032319
255,255,61.956436,53.460651,2.0,13.62,14.88,12.35,11.64,11.56,10.91,10.78,10.68,255.00,0.01,0.0,J040749.54+532738.3,61.9564174,53.4606484,0.0398,0.0361,0.3,10.612,10.622,10.781,8.879,0.022,0.021,0.102,,0.022,0.03,0.025,616153001351049201,0000,0,000n,AAAU,46,39,100,38,0.226,0.04085
6,6,62.0139028,52.9680244,2.0,14.2,14.39,12.96,12.77,12.6,12.05,11.84,11.78,6.00,0.01,0.0,J040803.33+525804.9,62.0138798,52.9680551,0.0408,0.0382,4.9,11.659,11.676,11.688,8.631,0.023,0.022,0.234,,0.027,0.028,0.019,616153001351029820,hh00,0,22nn,AABU,7,46,55,46,0.182,0.121366
544,545,62.057967,54.209431,2.0,14.89,15.21,13.39,13.08,12.85,11.83,11.63,11.53,544.00,0.01,1.0,J040813.91+541233.9,62.0579594,54.209424,0.0397,0.0374,10.9,11.586,11.604,12.283,8.994,0.023,0.021,0.401,,0.024,0.029,0.021,612154501351021433,0000,0,99nn,AACU,1,45,55,46,0.073,0.029751
575,576,62.099776,53.686197,2.0,14.11,14.08,13.28,13.04,12.85,12.19,12.02,11.92,575.00,0.01,0.0,J040823.95+534110.3,62.0997982,53.6862025,0.0425,0.0399,9.7,11.839,11.846,11.645,9.121,0.024,0.024,0.212,,0.024,0.031,0.028,616153001351057250,0000,0,00nn,AABU,26,48,48,49,0.045,0.051345
254,254,62.145937,53.596573,2.0,13.84,14.78,12.91,12.64,12.46,11.82,11.65,11.58,254.00,0.0,0.0,J040835.02+533547.6,62.1459316,53.5965678,0.04,0.0379,7.9,11.489,11.516,11.763,9.179,0.023,0.022,0.217,,0.023,0.028,0.023,616153001351057212,0000,0,00nn,AABU,8,43,82,45,0.128,0.021958
845,847,62.30346,52.61638,2.0,13.84,14.85,12.73,12.36,12.24,11.82,11.71,11.69,845.00,0.0,0.0,J040912.82+523658.9,62.3034425,52.6163754,0.0407,0.0379,2.8,11.614,11.612,11.747,8.952,0.023,0.022,0.226,,0.022,0.029,0.023,616153001351021844,0000,0,10nn,AABU,0,47,0,46,0.209,0.041744
13,13,62.3034694,52.6163744,2.0,13.84,14.85,12.73,12.36,12.24,11.82,11.71,11.69,13.00,0.0,0.0,J040912.82+523658.9,62.3034425,52.6163754,0.0407,0.0379,2.8,11.614,11.612,11.747,8.952,0.023,0.022,0.226,,0.022,0.029,0.023,616153001351021844,0000,0,10nn,AABU,0,47,0,46,0.209,0.058951
477,478,62.3472713,53.0271004,2.0,14.76,14.39,13.8,13.61,13.44,12.77,12.66,12.51,477.00,0.0,0.0,J040923.36+530137.3,62.3473513,53.0270384,0.0434,0.0412,8.8,12.419,12.421,12.358,8.874,0.023,0.025,0.421,,0.024,0.033,0.03,616153001351029922,0000,0,00nn,AACU,73,55,-84,57,0.232,0.282557
553,554,62.362019,53.048853,2.0,14.48,14.32,13.56,13.27,13.09,12.31,12.16,12.05,553.00,0.02,0.0,J040926.88+530255.8,62.3620316,53.0488485,0.0417,0.0394,8.4,11.954,11.967,11.509,8.717,0.023,0.023,0.2,,0.024,0.032,0.027,616153001351029859,0000,0,00nn,AABU,76,49,-80,50,0.209,0.03166
792,794,62.384605,53.067519,2.0,13.94,14.5,12.75,12.39,12.27,11.59,11.4,11.28,792.00,0.02,1.0,J040932.30+530403.0,62.3846147,53.0675078,0.0412,0.0381,13.9,11.09,11.026,10.56,8.394,0.024,0.022,0.087,,0.023,0.029,0.026,616153001351029805,0000,0,000n,AAAU,-11,43,-25,42,0.184,0.045448
256,256,62.52501,54.096683,2.0,15.4,16.04,13.53,13.23,12.97,12.15,11.96,11.81,256.00,0.01,0.0,J041005.99+540548.0,62.5249926,54.0966929,0.0412,0.0381,1.2,11.734,11.739,11.366,8.343,0.023,0.022,0.172,,0.032,0.037,0.028,612154501351024084,0000,0,00nn,AABU,-22,46,51,47,0.089,0.051253
166,166,62.570758,54.165914,2.0,15.28,14.83,13.67,13.36,13.02,12.03,11.78,11.66,166.00,0.0,0.0,J041016.98+540957.2,62.570774,54.1659138,0.0394,0.0363,19.6,11.597,11.582,11.808,8.811,0.023,0.021,0.248,,0.021,0.03,0.019,638154501351013225,0h00,0,11nn,AABU,-27,44,-4,45,0.08,0.033641
