col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,H_alfa,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
128,128,90.142075,23.592352,2.0,13.83,12.99,12.52,12.09,11.99,11.62,11.58,11.49,128.00,0.1,0.0,J060034.09+233532.4,90.1420673,23.5923422,0.0409,0.0387,4.9,11.484,11.511,11.966,8.616,0.024,0.022,0.359,,0.023,0.028,0.023,908124201351010721,0000,0,00nn,AACU,24,50,50,53,0.061,0.043455
557,558,90.1420797,23.5923647,2.0,13.83,12.99,12.52,12.09,11.99,11.62,11.58,11.49,557.00,0.1,0.0,J060034.09+233532.4,90.1420673,23.5923422,0.0409,0.0387,4.9,11.484,11.511,11.966,8.616,0.024,0.022,0.359,,0.023,0.028,0.023,908124201351010721,0000,0,00nn,AACU,24,50,50,53,0.061,0.090731
288,288,90.21028,22.4086386,2.0,15.39,14.8,13.61,13.27,12.75,11.54,11.19,11.04,288.00,0.0,0.0,J060050.46+222431.0,90.2102727,22.4086217,0.0392,0.0372,177.3,10.908,10.892,10.51,8.938,0.023,0.021,0.112,,0.026,0.03,0.022,895122701351023399,0hhH,0,000n,AABU,-27,46,-4,45,0.066,0.065454
367,368,90.5604583,22.9387806,2.0,13.43,12.86,12.47,12.11,11.99,11.68,11.59,11.58,367.00,0.05,0.0,J060214.51+225619.5,90.5604757,22.9387589,0.0412,0.038,172.4,11.511,11.52,10.951,8.654,0.023,0.022,0.144,0.43,0.027,0.033,0.022,912122701351039233,0000,0,111n,AABC,-53,55,-16,55,0.1,0.097096
694,696,90.56046,22.93878,2.0,13.43,12.86,12.47,12.11,11.99,11.68,11.59,11.58,694.00,0.05,0.0,J060214.51+225619.5,90.5604757,22.9387589,0.0412,0.038,172.4,11.511,11.52,10.951,8.654,0.023,0.022,0.144,0.43,0.027,0.033,0.022,912122701351039233,0000,0,111n,AABC,-53,55,-16,55,0.1,0.092067
250,250,90.577873,22.921072,2.0,15.8,15.55,14.54,14.27,13.9,12.99,12.68,12.59,250.00,0.0,0.0,J060218.69+225515.7,90.5779132,22.9210549,0.0694,0.0482,125.1,12.496,12.476,11.774,8.428,0.033,0.034,,,0.028,0.038,0.03,912122701351039310,0000,0,nnnn,AAUU,-76,60,-12,65,0.216,0.146717
630,632,90.644228,22.466206,2.0,13.59,13.03,12.28,12.08,11.99,11.59,11.44,11.43,630.00,0.06,0.0,J060234.61+222758.4,90.6442195,22.4662232,0.0447,0.0422,163.8,11.422,11.432,11.574,8.885,0.024,0.024,0.236,,0.027,0.032,0.02,912122701351013129,0000,0,11nn,AABU,54,53,90,58,0.083,0.067982
194,194,90.651616,22.152237,2.0,15.09,14.96,14.4,14.25,14.0,13.24,13.1,12.98,194.00,0.0,0.0,J060236.39+220908.1,90.6516469,22.152268,0.0478,0.0462,176.4,12.852,12.844,11.869,8.769,0.024,0.027,,,0.031,0.035,0.028,912122701351010679,0000,0,00nn,AAUU,-157,86,227,88,0.177,0.151759
179,179,90.709624,23.995056,2.0,16.82,16.17,14.94,14.37,14.12,12.92,12.6,12.25,179.00,0.56,1.0,J060250.30+235942.2,90.709621,23.9950591,0.0417,0.0396,178.1,11.959,11.692,10.764,8.97,0.024,0.022,0.131,,0.021,0.026,0.021,908124201351018126,0000,0,00nn,AABU,-11,56,25,57,0.059,0.014928
909,911,91.006377,22.271798,2.0,14.99,14.55,13.76,13.4,13.21,12.3,12.06,11.89,909.00,0.15,1.0,J060401.52+221618.5,91.0063694,22.2718079,0.0417,0.0394,175.8,11.726,11.613,11.164,8.276,0.024,0.022,0.175,,0.025,0.022,0.018,912122701351015882,0000,0,00nn,AABU,4,54,27,57,0.063,0.043836
292,292,91.0615217,24.0673467,2.0,14.42,14.94,13.58,13.14,13.09,12.91,12.76,12.65,292.00,0.12,1.0,J060414.76+240402.4,91.061523,24.0673412,0.0426,0.0393,170.3,11.549,11.304,10.683,8.408,0.024,0.023,0.108,,0.021,0.025,0.023,908124201351021162,0000,0,550n,AAAU,10,50,54,55,0.018,0.020199
