VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,r2mag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,OB,Halpha,SUB,LUM
1266,155.48606,-58.235135,16.322,15.96,14.392,14.39,13.454,14.017,11.786,11.301,11.028,4.426,5.473,3.777,12.49,1.34,1,0,0,0
1267,155.667005,-58.086401,13.84,14.143,13.261,13.272,12.739,12.994,11.895,11.665,11.572,4.434,3.251,3.621,13.33,1.47,1,0,0,0
1268,156.027667,-57.787744,18.253,17.59,15.499,15.498,14.23,14.952,11.736,11.008,10.536,4.578,7.735,4.136,13.43,2.34,1,0,0,0
1269,155.47841,-58.245756,13.983,14.083,13.094,13.099,12.521,12.828,11.57,11.305,11.168,4.355,3.435,3.61,12.17,0.59,1,0,0,0
1270,155.160478,-58.505918,17.352,16.79,15.206,15.195,14.228,14.823,12.574,12.122,11.848,4.331,5.299,3.643,12.45,3.91,1,0,0,0
1273,155.860136,-57.934354,16.091,15.559,13.662,13.661,12.55,13.237,10.489,9.861,9.523,4.55,6.668,3.866,12.19,0.78,1,0,0,0
1278,155.390574,-58.327206,16.803,16.474,15.064,15.07,14.22,14.726,12.647,12.221,12.024,4.336,4.927,3.834,12.65,3.29,1,0,0,0
1283,155.342271,-58.378631,12.903,13.292,12.45,12.465,11.99,12.24,11.231,11.033,10.948,4.465,3.052,3.538,13.06,0.67,1,0,0,0
1287,155.158402,-58.535691,17.031,16.614,15.202,15.187,14.338,14.842,12.878,12.476,12.295,4.322,4.703,3.587,12.85,5.43,1,0,0,0
1288,156.607495,-57.323223,16.78,16.854,15.871,15.878,15.377,15.595,14.536,14.109,14.035,4.301,3.247,3.675,14.59,5.09,1,0,0,0
1289,156.079098,-57.7778,18.236,17.747,16.084,16.114,15.183,15.245,13.214,12.665,12.127,4.302,5.938,4.269,12.47,3.39,1,1,0,0
1290,155.215216,-58.493979,20.216,19.496,17.762,17.729,16.619,17.362,14.394,13.758,13.391,4.302,6.555,4.255,13.55,6.21,1,0,0,0
1291,155.775195,-58.035482,15.049,15.058,13.961,13.972,13.332,13.677,12.25,11.936,11.781,4.358,3.784,3.659,12.77,0.54,1,0,0,0
1292,156.070041,-57.789288,19.54,18.871,16.946,16.938,15.774,16.792,13.563,12.916,12.524,4.448,6.911,3.982,14.04,1.62,1,0,0,0
