_RAJ2000,_DEJ2000,Cluster,MG,ymag,e_ymag,b-y,e_b-y,y-Ha,e_y-Ha,WHa05,WHa06,WHa07,vsini,e_vsini,Teff,e_Teff,logg,e_logg,loggP,Mass,e_Mass,Rad,e_Rad,Vc,SB?,Code,clean,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag
117.6942917,-25.5060556,Haffner 16,955,16.647,0.043,0.495,0.059,0.72,0.066,,,,,,,,,,,,,,,,,O,false,18.66,0.01,17.8,0.0,,,16.21,0.0,15.76,0.01,14.723,15.019,13.01,8.851,15.112,14.667,14.581,0.032,0.063,,,0.044,0.06,0.11
117.6953333,-25.4326111,Haffner 16,519,16.683,0.045,0.849,0.067,1.232,0.065,,,,,,,,,,,,,,,,,O,false,,,,,,,15.94,0.01,,,13.004,13.025,12.772,9.482,13.861,13.242,13.078,0.024,0.026,,,0.029,0.023,0.03
117.69725,-25.527,Haffner 16,1052,16.551,0.042,0.509,0.058,0.684,0.065,,,,,,,,,,,,,,,,,O,false,18.29,0.01,17.69,0.0,,,16.14,0.0,15.63,0.01,14.383,14.537,12.869,9.062,14.87,14.478,14.352,0.028,0.045,,,0.03,0.045,0.093
117.702875,-25.4875278,Haffner 16,847,14.95,0.022,0.36,0.03,0.448,0.048,,,,,,,,,,,,,,,,,O,false,16.43,0.0,15.95,0.0,,,14.68,0.0,14.33,0.01,13.509,13.611,12.934,9.322,13.853,13.652,13.587,0.023,0.027,,,0.03,0.026,0.052
117.7036667,-25.4462222,Haffner 16,588,14.822,0.021,0.37,0.03,0.452,0.048,,,,,,,,,,,,,,,,,O,false,16.39,0.0,15.86,0.0,,,14.55,0.01,,,13.407,13.481,12.982,9.493,13.683,13.524,13.357,0.026,0.029,,,0.026,0.03,0.041
117.7052083,-25.5239444,Haffner 16,1036,14.029,0.02,0.779,0.031,0.921,0.047,,,,,,,,,,,,,,,,,O,false,17.01,0.0,15.39,0.0,,,13.44,0.0,12.84,0.0,10.994,11.092,10.748,8.841,11.791,11.214,11.066,0.022,0.02,0.08,,0.024,0.024,0.023
117.708,-25.5235833,Haffner 16,1033,12.914,0.011,0.116,0.016,0.075,0.042,,,,,,,,,,,,,,,,,B,false,14.18,0.0,13.73,0.0,,,12.85,0.0,12.7,0.0,12.459,12.51,11.919,9.218,12.544,12.503,12.429,0.034,0.034,0.23,,0.023,0.029,0.024
117.708125,-25.5308889,Haffner 16,1071,14.202,0.016,0.197,0.022,0.251,0.045,,,,,,,,,,,,,,,,,O,false,15.6,0.0,15.07,0.0,13.88,0.0,14.07,0.0,13.85,0.0,13.339,13.415,12.94,9.277,13.518,13.435,13.46,0.025,0.03,,,0.023,0.023,0.034
117.7087083,-25.4401944,Haffner 16,552,16.229,0.039,0.896,0.059,1.068,0.06,,,,,,,,,,,,,,,,,O,false,19.46,0.02,17.65,0.01,,,15.54,0.01,,,12.549,12.641,12.416,9.446,13.49,12.846,12.597,0.024,0.023,,,0.023,0.026,0.024
117.7200417,-25.5265278,Haffner 16,1050,15.828,0.031,0.383,0.042,0.496,0.055,,,,,,,,,,,,,,,,,O,true,17.3,0.01,16.85,0.0,15.28,0.01,15.52,0.0,15.14,0.0,14.398,14.528,12.802,9.324,14.571,14.387,14.246,0.029,0.045,,,0.033,0.037,0.08
