,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
659,14.58,14.19,13.58,13.22,13.45,12.552,9.734,9.546,0.10216450216450301,-0.22830409356725012,0.013084112149533256,0.5621052631578956,0.8736448598130834,1.6480373831775679,0.4015789473684208,0.5498598130841112,1.1408878504672875,0.4244859813084103,2.6582614379084957,Jmag_Hmag_Kmag,,-30.0932222,0.0,,0.047,0.0,,,False,0.542,,,0.0,,,0.439,345,13.781,0.01,NGC 2489,0.0,0.018,,0.027,,,,,0.084,119.0812083,,,,,,O
899,19.54,16.54,14.13,13.09,13.82,11.019,10.052,9.689,1.8628138528138536,0.800877192982457,1.6145794392523374,4.144970760233916,5.108691588785045,7.364205607476635,1.8078947368421032,2.2665887850467272,3.992383177570093,1.2446728971962628,0.6585686274509813,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,,-53.8449167,0.01,,0.075,0.0,,,False,1.459,,,0.05,,,1.435,382,15.246,0.0,Ruprecht 79,0.0,0.046,0.019,0.073,,,,,0.024,145.1184167,,,,,0.025,O
906,20.11,16.77,14.16,12.97,13.82,10.665,9.66,9.27,2.108441558441559,0.9177777777777787,1.8374299065420565,4.5025146198830415,5.619532710280374,8.204485981308409,1.9210526315789473,2.4527102803738314,4.431542056074765,1.4283177570093453,0.6736274509803908,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,,-53.9203611,0.01,,0.077,0.0,,,True,1.634,,,0.08,,,1.616,649,15.421,0.0,Ruprecht 79,0.0,0.05,0.023,0.083,,,,,0.022,145.1267083,,,,,0.022,O
943,19.79,16.82,14.37,13.28,14.08,11.127,10.145,9.784,1.8139393939393924,0.7135087719298232,1.574392523364485,4.094152046783626,5.138130841121496,7.511869158878505,1.8189473684210538,2.3158411214953287,4.134392523364488,1.3142990654205609,0.6752679738562113,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,,-53.8363889,0.01,,0.077,0.0,,,True,1.507,,,0.06,,,1.496,351,15.55,0.0,Ruprecht 79,0.0,0.049,0.019,0.081,,,,,0.023,145.16325,,,,,0.022,O
968,17.17,16.96,16.04,15.58,15.89,13.921,14.606,14.417,-0.22411255411255404,-0.669649122807017,-0.3349999999999992,0.5704678362573138,0.9842056074766394,1.9782242990654226,0.6536842105263181,0.8506074766355164,1.6103271028037394,0.5469158878504665,-0.8455882352941182,Jmag_Hmag_Kmag,,-53.8668333,0.01,,0.089,0.01,,,True,0.551,,,0.01,,,0.522,463,16.212,0.01,Ruprecht 79,0.01,0.049,0.103,0.069,,,,,,145.1959583,,,,,0.074,O
1037,18.47,17.82,16.65,16.05,16.44,15.086,14.624,13.208,0.09792207792207575,-0.4782456140350888,-0.05289719626168299,1.0901754385964941,1.6158878504672927,2.90841121495327,0.8226315789473715,1.0728504672897226,2.059766355140187,0.7093457943925214,-0.7411372549019613,Jmag_Hmag_Kmag,,-53.7883056,0.01,,0.136,0.01,,,True,0.521,,,0.03,,,0.534,183,16.685,0.01,Ruprecht 79,0.01,0.088,,0.122,,,,,0.065,145.2562083,,,,,0.079,O
1285,17.73,15.4,13.58,12.79,13.21,11.21,10.457,10.182,1.4712121212121212,0.6663157894736838,1.2145327102803745,3.1890643274853794,3.7903738317757023,5.4659813084112185,1.3626315789473682,1.6488317757009352,2.9220560747663575,0.9077570093457958,0.5193398692810456,umag_gmag_imag,,-57.7066944,0.01,,0.083,0.0,,,False,1.145,,,0.01,,,1.061,319,14.317,0.0,IC 2581,0.0,0.056,0.021,0.089,,,,,0.023,157.0310833,,,,,0.026,O
1361,20.0,17.24,15.21,14.13,14.81,12.442,11.679,11.377,1.802121212121215,0.7776023391812898,1.522289719626171,3.4763157894736834,4.401214953271027,6.721588785046728,1.4047368421052608,1.844953271028035,3.6152336448598104,1.2706542056074768,0.5063986928104578,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,,-5.9196389,0.01,,0.093,0.0,,,True,1.427,,,0.08,,,1.383,560,16.187,0.0,Basel 1,0.0,0.067,0.111,0.112,,,,,0.031,282.0470833,,,,,0.034,O
1373,20.13,17.32,15.25,14.13,14.84,12.348,11.549,11.273,1.833246753246752,0.7766081871345021,1.5468224299065407,3.5176608187134506,4.481495327102802,6.88915887850467,1.421578947368422,1.8803271028037385,3.71752336448598,1.3190654205607466,0.5644901960784329,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_Hamag,,-5.9595,0.01,,0.095,0.0,,,True,1.447,,,0.11,,,1.443,716,16.234,0.0,Basel 1,0.0,0.069,0.025,0.114,,,,,0.025,282.0516667,,,,,0.025,O
1376,17.53,17.05,16.02,15.37,15.77,14.378,13.955,12.756,-0.006017316017316088,-0.5908771929824566,-0.17196261682242997,0.7193567251462002,1.267009345794394,2.6609345794392545,0.6536842105263168,0.9143457943925245,1.9771962616822447,0.7621495327102809,-0.5957581699346401,Jmag_Hmag_Kmag,,-5.8956667,0.01,,0.111,0.01,,,False,0.758,,,0.02,,,0.814,460,16.399,0.01,Basel 1,0.01,0.065,,0.099,,,,,0.048,282.0523333,,,,,0.052,O
