,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,ID,h,w1_err,e_Jmag,w1,Halpha_type,e_Kmag,e_gmag,e_rmag,e_umag,e_Hamag,e_imag,Fe_type,objtype_SIMBAD,k,e_Hmag,DEJ2000,h_err,k_err,RAJ2000,objtype_Hou
748,15.079,16.217,13.45,13.13,13.21,12.58,12.449,12.425,-1.7193333333333287,-2.6768235294117533,-1.3407906976744168,1.2420232558139548,2.5828139534883716,umag_gmag_rmag_imag,J064027.91+110830.6,12.449,0.023,0.026,12.245,II,0.024,0.013,0.0,0.004,0.0,0.0,,,12.425,0.024,11.141836,0.024,0.024,100.11633,HII-region
750,15.411,17.19,13.81,13.55,13.71,13.161,13.036,12.941,-2.2513333333333345,-2.4201764705882347,-2.184581395348839,0.8270465116279059,3.0116279069767447,umag_gmag_rmag_imag,J064615.04+113136.2,13.036,0.025,0.025,12.929,II,0.035,0.015,0.0,0.005,0.0,0.0,,,12.941,0.03,11.526735,0.03,0.035,101.56268,HII-region
755,14.927,15.311,12.58,12.1,12.15,11.577,11.331,11.266,-1.256000000000001,-3.141058823529411,-0.5107441860465137,2.105139534883717,2.615883720930231,umag_gmag_rmag_imag,J064341.47+091859.9,11.331,0.024,0.027,11.26,II,0.023,0.012,0.0,0.007,0.0,0.0,,,11.266,0.026,9.3166556,0.026,0.023,100.92281,HII-region
757,14.958,16.001,13.3,13.09,13.16,12.565,12.466,12.421,-1.4245000000000025,-1.9406470588235343,-1.220441860465118,1.3193953488372077,2.5398372093023256,umag_gmag_rmag_imag,J064432.94+093123.3,12.466,0.024,0.023,12.377,II,0.026,0.013,0.0,0.005,0.0,0.0,,Star in Cluster,12.421,0.029,9.523164,0.029,0.026,101.13727,HII-region
758,15.533,15.328,12.77,12.32,12.52,11.571,11.381,11.261,-0.6124999999999984,-1.3979411764705887,-0.30197674418604437,1.7955581395348876,2.097534883720932,umag_gmag_rmag_imag,J064307.36+092808.1,11.381,0.023,0.022,11.197,II,0.021,0.012,0.0,0.006,0.0,0.0,,Star in Cluster,11.261,0.023,9.4689255,0.023,0.021,100.78068,HII-region
765,15.687,15.734,13.08,12.61,12.83,11.897,11.643,11.489,-0.9008333333333349,-1.6499411764705894,-0.6046744186046531,1.542813953488369,2.1474883720930222,umag_gmag_rmag_imag,J064443.81+090204.1,11.643,0.023,0.021,11.463,II,0.023,0.013,0.0,0.006,0.0,0.0,,,11.489,0.023,9.0344823,0.023,0.023,101.18257,HII-region
772,15.111,16.007,12.95,12.76,12.8,12.477,12.436,12.413,-1.2411666666666665,-1.857764705882345,-0.9973953488372124,1.9675116279069738,2.964906976744186,umag_gmag_rmag_imag,J064729.66+104021.2,12.436,0.023,0.023,12.373,II,0.03,0.013,0.0,0.009,0.0,0.0,,Star in Cluster,12.413,0.021,10.672563,0.021,0.03,101.87362,HII-region
775,16.656,12.398,13.93,13.49,13.71,12.687,12.464,12.359,3.458666666666667,2.847411764705888,3.7003255813953464,1.6618139534883687,-2.0385116279069777,umag_gmag_rmag_imag,J063655.02+092747.3,12.464,0.023,0.024,12.197,II,0.024,0.002,0.0,0.01,0.0,0.0,,,12.359,0.024,9.4631647,0.024,0.024,99.229276,HII-region
786,15.428,16.366,13.65,13.34,13.5,12.88,12.744,12.628,-1.5011666666666663,-1.8997647058823544,-1.3435813953488362,1.0040465116279074,2.347627906976743,umag_gmag_rmag_imag,J063732.47+103105.1,12.744,0.024,0.026,12.614,II,0.034,0.013,0.0,0.005,0.0,0.0,,,12.628,0.022,10.518097,0.022,0.034,99.385306,HII-region
886,15.761,16.439,13.61,13.19,13.4,12.401,12.092,11.811,-1.4410000000000005,-2.0244705882352894,-1.2103255813953515,1.1351860465116241,2.3455116279069754,umag_gmag_rmag_imag,J054434.62+215152.5,12.092,0.024,0.023,11.498,II,0.02,0.013,0.0,0.005,0.0,0.0,,,11.811,0.023,21.864594,0.023,0.02,86.144283,HII-region
937,15.448,16.933,13.44,13.11,13.29,12.672,12.498,12.451,-2.0844999999999994,-2.446764705882355,-1.9412790697674405,1.137302325581398,3.0785813953488383,umag_gmag_rmag_imag,J064723.70+104241.2,12.498,0.023,0.023,12.399,VI,0.025,0.016,0.0,0.007,0.0,0.0,,,12.451,0.022,10.711448,0.022,0.025,101.84876,HII-region
965,15.331,14.196,13.33,12.74,12.54,11.808,11.481,11.187,0.06316666666666704,-3.9302941176470663,1.6419767441860489,2.9684418604651204,1.3264651162790717,umag_gmag_rmag_imag,J041750.14+532526.1,11.481,0.023,0.024,10.772,I,0.023,0.002,0.0,0.004,0.0,0.0,unclassify,,11.187,0.029,53.423931,0.029,0.023,64.458939,unknown
966,15.043,13.173,12.35,11.87,11.51,10.997,10.706,10.406,0.9979999999999987,-3.515882352941178,2.7825581395348813,4.434395348837205,1.6518372093023244,umag_gmag_rmag_imag,J041336.90+524434.5,10.706,0.023,0.023,10.146,I,0.021,0.001,0.0,0.007,0.0,0.0,double-peak,Emission-line Star,10.406,0.027,52.742943,0.027,0.021,63.40378,unknown
970,17.548,15.865,14.49,13.43,13.78,12.396,12.003,11.798,-0.24266666666666903,-2.869352941176479,0.795790697674418,1.3649767441860474,0.5691860465116292,umag_gmag_rmag_imag,J060028.33+225621.9,12.003,0.027,0.023,10.575,I,0.023,0.003,0.0,0.011,0.0,0.0,,,11.798,0.03,22.939422,0.03,0.023,90.118083,unknown
973,14.988,13.902,12.83,12.34,12.1,11.789,11.513,11.247,0.19583333333333341,-3.594588235294122,1.6943720930232562,3.3189302325581393,1.6245581395348831,umag_gmag_rmag_imag,J041120.62+531404.3,11.513,0.023,0.05,10.508,III,0.043,0.003,0.0,0.007,0.0,0.0,,,11.247,0.057,53.234539,0.057,0.043,62.83595,unknown
979,14.643,15.53,12.91,12.67,12.55,12.461,12.419,12.437,-1.322999999999999,-3.195235294117643,-0.582813953488373,2.3134651162790663,2.896279069767439,umag_gmag_rmag_imag,J064917.48+100119.6,,,0.022,,II,0.026,0.013,0.0,0.007,0.0,0.0,,Star in Cluster,,0.031,10.022122,,,102.32287,unknown
