,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
1590,19.961,19.586,18.052,17.339,17.13,15.92,15.403,15.089,-0.9202833333333347,-5.536647058823535,0.9047906976744174,2.9199767441860427,2.0151860465116256,umag_gmag_rmag_imag,-58.877453,18.027,4.323,4.699,6.11,4371,3.597,15.82,160.215529,1,1,0,0
1591,19.564,19.327,17.948,17.26,16.894,15.956,15.465,15.145,-1.012866666666666,-6.521000000000017,1.1647674418604712,3.386418604651177,2.221651162790706,umag_gmag_rmag_imag,-58.836049,17.876,4.329,4.435,2.99,4372,3.693,15.96,160.260553,1,1,0,0
1626,20.034,19.688,18.161,17.346,17.506,15.679,15.056,14.918,-1.1345833333333353,-3.8537058823529495,-0.059581395348837274,1.0990465116279045,1.1586279069767416,umag_gmag_rmag_imag,-59.040305,18.15,4.339,5.295,2.34,4478,4.021,15.5,160.146189,1,1,0,0
1662,15.973,15.83,14.353,13.533,13.657,11.467,10.88,10.465,-1.3466666666666662,-4.319588235294117,-0.17132558139534942,1.0201860465116266,1.191511627906976,umag_gmag_rmag_imag,-58.715865,14.356,4.339,5.973,5.52,4592,4.858,11.0,160.592487,1,1,0,0
1702,19.46,19.206,17.793,17.127,17.883,15.612,15.186,14.835,-0.9558999999999991,0.8310588235294124,-1.6623720930232542,-1.989930232558137,-0.327558139534883,umag_gmag_rmag_imag,-59.043994,17.79,4.3,4.664,5.81,4730,3.946,15.31,160.410722,1,0,0,0
1703,20.047,19.805,18.284,17.349,17.481,15.504,14.845,14.626,-1.4565833333333298,-4.906647058823513,-0.09260465116279332,1.1244883720930183,1.2170930232558117,umag_gmag_rmag_imag,-59.551115,18.259,4.439,5.919,0.96,4731,4.317,16.06,159.867216,1,1,1,0
1705,20.357,19.733,17.911,16.977,17.132,15.113,14.455,14.22,-1.0727666666666693,-4.3707647058823555,0.23109302325581005,1.6962325581395277,1.4651395348837177,umag_gmag_rmag_imag,-59.487082,17.904,4.355,5.911,3.58,4737,3.789,14.95,159.950299,1,1,0,0
1710,20.351,19.992,18.289,17.41,17.546,15.585,15.018,14.595,-1.237850000000004,-4.404941176470605,0.014255813953488683,1.4041395348837227,1.389883720930234,umag_gmag_rmag_imag,-59.514211,18.359,4.415,5.832,3.06,4747,3.976,15.98,159.936092,1,1,1,0
1716,18.068,18.13,16.738,15.788,16.337,13.831,13.056,12.706,-1.7878333333333292,-2.6331176470588207,-1.4536511627906934,-1.325627906976738,0.1280232558139549,umag_gmag_rmag_imag,-60.199935,16.689,4.489,6.302,2.32,4761,4.99,14.67,159.185837,1,0,1,0
1719,20.115,19.808,18.015,17.084,17.134,15.208,14.576,14.357,-1.3843166666666693,-5.341764705882357,0.18025581395348525,1.8581395348837155,1.6778837209302302,umag_gmag_rmag_imag,-58.923858,17.975,4.514,6.071,3.38,4765,3.859,16.65,160.583949,1,1,1,0
1725,20.552,19.908,18.14,17.277,17.568,15.49,14.902,14.859,-0.9237833333333338,-3.0235294117647036,-0.09365116279069985,1.0043720930232538,1.0980232558139535,umag_gmag_rmag_imag,-59.065755,18.135,4.322,5.52,6.88,4780,3.682,15.19,160.448903,1,1,0,0
1726,19.929,19.49,17.933,17.067,16.766,15.421,14.77,14.387,-1.1342333333333323,-7.043529411764719,1.2020000000000046,3.452000000000007,2.2500000000000027,umag_gmag_rmag_imag,-59.498331,17.922,4.304,5.403,2.67,4785,4.05,14.81,159.995091,1,1,0,0
