,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
5183,18.913,18.547,16.73,15.585,16.071,13.531,12.739,12.335,-1.7140833333333325,-3.859352941176465,-0.8659534883720943,-0.1678837209302344,0.6980697674418597,umag_gmag_rmag_imag,-61.244332,16.733,4.6,6.85,5.49,13521,4.155,15.66,168.767049,1,1,0,0
5187,18.701,18.125,15.97,14.62,15.635,12.153,11.306,10.91,-1.8765000000000014,-1.571941176470594,-1.9969069767441856,-2.1787674418604652,-0.18186046511627962,umag_gmag_rmag_imag,-61.249687,15.971,4.648,7.918,7.62,13526,4.152,14.63,168.770723,1,0,0,0
5190,18.62,18.165,16.236,15.039,15.721,12.706,12.033,11.719,-1.7195499999999995,-2.8470588235294145,-1.2737906976744169,-0.9149767441860459,0.35881395348837053,umag_gmag_rmag_imag,-61.243185,16.229,4.626,7.224,5.56,13530,4.138,15.2,168.782116,1,0,0,0
5191,17.046,16.641,14.936,13.87,13.861,11.98,11.417,11.016,-1.5315666666666663,-6.4876470588235255,0.4278139534883696,2.1535348837209227,1.7257209302325531,umag_gmag_rmag_imag,-61.266824,14.888,4.509,6.241,2.51,13531,3.948,13.29,168.765041,1,1,0,0
5193,15.72,15.811,14.502,13.708,13.843,12.33,11.844,11.506,-1.5334333333333332,-4.316352941176476,-0.43320930232557997,0.5649767441860479,0.9981860465116279,umag_gmag_rmag_imag,-61.25748,14.486,4.578,5.036,0.7,13533,4.065,14.72,168.773592,1,1,0,0
5194,17.412,17.143,15.684,14.789,14.944,13.304,12.605,12.422,-1.3569166666666672,-4.475705882352934,-0.12390697674419038,0.9782325581395296,1.10213953488372,umag_gmag_rmag_imag,-61.25593,15.641,4.396,5.267,1.73,13536,3.924,13.6,168.776092,1,1,0,0
5195,15.561,15.584,14.218,13.516,13.178,11.937,11.456,10.898,-1.2982999999999993,-6.691235294117644,0.8337906976744164,2.9779767441860416,2.144186046511625,umag_gmag_rmag_imag,-61.257392,14.227,4.422,5.192,5.39,13538,4.396,12.49,168.775614,1,1,0,0
5201,18.788,18.041,15.893,14.501,15.388,11.86,11.016,10.589,-1.7818000000000018,-2.4909411764705944,-1.5014418604651163,-1.3956046511627909,0.10583720930232543,umag_gmag_rmag_imag,-61.229709,15.887,4.602,8.206,5.19,13550,4.216,13.67,168.806349,1,0,0,0
5204,18.86,18.166,16.082,14.75,15.657,12.352,11.571,11.224,-1.7258000000000018,-2.0310000000000064,-1.6051395348837207,-1.6093488372093008,-0.004209302325580921,umag_gmag_rmag_imag,-61.244578,16.066,4.615,7.648,6.74,13556,4.006,14.55,168.798112,1,0,0,0
5208,20.588,19.775,17.87,16.755,17.105,14.543,13.9,13.472,-1.2125833333333342,-4.092000000000003,-0.0742093023255822,1.0249767441860407,1.0991860465116225,umag_gmag_rmag_imag,-61.249236,17.893,4.331,6.688,0.43,13561,4.048,13.91,168.795421,1,1,0,0
5231,20.055,19.457,17.331,16.041,16.894,13.74,12.986,12.52,-1.745499999999999,-2.2039411764705976,-1.564255813953483,-1.402139534883708,0.16211627906977433,umag_gmag_rmag_imag,-61.24395,17.356,4.603,7.525,4.64,13597,3.949,15.78,168.815966,1,0,0,0
5244,17.53,17.329,15.879,14.987,16.003,13.576,13.033,12.823,-1.4194666666666647,0.9960588235294161,-2.3744418604651143,-3.263604651162786,-0.889162790697672,umag_gmag_rmag_imag,-61.267712,15.881,4.482,5.127,3.4,13617,3.727,14.89,168.80762,1,0,0,0
5247,19.351,18.915,17.285,16.316,17.277,14.381,13.657,13.57,-1.3243500000000017,0.3847058823529468,-2.0000232558139577,-2.5825581395348918,-0.582534883720935,umag_gmag_rmag_imag,-61.263962,17.32,4.371,5.971,7.03,13621,4.126,14.32,168.815475,1,0,0,0
5254,20.338,19.864,18.1,17.127,17.192,15.265,14.681,14.553,-1.2936166666666706,-5.347882352941186,0.30923255813953193,1.9235813953488308,1.614348837209299,umag_gmag_rmag_imag,-61.213405,18.117,4.464,5.981,2.03,13632,3.793,16.22,168.864679,1,1,0,0
5276,20.182,19.666,17.77,16.651,16.954,14.526,13.938,13.476,-1.5168500000000007,-4.715999999999997,-0.25206976744186393,0.9463255813953448,1.1983953488372086,umag_gmag_rmag_imag,-61.226307,17.744,4.533,6.799,1.31,13661,3.998,15.94,168.867411,1,1,1,0
5285,20.571,19.648,17.677,16.519,16.715,14.297,13.591,13.105,-1.1806999999999999,-5.245117647058822,0.42616279069767266,1.9459069767441812,1.5197441860465084,umag_gmag_rmag_imag,-61.289726,17.658,4.32,6.855,0.69,13672,4.016,13.48,168.827728,1,1,0,0
5301,16.846,16.289,14.253,12.995,13.789,10.583,9.771,9.317,-1.7283666666666693,-2.418058823529417,-1.455697674418606,-1.2477441860465115,0.20795348837209415,umag_gmag_rmag_imag,-61.311275,14.28,4.594,7.688,1.87,13690,4.247,12.39,168.825133,1,0,0,0
5320,20.442,19.862,18.044,16.932,18.12,15.192,14.6,14.417,-1.4401333333333346,1.067294117647064,-2.431441860465119,-3.348604651162799,-0.9171627906976805,umag_gmag_rmag_imag,-61.289535,18.061,4.528,6.048,5.3,13710,3.543,16.85,168.853628,1,0,1,0
5323,19.661,19.117,17.366,16.343,16.357,14.321,13.691,13.305,-1.3144499999999986,-5.925470588235298,0.5085116279069789,2.2272790697674467,1.718767441860468,umag_gmag_rmag_imag,-61.276537,17.356,4.365,6.287,0.08,13715,4.102,14.09,168.871441,1,1,0,0
5340,19.155,18.542,16.457,15.132,15.973,12.703,11.918,11.525,-1.7940833333333353,-2.49029411764706,-1.518837209302328,-1.3700930232558166,0.14874418604651107,umag_gmag_rmag_imag,-61.298953,16.433,4.629,7.728,4.61,13739,4.094,15.02,168.895142,1,0,0,0
5374,14.263,14.421,13.56,12.982,12.882,12.175,11.834,11.597,-1.2080333333333346,-4.505176470588242,0.09548837209302274,1.1867209302325556,1.0912325581395328,umag_gmag_rmag_imag,-62.926751,13.543,4.316,3.278,7.29,13795,3.908,12.32,167.602679,1,1,0,0
5627,19.933,18.976,16.692,15.406,15.854,12.834,12.016,11.428,-1.3792333333333313,-4.416058823529419,-0.17862790697673936,1.0739302325581472,1.2525581395348864,umag_gmag_rmag_imag,-61.594031,16.735,4.408,7.973,7.57,14264,4.094,12.48,169.708795,1,1,0,0
5687,19.54,19.688,18.157,17.272,17.843,15.635,15.105,14.84,-1.7557500000000021,-2.1612941176470595,-1.5954186046511656,-1.3790465116279136,0.21637209302325178,umag_gmag_rmag_imag,-61.179767,18.152,4.637,5.612,5.62,14405,4.1,18.65,170.355833,1,0,1,0
