,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,Jmag_Hmag_Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
1550,18.829,18.8,17.528,16.898,17.26,15.473,15.326,14.787,-0.31097385620914975,-0.5712077922077932,-1.1833859649122813,-0.7553925233644855,0.5346842105263191,1.0405140186915935,2.3843457943925266,0.9072631578947394,1.1480186915887884,2.1709626168224325,0.7314953271028033,Jmag_Hmag_Kmag,-59.262546,17.572,4.37,4.419,7.03,4239,3.961,15.93,159.65436,1,0,1,0
1557,17.898,17.845,16.749,16.123,16.471,14.962,14.806,14.365,-0.21870588235293964,-0.46416017316017233,-1.0446491228070152,-0.6468411214953255,0.3875497076023431,0.8787943925233668,2.2108130841121465,0.7335789473684226,0.9673925233644867,1.9805607476635485,0.7235700934579413,Jmag_Hmag_Kmag,-60.179082,16.749,4.304,3.805,5.87,4268,3.808,14.99,158.656128,1,0,0,0
1678,16.419,16.95,16.371,16.017,16.129,15.469,15.362,14.921,-0.2677058823529424,-0.8042077922077913,-1.1257192982456128,-0.9491728971962594,-0.38259649122806727,-0.18721495327102355,0.542261682242994,0.3740526315789485,0.46704672897196453,1.0162149532710292,0.38540186915887825,Jmag_Hmag_Kmag,-60.539477,16.336,4.363,2.488,3.9,4649,4.078,16.3,158.624204,1,0,1,0
1791,20.09,19.869,18.302,17.491,17.714,16.125,15.27,15.126,0.7326470588235298,-0.5184069264069263,-1.294801169590643,-0.8766401869158882,0.8015204678362579,1.2164859813084106,2.878271028037382,1.0974736842105266,1.2949813084112147,2.5436869158878497,0.873523364485981,Jmag_Hmag_Kmag,-58.801898,18.298,4.456,5.252,7.24,5006,3.79,16.97,160.960948,1,1,1,0
1844,20.025,19.967,18.218,17.252,17.857,15.559,15.015,14.722,0.29504575163398483,-0.7672857142857138,-1.6726140350877192,-1.0167196261682239,0.6319824561403484,1.456121495327101,3.530663551401869,1.1897368421052614,1.5819953271028022,3.1645093457943925,1.1356261682243003,Jmag_Hmag_Kmag,-59.263386,18.173,4.613,5.842,4.39,5153,3.722,18.27,160.643481,1,0,1,0
1874,19.811,19.471,17.915,17.053,17.438,15.317,14.598,14.634,0.7495882352941167,-0.3942164502164507,-1.2012982456140346,-0.6955000000000005,0.8474853801169622,1.4323738317757015,3.240149532710277,1.0569473684210546,1.3353317757009355,2.704051401869157,0.9699439252336426,Jmag_Hmag_Kmag,-59.959697,17.934,4.377,5.491,2.88,5249,4.01,15.46,159.999749,1,1,0,0
1894,20.393,19.99,18.094,16.833,17.609,14.186,13.236,12.754,0.5404575163398677,-0.491649350649347,-1.6093567251461964,-0.8097523364485939,0.7651520467836221,1.8275981308411215,4.531813084112156,1.1659473684210484,1.6716308411214928,3.733560747663554,1.4785700934579478,Jmag_Hmag_Kmag,-59.680048,18.084,4.521,8.11,1.98,5321,4.875,14.85,160.392854,1,0,1,0
1907,19.932,19.919,18.268,17.182,17.373,14.994,14.103,13.712,0.5587777777777778,-0.7660432900432917,-1.7316374269005876,-1.2837943925233657,0.3430175438596448,0.7940934579439237,2.9891962616822463,1.0222631578947357,1.2369579439252338,2.8789112149532747,1.1395514018691617,Jmag_Hmag_Kmag,-59.650637,18.215,4.588,7.093,2.78,5365,4.855,16.73,160.473833,1,1,1,0
1972,19.821,19.484,17.238,15.674,16.397,12.25,11.035,10.377,0.6559150326797389,-0.7228008658008671,-2.0915964912280716,-1.2353504672897213,0.6805906432748561,1.7655794392523374,5.052439252336449,1.340526315789476,1.8569392523364505,4.347182242990655,1.7667102803738315,Jmag_Hmag_Kmag,-59.510516,17.287,4.634,10.138,5.07,5614,5.321,13.59,160.9027,1,1,1,0
2007,19.69,19.367,17.504,16.305,16.914,13.717,12.89,12.444,0.4480457516339872,-0.5560779220779214,-1.6288011695906432,-0.9264252336448588,0.7275672514619866,1.6125420560747665,4.147672897196266,1.1688421052631566,1.5900560747663548,3.5144813084112174,1.369747663551404,Jmag_Hmag_Kmag,-59.612416,17.506,4.563,7.808,1.88,5751,4.742,15.07,160.928355,1,1,1,0
