,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,Vc,e_Mass,e_Jmag,vsini,e_Rad,Teff,clean,Rad,e_Kmag,e_y-Ha,Mass,e_Teff,e_gmag,SB?,loggP,e_logg,e_rmag,MG,e_umag,logg,e_Hamag,e_imag,e_b-y,ymag,WHa05,y-Ha,e_vsini,WHa07,b-y,e_Hmag,DEJ2000,e_ymag,RAJ2000,Cluster,WHa06,Code
899,19.54,16.54,14.13,13.09,13.82,11.019,10.052,9.689,1.1106666666666654,1.0123529411764667,1.14953488372093,1.8788372093023242,0.7293023255813937,umag_gmag_rmag_imag,,,0.024,,,,False,,0.019,0.075,,,0.01,,,,0.0,382,0.05,,0.0,0.0,0.073,15.246,,1.459,,,1.435,0.025,-53.8449167,0.046,145.1184167,Ruprecht 79,,O
901,18.87,16.6,14.53,13.65,14.27,11.833,11.027,10.748,0.6713333333333351,0.6029411764705885,0.6983720930232582,1.3409302325581467,0.6425581395348883,umag_gmag_rmag_imag,,,0.023,,,,True,,0.021,0.075,,,0.0,,,,0.0,188,0.03,,0.0,0.0,0.072,15.514,,1.292,,,1.241,0.022,-53.791,0.045,145.1237083,Ruprecht 79,,O
906,20.11,16.77,14.16,12.97,13.82,10.665,9.66,9.27,1.1781666666666681,1.1600000000000001,1.185348837209304,1.838372093023259,0.6530232558139548,umag_gmag_rmag_imag,,,0.022,,,,True,,0.023,0.077,,,0.01,,,,0.0,649,0.08,,0.0,0.0,0.083,15.421,,1.634,,,1.616,0.022,-53.9203611,0.05,145.1267083,Ruprecht 79,,O
922,17.05,16.74,15.01,14.18,14.56,12.556,11.993,11.534,-1.1978333333333309,-2.575294117647053,-0.6532558139534876,0.20186046511627742,0.8551162790697647,umag_gmag_rmag_imag,,,0.022,,,,False,,0.021,0.076,,,0.0,,,,0.0,137,0.01,,0.01,0.01,0.071,15.899,,1.499,,,0.999,0.022,-53.7678333,0.046,145.1452917,Ruprecht 79,,O
943,19.79,16.82,14.37,13.28,14.08,11.127,10.145,9.784,0.9898333333333329,1.1105882352941214,0.9420930232558122,1.5502325581395335,0.6081395348837213,umag_gmag_rmag_imag,,,0.023,,,,True,,0.019,0.077,,,0.01,,,,0.0,351,0.06,,0.0,0.0,0.081,15.55,,1.507,,,1.496,0.022,-53.8363889,0.049,145.16325,Ruprecht 79,,O
1272,16.87,14.44,12.51,11.62,12.13,9.924,9.015,8.747,0.8131666666666675,-0.0064705882352869,1.1372093023255796,1.8930232558139486,0.7558139534883688,umag_gmag_rmag_imag,,,0.023,,,,False,,0.021,0.073,,,0.01,,,,0.0,246,0.01,,0.0,0.0,0.08,13.404,,1.286,,,1.168,0.022,-57.6604167,0.051,157.0076667,IC 2581,,O
1285,17.73,15.4,13.58,12.79,13.21,11.21,10.457,10.182,0.894833333333332,-0.04235294117646626,1.2653488372092987,2.118372093023249,0.8530232558139503,umag_gmag_rmag_imag,,,0.023,,,,False,,0.021,0.083,,,0.01,,,,0.0,319,0.01,,0.0,0.0,0.089,14.317,,1.145,,,1.061,0.026,-57.7066944,0.056,157.0310833,IC 2581,,O
1293,17.6,15.44,13.74,13.03,13.4,11.529,10.841,10.613,0.8701666666666674,-0.019999999999997797,1.2220930232558138,2.0702325581395327,0.8481395348837184,umag_gmag_rmag_imag,,,0.024,,,,False,,0.021,0.086,,,0.0,,,,0.0,244,0.01,,0.0,0.0,0.092,14.539,,1.162,,,0.982,0.024,-57.65625,0.058,157.05975,IC 2581,,O
1361,20.0,17.24,15.21,14.13,14.81,12.442,11.679,11.377,0.7980000000000018,0.19529411764705706,1.036279069767445,1.5006976744186074,0.4644186046511618,umag_gmag_rmag_imag,,,0.031,,,,True,,0.111,0.093,,,0.01,,,,0.0,560,0.08,,0.0,0.0,0.112,16.187,,1.427,,,1.383,0.034,-5.9196389,0.067,282.0470833,Basel 1,,O
1373,20.13,17.32,15.25,14.13,14.84,12.348,11.549,11.273,0.7753333333333341,0.18117647058823216,1.0102325581395368,1.4455813953488428,0.4353488372093055,umag_gmag_rmag_imag,,,0.025,,,,True,,0.025,0.095,,,0.01,,,,0.0,716,0.11,,0.0,0.0,0.114,16.234,,1.447,,,1.443,0.025,-5.9595,0.069,282.0516667,Basel 1,,O
1377,20.55,17.32,14.98,13.68,14.52,11.657,10.721,10.406,0.8683333333333332,0.2805882352941116,1.1006976744186066,1.5067441860465154,0.40604651162790817,umag_gmag_rmag_imag,,,0.025,,,,True,,0.025,0.09,,,0.0,,,,0.0,525,0.14,,0.0,0.0,0.117,16.117,,1.647,,,1.559,0.027,-5.9115278,0.069,282.0523333,Basel 1,,O
1405,19.27,16.12,13.86,12.6,13.4,10.574,9.658,9.369,0.8609999999999998,0.2005882352941213,1.122093023255812,1.5402325581395337,0.4181395348837218,umag_gmag_rmag_imag,,,0.023,,,,False,,0.019,0.071,,,0.0,,,,0.0,30,0.05,,0.0,0.0,0.09,14.998,,1.628,,,1.533,0.021,-5.7722222,0.056,282.067375,Basel 1,,O
1483,20.47,16.94,14.48,13.04,13.98,10.856,9.8,9.46,0.9139999999999957,0.32411764705882007,1.1472093023255767,1.4430232558139489,0.29581395348837125,umag_gmag_rmag_imag,,,0.023,,,,True,,0.019,0.082,,,0.01,,,,0.0,420,0.13,,0.0,0.0,0.106,15.681,,1.717,,,1.643,0.021,-5.8846667,0.064,282.1187917,Basel 1,,O
