,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,Jmag_Hmag_Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,outlier_columns,ID,h,w1_err,e_Jmag,w1,Halpha_type,e_Kmag,e_gmag,e_rmag,e_umag,e_Hamag,e_imag,Fe_type,objtype_SIMBAD,k,e_Hmag,DEJ2000,h_err,k_err,RAJ2000,objtype_Hou
535,19.862,18.04,17.45,16.91,17.3,16.194,15.849,16.399,0.8123202614379079,1.543601731601731,1.1017076023391812,1.4450841121495328,1.7551578947368425,2.266205607476636,3.44041121495327,0.277368421052632,0.5206074766355145,1.4197663551401862,0.6493457943925227,Jmag_Hmag_Kmag,J054428.28+205845.8,15.849,0.072,0.086,16.08,IV,,0.006,0.01,0.041,0.02,0.01,,,16.399,0.165,20.979392,0.165,,86.117862,CBe
551,16.413,16.006,13.35,12.73,13.12,11.809,11.506,11.353,0.17299999999999868,-0.8462640692640695,-1.6812105263157888,-1.0629719626168226,2.308847953216376,2.8394485981308413,4.171411214953269,2.2970526315789486,2.549598130841122,3.5657663551401857,0.7293457943925222,Jmag_Hmag_Kmag,J054100.76+212756.1,11.506,0.023,0.021,11.211,IV,0.018,0.014,0.0,0.007,0.0,0.0,,,11.353,0.022,21.465586,0.022,0.018,85.253182,unknown
554,20.728,19.168,18.39,17.73,18.08,17.013,16.539,17.15,0.9931503267973832,1.1928917748917778,0.6433801169590675,1.0058317757009365,1.5351929824561412,2.0366915887850454,3.436317757009344,0.3958947368421039,0.6345887850467267,1.6980467289719599,0.7581308411214949,Jmag_Hmag_Kmag,J052618.22+285524.2,,,0.152,,VI,,0.011,0.03,0.057,0.03,0.02,,,,,28.923403,,,81.575928,unknown
561,18.279,17.35,14.72,14.0,14.4,13.034,12.731,12.558,0.15600653594771324,-0.3119956709956728,-1.2063801169590662,-0.5735700934579457,2.683210526315788,3.2479719626168215,4.779934579439253,2.2131578947368427,2.4819626168224307,3.647196261682245,0.8321495327102811,Jmag_Hmag_Kmag,J034638.80+494703.7,12.731,0.024,0.024,12.406,VI,0.028,0.013,0.0,0.022,0.0,0.0,,,12.558,0.033,49.784373,0.033,0.028,56.661669,unknown
629,24.651,14.845,14.63,13.68,14.19,12.102,11.286,11.082,0.6426666666666684,9.704549783549783,9.063397660818712,9.472378504672896,8.865444444444442,9.593336448598128,11.609691588785047,-0.33500000000000063,0.011448598130840426,1.5439252336448606,1.0929906542056085,Jmag_Hmag_Kmag,J055222.83+204152.3,11.286,0.062,0.026,10.898,VI,0.044,0.004,0.0,40.354,0.0,0.0,,,11.082,0.03,20.697878,0.03,0.044,88.095161,CBe
631,20.574,17.488,15.37,14.08,14.86,11.872,10.883,10.565,0.7188039215686286,2.0865974025974046,0.91364912280702,1.7474392523364508,3.6348771929824597,4.708299065420563,7.470822429906542,1.371157894736843,1.882065420560748,3.987532710280373,1.5086915887850458,Jmag_Hmag_Kmag,J055321.01+223039.1,10.883,0.023,0.02,10.346,VI,0.019,0.005,0.0,0.058,0.0,0.0,,,10.565,0.021,22.510868,0.021,0.019,88.337548,CBe
681,20.065,17.161,15.34,14.12,14.94,12.135,11.536,11.191,0.3058627450980404,2.044740259740259,0.9655847953216363,1.7727429906542047,3.241023391812867,4.336214953271029,6.97191588785047,1.114684210526317,1.635953271028039,3.6502523364486006,1.4499065420560755,Jmag_Hmag_Kmag,J063954.64+093335.8,11.536,0.023,0.026,10.966,II,0.019,0.005,0.0,0.043,0.0,0.0,,Star in Cluster,11.191,0.023,9.559957,0.023,0.019,99.977706,HII-region
683,21.713,21.633,17.7,15.2,17.0,11.054,9.331,8.658,1.1511699346405235,-1.7758311688311668,-4.020567251461986,-2.279799065420558,0.9720643274853824,3.3326261682243015,8.767205607476637,2.4856315789473684,3.6091682242990655,7.770383177570094,3.004672897196262,Jmag_Hmag_Kmag,J064108.31+102408.1,9.331,0.023,0.022,8.268,II,0.023,0.047,0.01,0.133,0.01,0.0,,,8.658,0.024,10.402258,0.024,0.023,100.28466,HII-region
694,15.274,16.722,13.35,13.11,13.26,12.848,12.749,12.681,0.041222222222221244,-3.039116883116886,-3.750385964912284,-3.2113551401869183,1.6320701754385958,1.8365233644859809,2.3518504672897196,3.233052631578949,3.33036448598131,3.7234485981308434,0.28205607476635547,Jmag_Hmag_Kmag,J064812.93+102409.2,12.749,0.024,0.028,12.614,II,0.027,0.016,0.0,0.006,0.0,0.0,,,12.681,0.025,10.402571,0.025,0.027,102.05389,HII-region
697,15.54,19.171,13.73,13.31,13.49,12.764,12.508,12.452,0.20841830065359573,-6.198398268398268,-7.366959064327484,-6.524593457943924,1.2991228070175427,1.5767289719626154,2.455420560747662,5.197842105263157,5.329971962616821,5.994738317757008,0.47046728971962604,Jmag_Hmag_Kmag,J064601.57+112446.1,12.508,0.024,0.023,12.343,II,0.026,0.025,0.0,0.005,0.0,0.0,,,12.452,0.027,11.412815,0.027,0.026,101.50655,HII-region
707,20.946,15.032,13.62,13.16,13.36,12.638,12.272,12.247,0.34475816993463987,5.247731601731603,4.720736842105265,5.0623738317757025,6.766467836257314,7.073289719626171,8.036467289719626,1.1456842105263172,1.2917196261682253,2.0205981308411207,0.516074766355139,Jmag_Hmag_Kmag,J064059.21+101929.0,12.272,0.023,0.023,12.182,II,0.027,0.006,0.0,0.175,0.0,0.0,,,12.247,0.023,10.324742,0.023,0.027,100.24671,HII-region
708,20.547,17.832,15.51,14.01,14.92,11.629,10.59,10.223,0.7271699346405234,1.6193376623376619,0.27875438596491176,1.2317850467289717,3.2124385964912294,4.463542056074767,7.6766261682243,1.4535789473684222,2.049056074766356,4.498121495327104,1.755140186915888,Jmag_Hmag_Kmag,J064147.30+100427.4,10.59,0.022,0.029,9.953,II,0.023,0.006,0.0,0.061,0.0,0.0,,,10.223,0.029,10.074302,0.029,0.023,100.44711,HII-region
717,16.061,16.273,13.45,13.0,13.23,12.29,12.074,11.989,0.1437777777777779,-1.544064935064935,-2.2982982456140344,-1.7619392523364477,2.06363157894737,2.397168224299067,3.3490373831775706,2.562473684210527,2.7212242990654216,3.4438878504672896,0.5144859813084106,Jmag_Hmag_Kmag,J064427.62+085501.7,12.074,0.023,0.023,11.918,II,0.026,0.014,0.0,0.007,0.0,0.0,,,11.989,0.022,8.9171651,0.022,0.026,101.11509,HII-region
731,15.991,16.2,13.71,13.29,13.56,12.502,12.275,12.168,0.13608496732026082,-1.3839350649350637,-2.0639122807017536,-1.5536728971962603,1.7701228070175408,2.135205607476634,3.0391308411214975,2.2468421052631555,2.4206074766355123,3.110607476635515,0.4957009345794413,Jmag_Hmag_Kmag,J064427.82+112054.5,12.275,0.024,0.024,12.128,II,0.026,0.013,0.0,0.006,0.0,0.0,,,12.168,0.027,11.348497,0.027,0.026,101.11593,HII-region
738,16.391,16.532,13.75,13.28,13.59,12.563,12.398,12.281,0.06558823529411935,-1.4537186147186163,-2.213912280701756,-1.6394953271028052,2.069304093567249,2.4854859813084094,3.49922429906542,2.5098947368421047,2.707981308411215,3.4823271028037395,0.5569158878504681,Jmag_Hmag_Kmag,J064158.02+102828.4,12.398,0.024,0.023,12.176,II,0.026,0.025,0.0,0.009,0.0,0.0,,,12.281,0.027,10.474559,0.027,0.026,100.49176,HII-region
741,15.411,17.19,13.81,13.55,13.71,13.161,13.036,12.941,0.04428104575163497,-3.373891774891777,-4.099233918128657,-3.551523364485983,1.2847426900584789,1.5038037383177565,2.0613738317757,3.2294736842105274,3.3337383177570103,3.758878504672898,0.304859813084112,Jmag_Hmag_Kmag,J064615.04+113136.2,13.036,0.025,0.025,12.929,II,0.035,0.015,0.0,0.005,0.0,0.0,,,12.941,0.03,11.526735,0.03,0.035,101.56268,HII-region
748,15.079,16.217,13.45,13.13,13.21,12.58,12.449,12.425,0.11060784313725587,-2.4436406926406904,-3.1057368421052596,-2.6696028037383144,1.239760233918132,1.3957289719626198,2.04918691588785,2.5817368421052636,2.655971962616823,3.146439252336447,0.34242990654205463,Jmag_Hmag_Kmag,J064027.91+110830.6,12.449,0.023,0.026,12.245,II,0.024,0.013,0.0,0.004,0.0,0.0,,,12.425,0.024,11.141836,0.024,0.024,100.11633,HII-region
750,15.411,17.19,13.81,13.55,13.71,13.161,13.036,12.941,0.04428104575163497,-3.373891774891777,-4.099233918128657,-3.551523364485983,1.2847426900584789,1.5038037383177565,2.0613738317757,3.2294736842105274,3.3337383177570103,3.758878504672898,0.304859813084112,Jmag_Hmag_Kmag,J064615.04+113136.2,13.036,0.025,0.025,12.929,II,0.035,0.015,0.0,0.005,0.0,0.0,,,12.941,0.03,11.526735,0.03,0.035,101.56268,HII-region
755,14.927,15.311,12.58,12.1,12.15,11.577,11.331,11.266,0.19077124183006622,-1.6726536796536797,-2.430777777777778,-1.994042056074766,1.7631403508771921,1.929056074766355,2.8896168224299075,2.4531052631578945,2.5320747663551404,3.2481495327102814,0.4940186915887857,Jmag_Hmag_Kmag,J064341.47+091859.9,11.331,0.024,0.027,11.26,II,0.023,0.012,0.0,0.007,0.0,0.0,,,11.266,0.026,9.3166556,0.026,0.023,100.92281,HII-region
756,20.301,17.008,15.16,14.02,14.65,12.094,11.242,10.988,0.6361830065359452,2.421,1.3883684210526315,2.09196261682243,3.7543333333333315,4.645299065420559,7.0699719626168225,1.1879999999999988,1.6120654205607468,3.456084112149533,1.3166355140186923,Jmag_Hmag_Kmag,J064421.54+092141.6,11.242,0.022,0.026,10.821,II,0.019,0.005,0.0,0.056,0.0,0.0,,White Dwarf Candidate,10.988,0.024,9.361561,0.024,0.019,101.08978,HII-region
757,14.958,16.001,13.3,13.09,13.16,12.565,12.466,12.421,0.06076470588235321,-2.3174978354978366,-2.8985497076023408,-2.4900514018691604,1.4025614035087703,1.5219252336448588,1.9556635514018699,2.579421052631579,2.6362336448598134,2.963009345794394,0.2296261682243,Jmag_Hmag_Kmag,J064432.94+093123.3,12.466,0.024,0.023,12.377,II,0.026,0.013,0.0,0.005,0.0,0.0,,Star in Cluster,12.421,0.029,9.523164,0.029,0.026,101.13727,HII-region
758,15.533,15.328,12.77,12.32,12.52,11.571,11.381,11.261,0.08803921568627318,-1.0020216450216448,-1.7123801169590633,-1.225242990654205,2.2156315789473693,2.5200093457943926,3.4634672897196244,2.2974736842105266,2.4423457943925233,3.15659813084112,0.5060747663551393,Jmag_Hmag_Kmag,J064307.36+092808.1,11.381,0.023,0.022,11.197,II,0.021,0.012,0.0,0.006,0.0,0.0,,Star in Cluster,11.261,0.023,9.4689255,0.023,0.021,100.78068,HII-region
765,15.687,15.734,13.08,12.61,12.83,11.897,11.643,11.489,0.12315032679738527,-1.2993203463203467,-2.0383216374269013,-1.5261401869158882,2.03530409356725,2.364009345794392,3.3525140186915894,2.3818947368421046,2.5383457943925234,3.2874579439252347,0.531682242990655,Jmag_Hmag_Kmag,J064443.81+090204.1,11.643,0.023,0.021,11.463,II,0.023,0.013,0.0,0.006,0.0,0.0,,,11.489,0.023,9.0344823,0.023,0.023,101.18257,HII-region
772,15.111,16.007,12.95,12.76,12.8,12.477,12.436,12.413,0.02145751633986992,-2.3384805194805214,-2.965725146198832,-2.529471962616823,1.929888888888891,2.0152056074766382,2.401093457943927,2.9470000000000023,2.987607476635517,3.2767196261682265,0.20121495327102779,Jmag_Hmag_Kmag,J064729.66+104021.2,12.436,0.023,0.023,12.373,II,0.03,0.013,0.0,0.009,0.0,0.0,,Star in Cluster,12.413,0.021,10.672563,0.021,0.03,101.87362,HII-region
775,16.656,12.398,13.93,13.49,13.71,12.687,12.464,12.359,0.13378431372548882,4.980891774891774,4.954070175438596,4.92626168224299,2.1907953216374265,2.5121682242990655,3.441514018691588,-1.7867368421052627,-1.6337757009345788,-0.9285420560747664,0.5016822429906539,Jmag_Hmag_Kmag,J063655.02+092747.3,12.464,0.023,0.024,12.197,II,0.024,0.002,0.0,0.01,0.0,0.0,,,12.359,0.024,9.4631647,0.024,0.024,99.229276,HII-region
786,15.428,16.366,13.65,13.34,13.5,12.88,12.744,12.628,0.03743790849673334,-2.2195757575757558,-2.866853801169589,-2.3977850467289703,1.4009239766081871,1.6322056074766356,2.288373831775702,2.5365263157894726,2.646607476635513,3.144878504672897,0.3548598130841127,Jmag_Hmag_Kmag,J063732.47+103105.1,12.744,0.024,0.026,12.614,II,0.034,0.013,0.0,0.005,0.0,0.0,,,12.628,0.022,10.518097,0.022,0.034,99.385306,HII-region
808,22.486,19.478,17.42,16.06,16.92,13.833,12.939,12.614,0.6178562091503276,2.03690909090909,0.8292748538011674,1.7050934579439248,3.4117309941520424,4.580018691588784,7.503009345794398,1.2706315789473668,1.8266915887850466,4.056971962616827,1.6011214953271067,Jmag_Hmag_Kmag,J053639.20+285604.7,12.939,0.023,0.022,12.388,II,0.023,0.012,0.01,0.189,0.01,0.01,,,12.614,0.023,28.934652,0.023,0.023,84.163343,HII-region
886,15.761,16.439,13.61,13.19,13.4,12.401,12.092,11.811,0.07024183006535831,-2.0128961038961046,-2.749000000000001,-2.2259018691588786,1.6401228070175438,1.9468878504672904,2.8339906542056084,2.5858421052631586,2.731850467289721,3.405028037383179,0.4788785046728974,Jmag_Hmag_Kmag,J054434.62+215152.5,12.092,0.024,0.023,11.498,II,0.02,0.013,0.0,0.005,0.0,0.0,,,11.811,0.023,21.864594,0.023,0.02,86.144283,HII-region
937,15.448,16.933,13.44,13.11,13.29,12.672,12.498,12.451,0.13406535947712644,-3.1332121212121207,-3.921883040935672,-3.3405467289719617,1.606596491228071,1.862205607476636,2.563420560747664,3.301947368421053,3.4236074766355142,3.9567383177570097,0.3804672897196262,Jmag_Hmag_Kmag,J064723.70+104241.2,12.498,0.023,0.023,12.399,VI,0.025,0.016,0.0,0.007,0.0,0.0,,,12.451,0.022,10.711448,0.022,0.025,101.84876,HII-region
979,14.643,15.53,12.91,12.67,12.55,12.461,12.419,12.437,0.057294117647057705,-2.1232770562770544,-2.7100409356725126,-2.4048504672897173,1.4410701754385968,1.3830934579439265,1.8227196261682261,2.4810526315789465,2.4534579439252333,2.770841121495327,0.2063551401869163,Jmag_Hmag_Kmag,J064917.48+100119.6,,,0.022,,II,0.026,0.013,0.0,0.007,0.0,0.0,,Star in Cluster,,0.031,10.022122,,,102.32287,unknown
980,20.557,18.68,17.8,17.14,17.53,15.875,15.881,15.187,-0.59567320261438,1.4617619047619042,0.8953625730994148,1.291252336448598,1.9541929824561382,2.4945700934579422,3.90541121495327,0.4978947368421042,0.7550934579439245,1.8297663551401864,0.7693457943925237,Jmag_Hmag_Kmag,J055507.38+223647.6,15.881,0.052,0.053,15.496,II,0.126,0.008,0.01,0.06,0.01,0.01,,,15.187,0.121,22.613237,0.121,0.126,88.78076,unknown
991,19.146,17.469,16.96,16.46,16.84,15.742,15.951,15.416,-0.6635751633986925,1.4368225108225103,1.0338362573099409,1.3566214953271019,1.577812865497076,2.0693644859813074,3.1618878504672883,0.21952631578947407,0.4534859813084111,1.2913364485981305,0.6065420560747661,Jmag_Hmag_Kmag,J054736.64+311507.7,15.951,0.044,0.066,15.069,II,0.195,0.005,0.01,0.024,0.01,0.01,,,15.416,0.173,31.252161,0.173,0.195,86.902705,unknown
997,19.226,17.633,17.13,16.68,16.98,15.914,15.867,15.229,-0.49509150326797635,1.3556536796536796,0.9855321637426905,1.260397196261683,1.5486315789473695,1.950205607476637,2.9217009345794396,0.2424736842105269,0.4336074766355148,1.1758971962616822,0.5341121495327098,Jmag_Hmag_Kmag,J055249.33+220817.8,,,0.073,,II,,0.005,0.01,0.027,0.01,0.01,,,,0.119,22.13828,,,88.205562,unknown
