,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
2814,20.637,19.916,18.247,17.352,17.907,16.029,15.207,15.134,-0.06653679653679656,-0.9133625730994148,-0.30227570093457934,1.3013450292397675,2.0595327102803744,3.980046728971962,1.1508421052631586,1.5117102803738325,2.976359813084112,1.0506074766355136,0.7599738562091491,Jmag_Hmag_Kmag,6.8,-58.887118,4.308,3.374,18.3,164.19436,15.61,4.983,8338,1,0,0,0
2825,19.458,19.817,18.425,17.617,18.108,15.82,15.35,15.176,-1.0158311688311703,-1.7613391812865509,-1.2294719626168238,0.05016959064327298,0.7248878504672873,2.455897196261679,0.9242105263157891,1.245350467289719,2.564808411214952,0.945663551401869,0.32215686274509914,umag_gmag_imag,7.49,-59.547939,4.63,4.707,18.396,163.642931,18.69,5.709,8379,1,0,1,0
2832,20.325,19.545,17.575,16.449,17.612,14.211,13.274,12.983,-0.149567099567103,-1.1934736842105285,-0.20456542056075155,1.3803625730994185,2.785962616822429,5.332467289719619,1.3181052631578987,1.9871168224299085,3.960098130841119,1.452074766355137,0.6897450980392181,Jmag_Hmag_Kmag,4.24,-60.158524,4.357,4.195,17.574,163.130476,13.56,7.06,8426,1,0,0,0
2845,17.215,17.474,16.71,16.197,16.501,15.346,14.821,14.963,-0.6195021645021646,-1.0729941520467845,-0.754593457943925,-0.11900000000000288,0.3018598130841116,1.398710280373835,0.4669999999999984,0.6673130841121491,1.5028691588785072,0.5982336448598153,0.6456535947712417,Jmag_Hmag_Kmag,4.14,-58.137293,4.303,4.392,16.765,165.047287,15.35,3.247,8469,1,0,0,0
2901,19.191,19.098,17.762,17.024,17.381,15.837,15.143,15.086,-0.5374069264069257,-1.2290233918128641,-0.7815467289719619,0.5313157894736835,1.0586822429906526,2.6140841121495297,0.908736842105262,1.159742990654204,2.3392476635513995,0.8380934579439246,0.6455686274509791,Jmag_Hmag_Kmag,5.4,-61.348944,4.415,3.776,17.766,162.137694,16.49,4.611,8615,1,0,1,0
2904,19.805,19.338,17.836,16.994,17.525,15.37,15.154,14.654,-0.24173593073593302,-1.0271286549707621,-0.4564439252336471,0.9448128654970789,1.6667196261682256,3.4759906542056056,1.0145263157894768,1.3581261682243015,2.738528037383178,0.9908785046728956,-0.20883660130719017,Jmag_Hmag_Kmag,4.18,-60.2238,4.297,3.726,17.84,163.29339,15.08,4.932,8618,1,0,0,0
2941,16.219,16.59,15.775,15.361,15.523,14.683,14.577,14.242,-0.755567099567098,-1.1543976608187116,-0.9144719626168211,-0.05957894736841973,0.1990654205607479,1.0608785046728966,0.5753157894736839,0.6984205607476628,1.349364485981307,0.45942056074766296,-0.17864052287581628,Jmag_Hmag_Kmag,5.25,-61.950745,4.399,3.524,15.793,161.634801,15.87,2.823,8729,1,0,0,0
2960,16.884,17.314,16.177,15.488,15.814,14.033,13.302,13.118,-0.9665064935064934,-1.5939415204678362,-1.1940186915887847,-0.13108187134502836,0.3541775700934592,1.804261682242992,0.7381052631578953,0.9690700934579446,2.068214953271029,0.7804018691588788,0.5746601307189547,umag_gmag_imag,5.29,-57.514154,4.571,4.961,16.185,165.92584,16.15,5.129,8789,1,0,1,0
3003,19.165,19.243,17.997,17.263,17.784,15.736,15.531,15.127,-0.6659393939393926,-1.340105263157892,-0.8211355140186907,0.2751812865497093,0.9609719626168208,2.55446728971962,0.8210526315789471,1.1474626168224282,2.367098130841116,0.8800747663551376,-0.13826797385620898,Jmag_Hmag_Kmag,2.8,-61.057335,4.478,4.165,18.037,162.810673,17.17,4.848,8895,1,0,1,0
3038,20.431,19.79,18.171,17.238,17.668,16.222,15.307,15.479,-0.12294372294372102,-0.9857134502923954,-0.43983177570093246,1.1251228070175459,1.7711028037383194,3.7315046728971972,1.0788421052631578,1.3863037383177568,2.8714859813084104,1.0535607476635511,1.061143790849673,Jmag_Hmag_Kmag,3.72,-58.411409,4.361,3.225,18.006,165.427892,16.17,4.861,9008,1,0,0,0
3086,18.594,18.8,17.452,16.754,17.156,15.622,15.202,15.007,-0.8420692640692631,-1.51017543859649,-1.0433644859813087,0.2929707602339173,0.8542990654205574,2.343439252336445,0.943894736842104,1.2110654205607454,2.3446822429906518,0.8107102803738315,0.2543137254901958,umag_gmag_imag,4.12,-60.985065,4.628,3.586,17.467,163.191524,18.93,4.423,9139,1,0,1,0
3093,17.464,17.68,16.795,16.308,16.587,15.605,15.23,15.563,-0.6335974025974027,-1.09054970760234,-0.772714953271029,0.07662573099414682,0.46683177570092965,1.505401869158877,0.6030526315789444,0.7887757009345766,1.5792943925233642,0.5652242990654224,0.6579411764705884,Jmag_Hmag_Kmag,2.9,-58.980405,4.365,3.458,16.793,165.102406,16.37,2.999,9158,1,0,0,0
3108,18.881,19.178,17.818,17.09,17.631,15.502,15.175,14.876,-0.938731601731602,-1.6279473684210537,-1.0849579439252344,0.1774795321637399,0.8812429906542034,2.4685140186915895,0.9385263157894723,1.2734906542056064,2.489957943925235,0.8796822429906559,0.07294771241829956,umag_gmag_imag,7.48,-61.093549,4.63,4.267,17.847,163.118564,18.64,5.137,9177,1,0,1,0
3118,12.496,13.738,13.861,13.898,13.775,14.243,14.347,14.412,-1.1839610389610375,-1.1400116959064317,-1.2231542056074753,-1.319994152046785,-1.4485887850467294,-1.5560373831775685,-0.10157894736842273,-0.1627850467289732,-0.25138785046728934,-0.07148598130841007,-0.04877124183006348,umag_gmag_rmag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,1.29,-58.357771,4.477,2.668,13.854,165.686661,16.93,0.305,9201,1,0,1,0
3188,19.015,19.123,17.869,17.23,17.637,15.857,15.114,15.093,-0.6997142857142868,-1.3146491228070183,-0.8648878504672904,0.3687368421052649,0.9205046728971977,2.2947009345794394,0.8840526315789492,1.1466728971962634,2.1953971962616827,0.7531121495327097,0.7251568627450959,Jmag_Hmag_Kmag,6.44,-59.726453,4.422,4.325,17.9,164.677951,16.52,4.75,9383,1,0,1,0
3231,18.005,18.105,17.078,16.583,16.821,15.895,15.279,15.288,-0.5846017316017335,-1.070163742690061,-0.7540000000000008,0.3248947368421038,0.6772056074766373,1.7200560747663596,0.7404210526315794,0.908107476635516,1.6988317757009388,0.5617289719626187,0.6236470588235293,Jmag_Hmag_Kmag,7.03,-59.572917,4.346,3.426,17.103,164.957524,16.3,3.227,9497,1,0,0,0
3292,20.418,19.89,18.29,17.355,17.931,15.706,14.988,14.869,-0.22697835497835683,-1.0878771929824573,-0.4698084112149542,0.9906900584795342,1.7790654205607497,3.7843457943925225,1.0586842105263181,1.4339205607476657,2.9629626168224306,1.0964953271028026,0.616888888888889,Jmag_Hmag_Kmag,3.68,-60.927931,4.34,3.889,18.332,163.906522,15.43,5.532,9676,1,0,0,0
3389,18.804,19.15,18.01,17.426,17.923,15.875,15.182,15.11,-0.8839220779220766,-1.4449239766081872,-0.9709672897196263,0.08363742690057807,0.7094392523364423,2.000411214953271,0.8018947368421006,1.0997523364485937,2.093266355140187,0.7233457943925266,0.6318235294117636,Jmag_Hmag_Kmag,7.69,-59.949834,4.439,5.066,17.972,165.164096,16.61,4.937,9938,1,0,1,0
3513,20.44,19.399,17.163,15.969,16.783,13.702,12.743,12.459,-0.014082251082250918,-1.1453742690058482,-0.29144859813084034,1.8246491228070179,2.9076542056074786,5.490401869158882,1.5447368421052634,2.060205607476637,4.034794392523367,1.422224299065422,0.7176928104575154,Jmag_Hmag_Kmag,3.03,-59.93631,4.374,3.785,17.201,165.465308,13.25,7.268,10239,1,0,0,0
3559,18.046,18.18,17.13,16.538,16.798,15.855,15.896,15.218,-0.6294545454545462,-1.1806549707602338,-0.8379158878504682,0.19590643274854003,0.5933084112149529,1.8336074766355106,0.7072631578947384,0.8964112149532715,1.8351775700934558,0.6648971962616804,-0.61707843137255,Jmag_Hmag_Kmag,5.44,-58.733671,4.476,3.066,17.135,166.558234,17.74,3.26,10316,1,0,1,0
3662,18.36,18.402,17.38,16.843,17.102,15.763,15.631,15.11,-0.5242424242424267,-1.035748538011698,-0.7041495327102821,0.32680701754386143,0.7097943925233663,1.8413551401869157,0.7111052631578973,0.8933925233644886,1.7514345794392536,0.6096168224299057,-0.3106797385620924,Jmag_Hmag_Kmag,3.06,-62.352735,4.3,3.882,17.384,163.398042,15.81,3.55,10534,1,0,0,0
3815,17.284,17.703,16.662,16.023,16.369,15.061,14.632,14.526,-0.9102077922077928,-1.4898771929824564,-1.0984672897196264,-0.155263157894736,0.3372149532710287,1.6943084112149525,0.6710526315789482,0.9054532710280381,1.93707476635514,0.7360093457943919,0.3389346405228762,umag_gmag_imag,4.39,-59.24446,4.628,3.895,16.667,166.532962,18.43,3.979,10795,1,0,1,0
3924,19.573,18.638,16.222,14.691,15.767,11.618,10.571,10.074,-0.20501731601731743,-1.5809239766081888,-0.5273317757009366,1.4887309941520457,2.9087570093457917,6.229514018691587,1.5296315789473685,2.205509345794392,4.7464579439252335,1.8326822429906544,0.6247124183006543,umag_gmag_imag | Jmag_Hmag_Kmag,3.81,-61.641706,4.594,4.406,16.254,164.702867,12.91,9.352,11045,1,0,0,0
3953,20.819,19.986,18.027,16.931,17.761,14.752,13.87,13.56,-0.09137662337662467,-1.1143391812865509,-0.30029439252336654,1.4588538011695888,2.53345794392523,4.927439252336445,1.324473684210526,1.8359439252336438,3.6716822429906526,1.3287102803738313,0.6186013071895451,Jmag_Hmag_Kmag,5.89,-59.371057,4.319,4.123,18.18,166.850416,13.85,6.823,11111,1,0,0,0
4014,14.729,14.698,13.186,12.265,12.736,10.577,10.027,9.673,-0.6824545454545468,-1.5198596491228078,-0.9683364485981317,0.4227192982456143,1.1056168224299066,3.053850467289718,0.9787894736842114,1.3038224299065428,2.782948598130841,1.0530560747663547,0.24921568627451124,umag_gmag_imag,2.73,-61.046592,4.61,4.151,13.167,165.553854,13.19,5.76,11249,1,0,0,0
4022,18.728,18.634,17.465,16.824,17.085,15.824,15.166,15.126,-0.4576060606060596,-1.0597426900584774,-0.6949766355140171,0.48330409356725545,0.8936542056074794,2.230859813084111,0.7978947368421068,0.9932056074766364,2.0039205607476616,0.714177570093456,0.6240130718954235,Jmag_Hmag_Kmag,5.98,-59.51277,4.313,3.758,17.469,166.909961,15.69,3.945,11263,1,0,0,0
4024,18.776,18.643,17.46,16.807,17.14,15.614,15.405,14.958,-0.42521212121212193,-1.0373157894736862,-0.6325467289719634,0.5217076023391777,1.0049719626168212,2.386028037383181,0.8049473684210513,1.0349626168224297,2.083415887850471,0.7463644859813112,-0.17080392156862528,Jmag_Hmag_Kmag,1.16,-59.490463,4.306,3.721,17.499,166.9294,15.6,3.97,11265,1,0,0,0
4073,20.234,19.735,18.167,17.24,17.798,15.737,15.046,15.091,-0.24087878787878447,-1.0913801169590625,-0.48760280373831577,0.9394210526315756,1.7083457943925204,3.69280373831776,1.0313157894736804,1.3972943925233607,2.9095887850467297,1.0834485981308442,0.7292352941176478,Jmag_Hmag_Kmag,4.86,-61.304076,4.358,3.658,18.152,165.513474,15.76,5.226,11397,1,0,0,0
4111,18.622,18.297,16.647,15.63,16.304,13.466,12.566,12.276,-0.4535714285714302,-1.3750175438596495,-0.6901261682243007,0.7379473684210571,1.6416168224299081,3.8360747663551362,1.0612105263157932,1.4913224299065442,3.1677757009345777,1.2059719626168195,0.653594771241828,Jmag_Hmag_Kmag,4.17,-59.377164,4.373,4.72,16.663,167.348254,13.01,6.692,11502,1,0,0,0
4149,18.552,19.124,18.179,17.448,17.917,15.92,15.502,14.984,-1.0179090909090902,-1.6403274853801149,-1.1867803738317733,-0.5161695906432712,0.11834579439252757,1.6913457943925239,0.5217894736842119,0.8237943925233663,2.0244626168224293,0.8624953271028022,-0.022130718954249617,umag_gmag_imag,4.13,-59.966185,4.634,5.298,18.075,167.032262,18.96,5.026,11594,1,0,1,0
4179,18.303,17.636,15.52,14.228,15.091,11.731,10.968,10.548,-0.33145887445887257,-1.5053508771929804,-0.6292850467289701,1.2114444444444463,2.366028037383179,5.155766355140187,1.3679999999999999,1.9175373831775697,4.049200934579439,1.5339626168224296,0.4061372549019608,umag_gmag_imag,1.83,-60.983064,4.608,4.109,15.524,166.279439,13.78,7.792,11665,1,0,0,0
4227,19.891,19.89,18.244,17.271,17.825,15.584,15.162,14.723,-0.7756839826839853,-1.6684210526315808,-1.0507990654205634,0.4634678362573099,1.2397476635514,3.3137943925233597,1.0826842105263172,1.4521635514018698,3.0306168224299053,1.128327102803737,0.04899346405228644,umag_gmag_imag,6.09,-60.772619,4.629,3.836,18.166,166.623107,18.55,5.755,11762,1,0,1,0
4252,17.061,17.689,16.827,16.233,16.574,15.369,14.831,14.77,-1.034744588744588,-1.5560935672514615,-1.1959205607476626,-0.4885263157894768,-0.011906542056076608,1.2550467289719633,0.5181052631578924,0.744957943925232,1.7093598130841126,0.6896074766355156,0.48616993464052316,umag_gmag_imag,4.54,-61.771855,4.635,4.48,16.834,165.788608,18.69,3.904,11810,1,0,1,0
4261,20.496,19.87,18.188,17.169,17.837,15.626,14.872,14.773,-0.16767099567099897,-1.0956900584795346,-0.40950000000000264,1.068514619883043,1.9668411214953279,4.163560747663548,1.0920526315789507,1.5196214953271054,3.197317757009346,1.2062897196261664,0.6698823529411759,Jmag_Hmag_Kmag,7.48,-60.963564,4.43,3.603,18.16,166.553944,16.2,5.637,11834,1,0,0,0
4352,18.698,18.95,17.69,16.932,17.343,15.85,15.362,15.369,-0.8465454545454525,-1.538327485380116,-1.0705186915887834,0.0859883040935634,0.6707289719626148,2.2807102803738353,0.8211578947368386,1.09947196261682,2.3233691588785064,0.8732336448598161,0.49394771241829993,umag_gmag_imag,5.72,-62.245085,4.632,3.694,17.663,165.601761,19.17,4.429,12001,1,0,1,0
4412,18.131,17.982,16.79,16.068,16.502,14.836,14.668,14.302,-0.4134588744588735,-1.0710350877192958,-0.6048317757009337,0.46277777777778184,1.0610747663551412,2.6065140186915845,0.7740000000000016,1.058766355140187,2.2364579439252297,0.8436822429906513,-0.14298039215686137,Jmag_Hmag_Kmag,5.18,-61.362761,4.329,3.631,16.811,166.586156,15.07,4.053,12115,1,0,0,0
4468,19.394,18.85,17.093,16.112,16.627,14.333,13.481,13.338,-0.2850606060606097,-1.2012748538011744,-0.5882757009345836,1.1077368421052598,1.848065420560745,3.926953271028038,1.189052631578948,1.5414205607476645,3.1206401869158915,1.125392523364488,0.7304967320261435,Jmag_Hmag_Kmag,5.4,-60.254481,4.378,3.887,17.091,167.60802,14.25,6.0,12204,1,0,0,0
4502,19.911,18.399,15.642,14.021,15.111,10.976,10.072,9.548,0.21107792207792198,-1.278654970760233,-0.16272897196261615,2.2972573099415246,3.752887850467293,7.255046728971963,1.8185263157894762,2.5113504672897218,5.187859813084112,1.9266074766355126,0.45877124183006784,gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,1.62,-61.173722,4.505,3.816,15.603,166.931203,11.43,9.336,12272,1,0,0,1
4568,18.492,18.358,17.141,16.519,16.84,15.449,14.857,14.894,-0.4402554112554119,-1.0382280701754394,-0.6391869158878503,0.5944152046783655,1.058439252336453,2.3750000000000044,0.8568947368421077,1.0777523364486012,2.0775000000000032,0.7120000000000003,0.6234379084967332,Jmag_Hmag_Kmag,7.2,-60.171624,4.311,3.635,17.153,167.937181,15.41,3.916,12409,1,0,0,0
4572,18.811,18.919,17.442,16.54,16.877,14.806,14.061,13.871,-0.8049393939393945,-1.6244385964912293,-1.1480841121495338,0.27183040935672387,0.8198411214953257,2.6930373831775705,0.9547894736842103,1.2156214953271025,2.6293878504672907,0.9964859813084121,0.5835620915032677,umag_gmag_imag,4.97,-61.181542,4.62,4.493,17.452,167.096289,17.36,5.964,12416,1,1,1,0
4583,19.44,19.54,18.096,17.208,17.753,15.746,15.256,14.83,-0.7813679653679627,-1.5864795321637408,-1.0102009345794363,0.26385964912280646,1.010616822429908,2.9145233644859863,0.9298947368421034,1.285322429906541,2.7369299065420583,1.0408037383177593,0.12803921568627463,umag_gmag_imag,4.68,-60.654559,4.627,4.007,18.097,167.562572,18.66,5.373,12431,1,0,1,0
4623,20.473,19.972,18.429,17.526,18.141,15.754,15.389,14.784,-0.22708225108225466,-1.0581461988304124,-0.431612149532714,0.9456140350877216,1.7640747663551406,3.717186915887847,1.0202105263157932,1.4097663551401896,2.902939252336449,1.0754299065420543,-0.14905228758169786,Jmag_Hmag_Kmag,2.23,-61.232161,4.295,4.055,18.462,167.186543,15.16,5.453,12516,1,0,0,0
4635,20.208,18.714,16.203,14.76,15.75,12.28,11.491,11.071,0.3091558441558444,-1.0263859649122797,-0.015700934579438552,2.2497719298245613,3.564700934579439,6.687813084112149,1.6755789473684206,2.3014345794392517,4.689560747663551,1.7205700934579435,0.4321372549019606,umag_gmag_Hamag,1.69,-60.967764,4.367,3.534,16.211,167.455393,11.76,7.859,12548,1,0,0,1
4660,16.594,17.291,16.458,15.957,15.898,15.259,14.862,14.856,-1.0900606060606062,-1.5473274853801158,-1.4065186915887844,-0.47340350877192405,-0.4082990654205566,0.5631121495327094,0.542947368421056,0.573934579439255,1.2901635514018681,0.484457943925231,0.3919019607843138,umag_gmag_imag | umag_gmag_Hamag,4.12,-60.982087,4.639,4.162,16.366,167.514078,18.81,3.45,12599,1,1,1,0
4732,15.452,15.43,13.937,12.993,13.588,11.27,10.714,10.397,-0.6824891774891774,-1.5314093567251454,-0.9162149532710279,0.3667426900584816,1.1757850467289725,3.204140186915886,0.9464736842105272,1.331546728971963,2.879079439252335,1.1108224299065408,0.2866535947712409,umag_gmag_imag,1.79,-61.280607,4.618,4.195,13.95,167.483547,13.98,5.806,12737,1,0,0,0
4751,18.938,18.603,17.264,16.449,16.962,15.214,14.966,14.494,-0.29682251082251454,-1.0380175438596515,-0.5008364485981343,0.6826549707602364,1.3804672897196262,3.1314485981308358,0.8671578947368457,1.1992897196261707,2.535154205607475,0.9588317757009318,-0.15304575163398537,Jmag_Hmag_Kmag,6.4,-60.776246,4.323,3.48,17.29,167.941866,15.26,4.335,12763,1,0,0,0
4819,17.793,17.781,16.788,16.191,16.603,15.409,15.337,15.079,-0.4565584415584404,-1.001508771929824,-0.5880093457943906,0.2788245614035063,0.8251869158878508,2.1179626168224335,0.6473684210526294,0.9074158878504665,1.896112149532712,0.7125140186915908,-0.14721568627450807,Jmag_Hmag_Kmag,2.43,-60.772947,4.33,3.178,16.746,168.059236,15.92,3.112,12881,1,0,0,0
4884,17.16,16.758,14.909,13.768,14.488,11.678,11.048,10.694,-0.4704718614718596,-1.5039064327485356,-0.7542149532710265,0.8631169590643273,1.8418037383177555,4.293682242990652,1.1884210526315775,1.6542383177570072,3.5249532710280347,1.3428691588785044,0.3292156862745113,umag_gmag_imag,2.23,-61.33848,4.621,4.003,14.899,167.734283,14.21,6.763,12992,1,0,0,0
4904,20.559,19.781,18.071,17.125,17.725,15.605,14.992,15.053,-0.02888311688311329,-0.915005847953213,-0.2692149532710242,1.337309941520466,2.1517009345794387,4.1854018691588815,1.1623157894736806,1.5499345794392496,3.1017943925233644,1.1142242990654225,0.6648300653594766,Jmag_Hmag_Kmag,5.24,-60.992319,4.313,3.395,18.097,168.053526,15.32,5.187,13019,1,0,0,0
4934,18.875,18.786,17.659,16.936,17.451,15.817,15.25,15.323,-0.4427878787878813,-1.0902397660818735,-0.5909766355140204,0.3365614035087745,1.0138317757009372,2.583953271028038,0.7084210526315821,1.0307757009345826,2.23264018691589,0.8673925233644851,0.6290261437908502,Jmag_Hmag_Kmag,5.21,-61.097538,4.324,3.884,17.637,168.026888,15.8,4.11,13065,1,0,0,0
4958,19.378,19.006,17.567,16.893,16.365,15.657,15.059,15.142,-0.30700865800865806,-0.9748830409356721,-0.9731822429906549,0.9911637426900592,0.6427009345794379,1.8237663551401837,1.048789473684211,0.8829345794392517,1.7207009345794373,0.5259626168224287,0.6685228758169943,Jmag_Hmag_Kmag,5.2,-61.169993,4.298,3.369,17.496,168.013911,15.54,4.194,13101,1,1,0,0
4965,15.102,14.952,13.355,12.347,12.997,10.419,9.755,9.413,-0.6035627705627699,-1.5104970760233916,-0.8457710280373827,0.5208947368421044,1.3990373831775695,3.569018691588786,1.013421052631578,1.4313831775700927,3.0879439252336454,1.1902429906542067,0.37341176470588167,umag_gmag_imag,1.31,-61.363055,4.58,4.329,13.416,167.88217,12.45,6.327,13117,1,0,0,0
5000,20.751,19.939,18.161,17.066,17.854,15.134,14.331,14.117,-0.02696969696969509,-1.0193274853801162,-0.2499859813084102,1.2580701754385937,2.291607476635512,4.67184112149533,1.1440526315789448,1.6359766355140164,3.45847663551402,1.3159345794392547,0.6211699346405248,Jmag_Hmag_Kmag,3.16,-61.242673,4.335,3.917,18.165,168.105039,14.62,6.238,13206,1,0,0,0
5107,20.564,19.048,16.231,14.536,15.736,11.374,10.344,9.708,0.18676623376623724,-1.3600701754385933,-0.17095327102803393,2.271245614035084,3.8518785046728947,7.530803738317759,1.8356842105263114,2.5880046728971924,5.403588785046728,2.0314485981308437,0.4896078431372568,umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,5.03,-61.129503,4.509,3.98,16.232,168.619899,11.6,9.843,13390,1,0,0,0
5150,15.996,15.529,13.555,12.38,12.982,10.177,9.466,9.037,-0.4644545454545449,-1.540257309941519,-0.8303037383177565,1.011760233918131,1.884065420560748,4.369906542056072,1.2937368421052642,1.7089205607476636,3.5962803738317737,1.3437850467289705,0.346490196078433,umag_gmag_imag,2.28,-61.250056,4.616,4.075,13.586,168.689635,12.47,7.159,13471,1,1,0,0
5158,16.856,16.515,14.671,13.534,14.238,11.531,10.882,10.577,-0.5291125541125535,-1.5591695906432734,-0.8187803738317749,0.801982456140355,1.7641401869158904,4.203644859813084,1.1857368421052652,1.6436869158878518,3.504065420560747,1.3343831775700918,0.38984967320261554,umag_gmag_imag,4.45,-61.208296,4.64,3.953,14.668,168.751448,14.36,6.628,13486,1,0,0,0
5161,18.565,17.924,15.849,14.566,15.778,12.17,11.427,11.061,-0.3381125541125519,-1.4994795321637397,-0.4520560747663527,1.1553918128654992,2.646990654205609,5.516831775700934,1.332210526315789,2.042154205607476,4.258504672897194,1.622813084112149,0.4320196078431379,umag_gmag_imag,4.08,-61.244237,4.618,4.023,15.872,168.738813,14.44,7.562,13490,1,0,0,0
5167,17.252,16.784,14.87,13.637,14.413,11.286,10.536,10.121,-0.43514285714285694,-1.5379824561403495,-0.739658878504672,0.8822105263157911,1.9378130841121504,4.586813084112148,1.2001578947368428,1.7025841121495329,3.7235607476635497,1.4505700934579426,0.39738562091503343,umag_gmag_imag,2.58,-61.202272,4.613,4.274,14.868,168.778742,13.45,7.433,13497,1,0,0,0
5170,16.262,15.748,13.7,12.411,13.154,9.975,9.167,8.738,-0.4523722943722932,-1.6130935672514606,-0.8072429906542038,0.9940935672514639,2.031308411214955,4.781485981308412,1.3017368421052635,1.7954112149532715,3.889042056074766,1.4973177570093457,0.44349019607843104,umag_gmag_imag,3.22,-61.242734,4.632,4.254,13.696,168.747828,12.28,7.747,13501,1,0,0,0
5177,17.544,17.194,15.375,14.242,14.999,12.257,11.603,11.343,-0.5083160173160154,-1.5316842105263129,-0.7680140186915863,0.7908479532163761,1.8035420560747675,4.250018691588784,1.163052631578947,1.6450560747663545,3.5144439252336426,1.3452429906542047,0.4330849673202616,umag_gmag_imag,6.3,-61.250336,4.638,3.928,15.376,168.755642,15.08,6.561,13512,1,0,0,0
5183,18.913,18.547,16.73,15.585,16.071,13.531,12.739,12.335,-0.4913722943722947,-1.5220584795321637,-0.8951401869158875,0.7902514619883048,1.5424766355140198,3.9366355140186915,1.1541052631578954,1.5121355140186923,3.3230934579439255,1.2812616822429903,0.44873202614379076,umag_gmag_imag,5.49,-61.244332,4.6,4.155,16.733,168.767049,15.66,6.85,13521,1,1,0,0
5187,18.701,18.125,15.97,14.62,15.635,12.153,11.306,10.91,-0.44086147186147095,-1.6581812865497074,-0.6922710280373825,1.0888947368421038,2.405392523364485,5.352121495327104,1.3734210526315778,2.00002336448598,4.259135514018693,1.634579439252338,0.5105294117647081,umag_gmag_imag,7.62,-61.249687,4.648,4.152,15.971,168.770723,14.63,7.918,13526,1,0,0,0
5189,15.179,15.292,13.966,13.128,13.668,11.791,11.443,11.223,-0.7386883116883114,-1.4923918128654963,-0.9401775700934576,0.19367836257310156,0.9233551401869169,2.7272616822429896,0.840842105263159,1.1881401869158883,2.565214953271027,0.9894018691588775,0.16107189542483835,umag_gmag_imag,5.11,-61.259898,4.637,3.733,13.963,168.766557,15.18,4.78,13529,1,0,0,0
5190,18.62,18.165,16.236,15.039,15.721,12.706,12.033,11.719,-0.45522077922077653,-1.5375964912280677,-0.7898411214953245,0.9279999999999995,1.8834392523364485,4.4350934579439265,1.235999999999998,1.6907523364485963,3.6327196261682237,1.388214953271029,0.406202614379085,umag_gmag_imag,5.56,-61.243185,4.626,4.138,16.229,168.782116,15.2,7.224,13530,1,0,0,0
5201,18.788,18.041,15.893,14.501,15.388,11.86,11.016,10.589,-0.26655844155844144,-1.5094912280701758,-0.6042943925233646,1.2018070175438582,2.404158878504672,5.397822429906543,1.3421052631578938,1.9143785046728965,4.199032710280375,1.6406915887850482,0.4811895424836599,umag_gmag_imag,5.19,-61.229709,4.602,4.216,15.887,168.806349,13.67,8.206,13550,1,0,0,0
5211,17.297,17.083,15.689,14.808,15.532,13.067,12.305,12.157,-0.4437748917748887,-1.236146198830406,-0.5759953271028005,0.5363742690058484,1.455401869158879,3.3956915887850476,0.8839473684210509,1.321369158878503,2.8129252336448585,1.0839906542056077,0.6362483660130727,Jmag_Hmag_Kmag,1.43,-61.264317,4.34,4.461,15.7,168.785053,12.74,5.516,13564,1,0,0,0
5215,14.926,14.826,13.291,12.333,12.808,10.672,10.165,9.857,-0.6243073593073597,-1.4891052631578952,-0.9278598130841127,0.4697134502923974,1.1655420560747658,3.1878598130841116,0.9803684210526317,1.311556074766355,2.8459205607476634,1.091177570093458,0.24530065359477288,umag_gmag_imag,2.16,-61.275922,4.622,3.957,13.3,168.777868,13.53,5.686,13572,1,0,0,0
5228,17.23,16.929,15.168,14.069,14.754,12.174,11.599,11.298,-0.5299480519480496,-1.5220409356725109,-0.8068271028037357,0.7252046783625765,1.6596074766355156,4.018850467289718,1.1247368421052633,1.5694766355140182,3.368948598130838,1.2910560747663533,0.3192483660130711,umag_gmag_imag,3.82,-61.248301,4.634,3.888,15.174,168.810475,15.04,6.315,13592,1,0,0,0
5231,20.055,19.457,17.331,16.041,16.894,13.74,12.986,12.52,-0.40517748917749064,-1.5794502923976617,-0.7074532710280392,1.1548771929824577,2.299252336448597,5.082242990654202,1.379157894736844,1.9238364485981316,4.049771028037382,1.5291588785046715,0.35805228758169805,umag_gmag_imag,4.64,-61.24395,4.603,3.949,17.356,168.815966,15.78,7.525,13597,1,0,0,0
5247,19.351,18.915,17.285,16.316,17.277,14.381,13.657,13.57,-0.3331341991341986,-1.220672514619883,-0.3983084112149522,0.8873333333333311,2.0582242990654205,4.238495327102806,1.0689999999999984,1.6262990654205602,3.3130140186915904,1.2384392523364505,0.6500784313725494,Jmag_Hmag_Kmag,7.03,-61.263962,4.371,4.126,17.32,168.815475,14.32,5.971,13621,1,0,0,0
