,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
661,21.142,19.509,16.863,15.299,16.368,12.359,11.504,11.037,0.38445454545454427,-1.0505672514619895,0.03314485981308257,2.376590643274854,3.7978785046728962,7.1817476635514,1.7405263157894746,2.4170046728971966,5.004257009345794,1.863719626168224,0.4582026143790865,umag_gmag_rmag | umag_gmag_Hamag,4.34,-57.632952,4.389,3.776,16.855,156.64278,11.77,8.833,1430,1,0,0,1
683,20.901,19.951,17.71,16.281,17.249,13.415,12.333,11.903,-0.1074415584415589,-1.3893567251462002,-0.4262523364485995,1.4528011695906402,2.742925233644857,5.832261682242992,1.4136842105263145,2.027733644859812,4.389214953271029,1.7004018691588807,0.7166405228758163,Jmag_Hmag_Kmag,5.6,-57.30194,4.441,4.474,17.757,157.165371,13.09,8.74,1473,1,0,0,0
746,20.687,18.803,15.954,14.313,15.465,11.109,10.16,9.627,0.539666666666667,-0.9780467836257305,0.18380373831775731,2.7369298245614044,4.257710280373832,7.816691588785046,1.898947368421053,2.6227803738317754,5.345925233644859,1.9639906542056074,0.4961241830065363,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,2.27,-58.268023,4.308,3.826,15.966,156.400035,9.6,9.374,1626,1,0,0,1
760,12.952,13.529,12.634,12.092,12.107,10.907,10.585,10.294,-0.999316017316017,-1.4929824561403504,-1.3012897196261684,-0.3412748538011696,-0.19422429906542182,0.8787850467289698,0.5812105263157892,0.6512009345794384,1.4481448598130826,0.546205607476635,0.07474509803921459,umag_gmag_imag | umag_gmag_Hamag,4.39,-58.357683,4.552,4.769,12.656,156.446139,13.26,4.121,1671,1,1,0,0
810,18.589,18.431,17.187,16.532,16.895,15.158,15.042,14.698,-0.42899567099567315,-1.0524736842105291,-0.6243551401869187,0.6052748538011659,1.1181869158878466,2.5115981308411195,0.8647894736842097,1.1089158878504664,2.168705607476636,0.7567757009345805,-0.17628758169934622,Jmag_Hmag_Kmag,3.74,-58.614949,4.314,3.725,17.197,156.520957,15.28,4.123,1844,1,0,0,0
813,16.797,17.203,15.869,14.971,15.488,13.032,12.375,12.033,-1.035463203463202,-1.8287368421052612,-1.279528037383176,-0.16430409356724995,0.5576822429906549,2.4734579439252333,0.8141052631578947,1.1577429906542052,2.616126168224298,1.042953271028037,0.366411764705882,umag_gmag_imag | umag_gmag_Hamag,4.22,-58.619279,4.644,5.226,15.928,156.527828,15.83,6.168,1851,1,0,1,0
829,15.683,16.426,15.718,15.166,15.268,14.186,14.001,13.905,-1.0770779220779199,-1.5461578947368393,-1.3328224299065394,-0.7064385964912275,-0.4723831775700928,0.6447383177570092,0.3884210526315776,0.49982242990654085,1.3357850467289702,0.5805981308411212,0.10343137254902005,umag_gmag_imag | umag_gmag_Hamag,4.82,-58.870896,4.628,4.762,15.509,156.321857,17.67,3.653,1900,1,0,1,0
830,16.382,17.076,16.25,15.739,16.058,14.713,14.405,14.289,-1.083757575757575,-1.54623976608187,-1.212514018691588,-0.48956725146198576,-0.054616822429905204,1.0424953271028032,0.530157894736843,0.7371775700934584,1.5740140186915879,0.6004392523364476,0.20943790849673216,umag_gmag_imag,2.29,-58.874236,4.621,4.622,16.249,156.325695,18.05,3.779,1906,1,0,1,0
889,18.719,18.905,17.551,16.818,17.211,15.415,14.805,14.437,-0.8249004329004341,-1.5163099415204675,-1.0488317757009358,0.2763976608187202,0.8375327102803769,2.3931682242990613,0.929631578947373,1.1967102803738348,2.3789953271028015,0.8431869158878467,0.2973202614379077,umag_gmag_imag,6.65,-58.399934,4.587,4.216,17.546,157.21545,17.82,5.117,2077,1,0,1,0
914,19.278,19.318,17.907,17.038,17.543,15.395,14.737,14.494,-0.7057965367965401,-1.4933333333333365,-0.9440887850467325,0.31397076023391723,1.0172056074766336,2.8724299065420533,0.9078947368421069,1.242607476635515,2.655210280373832,1.0105887850467286,0.4515294117647051,umag_gmag_imag,1.64,-56.92153,4.58,4.336,17.876,158.960864,17.6,5.64,2150,1,0,1,0
936,19.969,18.793,16.112,14.622,15.659,11.604,10.749,10.274,-0.08906060606060451,-1.4827076023391785,-0.42028971962616524,2.0446023391812918,3.4167009345794446,6.645672897196263,1.8183684210526336,2.4714345794392543,4.941481308411214,1.7807476635514006,0.45140522875816746,gmag_rmag_imag,6.32,-58.037852,4.586,3.893,16.103,157.86134,13.09,9.095,2236,1,0,0,0
939,18.935,18.162,15.864,14.58,15.452,11.955,11.174,10.718,-0.3113376623376618,-1.510263157894736,-0.6073271028037379,1.5091754385964886,2.6705514018691563,5.447037383177568,1.5546315789473664,2.1074018691588763,4.229887850467288,1.528485981308412,0.39354901960784416,umag_gmag_imag,2.3,-58.037135,4.597,4.047,15.861,157.88067,13.8,8.085,2246,1,0,0,0
1042,18.311,18.364,17.315,16.723,16.999,15.704,15.47,15.012,-0.5479826839826845,-1.099017543859651,-0.7482570093457961,0.275906432748534,0.6888598130841084,1.9336448598130849,0.706263157894735,0.9028130841121479,1.8460654205607492,0.6693831775700957,-0.15515032679738572,Jmag_Hmag_Kmag,2.37,-59.496514,4.338,3.778,17.314,156.883544,16.01,3.67,2602,1,0,0,0
1061,17.641,18.055,17.053,16.45,16.724,15.42,14.956,15.151,-0.8868051948051957,-1.4370701754385982,-1.0919392523364497,-0.14547368421053064,0.26822429906541745,1.534140186915888,0.6528947368421033,0.8497990654205594,1.8085794392523376,0.6798224299065438,0.6296862745098045,Jmag_Hmag_Kmag,4.14,-59.023455,4.605,4.011,17.003,157.58245,18.52,3.972,2687,1,0,1,0
1193,19.655,19.733,18.161,17.338,17.915,15.633,15.035,14.788,-0.8197662337662327,-1.6046374269005836,-1.0039906542056074,0.49292397660818676,1.25489719626168,3.039598130841119,1.0955263157894728,1.4581962616822413,2.823705607476634,0.9847757009345793,0.38813071895424744,umag_gmag_imag,4.73,-58.269464,4.596,4.132,,159.062661,18.09,5.678,3106,1,0,1,0
1315,20.027,19.835,18.083,17.077,17.682,15.329,14.709,14.328,-0.6347012987012997,-1.5660233918128645,-0.9046214953271035,0.7203274853801238,1.5542429906542086,3.7076635514018643,1.1695789473684255,1.56649065420561,3.2075093457943895,1.1756261682242948,0.29627450980392245,umag_gmag_imag,3.09,-59.806823,4.614,3.86,18.018,157.838131,17.91,6.1,3453,1,0,1,0
1324,13.412,13.726,12.805,12.24,12.489,11.06,10.855,10.458,-0.7485844155844161,-1.2612163742690061,-0.9440607476635514,-0.08025146198830224,0.29985981308411436,1.4838317757009358,0.5938947368421068,0.7748130841121512,1.6710046728971972,0.6348130841121492,-0.1323202614379086,Jmag_Hmag_Kmag,6.68,-59.152696,4.384,4.561,12.77,158.629996,11.67,3.936,3489,1,0,0,0
1331,19.04,18.798,16.997,15.989,16.602,13.909,13.063,12.716,-0.607822510822509,-1.5485321637426874,-0.8765233644859791,0.8168947368421058,1.65907476635514,3.818682242990652,1.217421052631578,1.6182663551401855,3.2644532710280343,1.1798691588785037,0.5511633986928095,umag_gmag_imag,6.9,-60.104237,4.561,4.393,17.02,157.54278,15.46,6.839,3505,1,0,1,0
1338,20.324,19.996,18.106,17.047,16.69,15.032,14.222,13.954,-0.5638181818181773,-1.551771929824557,-1.3558971962616775,0.9298596491228059,0.8417009345794393,2.8299158878504693,1.2768947368421018,1.2349345794392494,2.6837523364485967,0.958906542056076,0.5822875816993478,umag_gmag_imag | umag_gmag_Hamag,4.91,-58.544154,4.56,4.073,18.09,159.34289,16.69,6.737,3523,1,1,1,0
1354,20.175,19.978,18.371,17.459,18.027,15.874,15.163,15.088,-0.5612813852813874,-1.4086783625731012,-0.7967336448598139,0.6946666666666701,1.4696448598130885,3.427327102803741,1.0790000000000035,1.4478598130841163,2.9410186915887877,1.0712523364485975,0.647274509803921,Jmag_Hmag_Kmag,3.3,-58.911994,4.543,3.849,18.319,159.006162,17.69,5.63,3574,1,0,1,0
