,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
2854,18.7,16.57,14.66,13.72,14.24,12.026,11.227,10.99,1.2287445887445878,0.3133333333333328,0.9432242990654198,2.896608187134503,3.6317757009345786,5.631214953271026,1.3657894736842109,1.7157009345794394,3.236355140186915,1.085794392523364,0.5976274509803916,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag,,-8.4113611,0.0,,0.103,0.0,,,True,1.023,,,0.02,,,1.089,158,16.814,0.0,Trumpler 34,0.0,0.077,0.026,0.118,,,,,0.028,279.88,,,,,0.029,O
2856,18.27,17.24,15.91,15.09,15.63,13.744,11.55,11.02,0.40242424242424446,-0.3404678362573077,0.20995327102803985,1.3625730994152039,2.08785046728972,3.8562616822429914,0.8552631578947351,1.200467289719625,2.5512149532710273,0.971401869158879,1.7436732026143773,Jmag_Hmag_Kmag,,-8.4228333,0.0,,0.067,0.0,,,True,0.588,,,0.02,,,0.629,193,15.174,0.01,Trumpler 34,0.01,0.042,,0.063,,,,,0.057,279.8808333,,,,,,O
2859,19.31,16.92,14.88,13.85,14.42,12.005,11.196,10.867,1.4274025974025941,0.4330994152046743,1.1166355140186879,3.1771345029239733,3.9828971962616793,6.1738317757009336,1.4436842105263161,1.8271962616822437,3.4935046728971986,1.1898130841121508,0.5294575163398714,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag,,-8.48825,0.0,,0.063,0.0,,,True,0.636,,,0.05,,,0.612,403,15.006,0.01,Trumpler 34,0.0,0.039,0.041,0.057,,,,,0.05,279.8824167,,,,,0.058,O
2861,18.58,16.68,14.82,13.9,14.41,12.178,11.431,11.069,1.0223376623376614,0.12795321637426826,0.743785046728971,2.640935672514618,3.361495327102802,5.318691588785044,1.327368421052631,1.6703271028037376,3.158925233644859,1.0629906542056073,0.4394183006535979,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-8.4238056,0.0,,0.057,0.0,,,True,1.163,,,0.02,,,1.06,200,13.818,0.0,Trumpler 34,0.0,0.04,0.031,0.06,,,,,0.033,279.886125,,,,,0.045,O
2865,17.09,15.38,13.7,12.83,13.28,11.317,10.639,10.437,0.9172727272727257,0.08456140350877073,0.6403738317756995,2.3317543859649144,2.98177570093458,4.823551401869158,1.1763157894736862,1.4857009345794407,2.8843457943925235,0.9961682242990645,0.5063660130718963,umag_gmag_rmag,,-8.4716667,0.0,,0.09,0.0,,,True,1.38,,,0.01,,,1.19,344,16.619,0.01,Trumpler 34,0.0,0.069,0.027,0.112,,,,,0.023,279.887625,,,,,0.027,O
2868,17.26,15.33,13.56,12.64,13.19,11.186,10.424,10.221,1.0948051948051964,0.2153216374269027,0.8400000000000014,2.580935672514621,3.3403738317757012,5.308785046728971,1.2373684210526312,1.5988317757009338,3.0986448598130827,1.074205607476635,0.589516339869282,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-8.5489167,0.0,,0.086,0.0,,,True,0.917,,,0.01,,,0.876,579,16.186,0.0,Trumpler 34,0.0,0.06,0.04,0.093,,,,,,279.8903333,,,,,0.041,O
2869,19.59,17.14,14.97,13.89,14.51,11.951,11.127,10.861,1.4260606060606056,0.3783625730994147,1.1104205607476627,3.3063157894736834,4.1728971962616805,6.4764485981308395,1.5447368421052632,1.9571962616822427,3.710654205607476,1.2538317757009345,0.5979869281045751,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,,-8.5675278,0.0,,0.085,0.0,,,True,1.454,,,0.05,,,1.292,621,16.232,0.0,Trumpler 34,0.0,0.066,0.024,0.109,,,,,0.024,279.890375,,,,,0.022,O
2872,19.24,16.8,14.8,13.81,14.34,12.062,11.264,11.013,1.4962770562770542,0.53409356725146,1.18700934579439,3.2357894736842083,3.992897196261679,6.093738317757007,1.426842105263158,1.7871962616822428,3.383785046728972,1.1385981308411215,0.5847320261437914,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag,,-8.4705,0.0,,0.078,0.0,,,True,0.934,,,0.05,,,0.857,340,15.896,0.0,Trumpler 34,0.0,0.055,0.019,0.081,,,,,0.024,279.8924167,,,,,0.023,O
2873,19.17,17.47,15.72,14.86,15.28,13.429,12.788,12.536,0.874242424242428,0.03631578947368763,0.5845327102803772,2.4039181286549707,3.0223364485981308,4.835981308411217,1.2521052631578924,1.546448598130839,2.9220560747663544,0.9777570093457956,0.42688235294117594,umag_gmag_rmag,,-8.4755,0.0,,0.091,0.0,,,True,0.823,,,0.05,,,0.848,361,16.28,0.0,Trumpler 34,0.0,0.062,0.045,0.091,,,,,0.029,279.8924167,,,,,0.056,O
2887,18.03,16.23,14.4,13.46,13.97,11.791,11.069,10.826,0.9364935064935073,0.034327485380118095,0.6488785046728982,2.4866081871345047,3.2120560747663562,5.2086915887850465,1.2857894736842108,1.6310747663551404,3.148925233644859,1.082990654205607,0.5155294117647051,umag_gmag_rmag | umag_rmag_Hamag | umag_imag_Hamag,,-8.4443889,0.0,,0.067,0.0,,,True,0.76,,,0.02,,,0.793,272,15.167,0.0,Trumpler 34,0.0,0.044,0.063,0.065,,,,,0.081,279.8973333,,,,,0.035,O
