,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
264,19.2,17.83,15.89,15.29,15.53,14.183,13.611,13.462,0.2799999999999987,-0.9382352941176544,0.761627906976745,2.149069767441859,1.3874418604651138,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,,-25.5144722,0.01,,0.063,0.0,,,False,0.904,,,0.02,,,0.74,991,16.505,0.01,Haffner 16,0.01,0.042,0.039,0.06,,,,,0.022,117.5096667,,,,,0.022,O
265,19.01,18.45,17.0,16.59,16.75,15.848,15.48,15.474,-0.18483333333333118,-1.0429411764705865,0.15441860465116491,1.2360465116279085,1.0816279069767434,gmag_rmag_imag_Hamag,,-25.4685,0.01,,0.093,0.01,,,False,0.559,,,0.02,,,0.504,738,17.185,0.01,Haffner 16,0.01,0.069,0.23,0.093,,,,,0.081,117.50975,,,,,0.136,O
267,20.23,18.37,16.16,15.41,15.76,13.997,13.349,12.911,0.49749999999999983,-0.7047058823529451,0.9727906976744194,2.3769767441860497,1.40418604651163,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,,-25.4629167,0.01,,0.082,0.01,,,False,1.103,,,0.04,,,0.962,707,16.895,0.01,Haffner 16,0.01,0.063,,0.096,,,,,0.039,117.510625,,,,,0.047,O
268,19.08,18.47,16.86,16.42,16.58,15.631,15.224,15.17,-0.18933333333332958,-1.1852941176470673,0.20441860465117107,1.4460465116279229,1.2416279069767517,gmag_rmag_imag_Hamag,,-25.4466389,0.01,,0.097,0.01,,,False,0.704,,,0.01,,,0.617,593,17.336,0.02,Haffner 16,0.01,0.074,0.168,0.103,,,,,0.062,117.511125,,,,,0.077,O
269,18.71,17.99,16.59,16.22,16.39,15.558,15.294,15.286,0.04783333333333406,-0.5623529411764641,0.28906976744185875,1.2976744186046445,1.0086046511627855,gmag_rmag_imag_Hamag,,-25.4653889,0.01,,0.086,0.01,,,False,0.48,,,0.01,,,0.413,721,16.909,0.02,Haffner 16,0.01,0.061,0.186,0.082,,,,,0.066,117.5115417,,,,,0.088,O
271,18.82,18.29,16.82,16.41,16.55,15.747,15.355,15.887,-0.21483333333333232,-1.201176470588232,0.1751162790697673,1.3227906976744164,1.147674418604649,gmag_rmag_imag_Hamag,,-25.4760278,0.01,,0.092,0.01,,,False,0.578,,,0.01,,,0.504,792,17.149,0.01,Haffner 16,0.01,0.068,,0.093,,,,,0.069,117.5155417,,,,,0.088,O
272,19.17,18.47,16.88,16.41,16.6,15.553,15.263,15.088,-0.15383333333332816,-1.095294117647041,0.21837209302325566,1.3709302325581367,1.152558139534881,gmag_rmag_imag_Hamag,,-25.5000556,0.01,,0.096,0.01,,,False,0.683,,,0.01,,,0.528,924,17.259,0.01,Haffner 16,0.01,0.072,0.153,0.098,,,,,0.068,117.5166667,,,,,0.072,O
273,19.16,18.38,16.78,16.34,16.49,15.584,15.208,14.916,-0.019333333333334313,-1.0794117647058992,0.39976744186047003,1.654418604651169,1.254651162790699,gmag_rmag_imag_Hamag,,-25.5257778,0.01,,0.094,0.01,,,True,0.649,,,0.02,,,0.547,1044,17.191,0.01,Haffner 16,0.01,0.07,0.124,0.096,,,,,0.054,117.51675,,,,,0.061,O
274,17.7,17.15,15.69,15.29,15.41,14.6,14.35,14.152,-0.17666666666666642,-1.2452941176470547,0.24581395348837043,1.4295348837209256,1.183720930232555,gmag_rmag_imag_Hamag,,-25.5113611,0.0,,0.059,0.0,,,False,0.593,,,0.01,,,0.467,972,16.053,0.01,Haffner 16,0.01,0.035,0.072,0.048,,,,,0.027,117.5181667,,,,,0.033,O
275,17.76,17.06,15.73,15.38,15.53,14.759,14.558,14.362,0.06416666666667037,-0.582352941176475,0.31976744186047174,1.3044186046511712,0.9846511627906994,gmag_rmag_imag_Hamag,,-25.5373889,0.0,,0.059,0.0,,,True,0.404,,,0.01,,,0.37,1107,16.017,0.01,Haffner 16,0.01,0.034,0.088,0.045,,,,,0.038,117.5187917,,,,,0.049,O
