,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,ID,DEJ2000,w1_err,e_gmag,e_rmag,objtype_SIMBAD,w1,e_umag,Fe_type,h,h_err,k_err,e_imag,e_Hamag,Halpha_type,e_Kmag,e_Jmag,RAJ2000,e_Hmag,k,objtype_Hou
964,15.339,14.841,13.58,13.09,13.14,12.911,12.76,12.653,-0.3921666666666658,-2.323176470588232,0.3712558139534877,1.517139534883718,1.1458837209302302,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,J060414.76+240402.4,24.067343,0.024,0.004,0.0,Star,11.549,0.005,,12.76,0.025,0.023,0.0,0.0,I,0.023,0.021,91.06154,0.025,12.653,unknown
965,15.331,14.196,13.33,12.74,12.54,11.808,11.481,11.187,0.06316666666666704,-3.9302941176470663,1.6419767441860489,2.9684418604651204,1.3264651162790717,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J041750.14+532526.1,53.423931,0.023,0.002,0.0,,10.772,0.004,unclassify,11.481,0.029,0.023,0.0,0.0,I,0.023,0.024,64.458939,0.029,11.187,unknown
966,15.043,13.173,12.35,11.87,11.51,10.997,10.706,10.406,0.9979999999999987,-3.515882352941178,2.7825581395348813,4.434395348837205,1.6518372093023244,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J041336.90+524434.5,52.742943,0.023,0.001,0.0,Emission-line Star,10.146,0.007,double-peak,10.706,0.027,0.021,0.0,0.0,I,0.021,0.023,63.40378,0.027,10.406,unknown
967,17.746,16.079,14.94,14.12,14.37,12.916,12.603,12.25,0.17733333333333112,-1.9877058823529463,1.03327906976744,1.5966976744186046,0.5634186046511642,umag_gmag_rmag_Hamag,J060250.30+235942.2,23.995056,0.024,0.004,0.0,,11.959,0.011,unclassify,12.603,0.026,0.021,0.0,0.0,I,0.021,0.021,90.709624,0.026,12.25,unknown
968,19.195,17.486,16.82,16.29,16.42,15.049,14.378,13.813,0.7461666666666644,-0.8557058823529333,1.379465116279063,1.7461627906976624,0.3666976744185993,umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J054649.95+220630.2,22.108395,0.027,0.005,0.0,,13.416,0.027,,14.378,0.049,0.044,0.01,0.01,I,0.044,0.038,86.708152,0.049,13.813,unknown
969,17.746,16.079,14.94,14.12,14.37,12.916,12.603,12.25,0.17733333333333112,-1.9877058823529463,1.03327906976744,1.5966976744186046,0.5634186046511642,umag_gmag_rmag_Hamag,J060250.30+235942.2,23.995056,0.024,0.004,0.0,,11.959,0.011,,12.603,0.026,0.021,0.0,0.0,I,0.021,0.021,90.709624,0.026,12.25,unknown
970,17.548,15.865,14.49,13.43,13.78,12.396,12.003,11.798,-0.24266666666666903,-2.869352941176479,0.795790697674418,1.3649767441860474,0.5691860465116292,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,J060028.33+225621.9,22.939422,0.027,0.003,0.0,,10.575,0.011,,12.003,0.03,0.023,0.0,0.0,I,0.023,0.023,90.118083,0.03,11.798,unknown
971,17.137,15.607,14.89,14.11,14.45,13.036,12.706,12.489,0.11299999999999932,-1.2911764705882431,0.6681395348837229,0.602348837209304,-0.06579069767441914,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,J055941.63+240412.0,24.070006,0.023,0.003,0.0,,11.659,0.009,unclassify,12.706,0.022,0.023,0.0,0.0,I,0.023,0.021,89.923496,0.022,12.489,unknown
972,16.325,14.951,13.95,13.41,13.45,12.496,12.103,11.803,0.39300000000000057,-1.8318823529411787,1.2726046511627918,2.181511627906981,0.9089069767441893,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J054553.52+293645.9,29.612765,0.023,0.005,0.0,,11.452,0.007,,12.103,0.022,0.02,0.0,0.0,III,0.02,0.022,86.473039,0.022,11.803,unknown
973,14.988,13.902,12.83,12.34,12.1,11.789,11.513,11.247,0.19583333333333341,-3.594588235294122,1.6943720930232562,3.3189302325581393,1.6245581395348831,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J041120.62+531404.3,53.234539,0.023,0.003,0.0,,10.508,0.007,,11.513,0.057,0.043,0.0,0.0,III,0.043,0.05,62.83595,0.057,11.247,unknown
974,16.325,14.951,13.95,13.41,13.45,12.496,12.103,11.803,0.39300000000000057,-1.8318823529411787,1.2726046511627918,2.181511627906981,0.9089069767441893,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J054553.52+293645.9,29.612765,0.023,0.005,0.0,,11.452,0.007,,12.103,0.022,0.02,0.0,0.0,III,0.02,0.022,86.473039,0.022,11.803,unknown
979,14.643,15.53,12.91,12.67,12.55,12.461,12.419,12.437,-1.322999999999999,-3.195235294117643,-0.582813953488373,2.3134651162790663,2.896279069767439,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,J064917.48+100119.6,10.022122,,0.013,0.0,Star in Cluster,,0.007,,,,,0.0,0.0,II,0.026,0.022,102.32287,0.031,,unknown
1004,15.246,14.369,13.9,13.47,13.67,12.784,12.554,12.399,0.09583333333333477,-0.5977058823529438,0.37002325581395623,0.3785581395348878,0.00853488372093153,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,J061623.85+241808.4,24.302346,0.023,0.003,0.0,Infra-Red source,10.821,0.004,,12.554,0.024,0.03,0.0,0.0,II,0.03,0.021,94.099402,0.024,12.399,unknown
1005,17.083,15.953,15.29,14.83,14.87,14.134,13.759,13.527,0.2943333333333342,-1.5629411764705896,1.028604651162792,1.5995116279069803,0.5709069767441883,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,J055055.59+221936.7,22.326887,0.027,0.004,0.0,,13.476,0.008,,13.759,0.042,0.035,0.0,0.0,II,0.035,0.036,87.731648,0.042,13.527,unknown
