,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,Unnamed: 0,DEJ2000,LAMOST_sep,RAJ2000,model_prob,col1,original_index,Halpha
82,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,2.536060606060607,2.1959064327485387,2.271355140186917,1.6366666666666667,1.814859813084113,2.9500934579439266,-0.4700000000000007,-0.3851869158878507,0.4597196261682247,0.5812149532710286,-0.04248366013071955,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,777,21.500454,2.0,87.086859,0.17,775,775.00,0.0
87,13.68,12.03,12.03,11.62,11.64,11.34,11.35,11.31,1.6500000000000004,1.3886549707602343,1.451355140186917,1.1512865497076026,1.270934579439254,2.0850467289719647,-0.23736842105263162,-0.18042056074766294,0.4248598130841133,0.41560747663551456,-0.04398692810457422,umag_gmag_imag | umag_gmag_Hamag,22,56.380257,2.0,348.674884,0.16,22,22.00,0.0
89,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,1.4876623376623392,0.8267251461988326,0.7577102803738334,-3.098888888888888,-2.7759813084112146,0.20738317757009217,-2.740000000000001,-2.5863084112149544,-0.3771495327102825,1.5059813084112144,0.023529411764707436,umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,591,23.1526269,2.0,88.2362508,0.16,590,590.00,1.0
90,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,1.4876623376623392,0.8267251461988326,0.7577102803738334,-3.098888888888888,-2.7759813084112146,0.20738317757009217,-2.740000000000001,-2.5863084112149544,-0.3771495327102825,1.5059813084112144,0.023529411764707436,umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,118,23.152603,2.0,88.236244,0.16,118,118.00,1.0
96,18.05,16.05,14.27,13.26,13.84,11.53,10.74,10.46,1.1600865800865796,0.22157894736842065,0.8743457943925232,2.551461988304095,3.3620560747663566,5.516355140186917,1.1952631578947381,1.5810747663551414,3.220934579439253,1.1726168224299063,0.5520915032679736,umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | Jmag_Hmag_Kmag,248,21.720676,2.0,89.938822,0.14,248,248.00,0.0
103,13.8,12.09,12.85,11.6,11.85,10.47,10.37,10.29,2.0686147186147195,1.397660818713451,1.5877570093457951,-0.5704678362573086,-0.021962616822428616,2.5130841121495338,-1.4836842105263155,-1.2226168224299063,0.675747663551402,1.3200934579439252,0.032026143790851044,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,724,51.087715,2.0,59.126724,0.12,722,722.00,0.0
111,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,2.668614718614719,1.8701754385964922,2.1317289719626173,-0.21374269005847757,0.47112149532710434,3.4257943925233643,-1.5994736842105257,-1.2735046728971957,0.9426168224299059,1.5453271028037376,0.09503267973856212,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,804,51.238834,2.0,59.23572,0.11,802,802.00,0.0
112,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,2.668614718614719,1.8701754385964922,2.1317289719626173,-0.21374269005847757,0.47112149532710434,3.4257943925233643,-1.5994736842105257,-1.2735046728971957,0.9426168224299059,1.5453271028037376,0.09503267973856212,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,596,51.238823,2.0,59.235759,0.11,594,594.00,0.0
122,14.46,15.81,12.52,11.57,11.53,10.17,9.72,9.31,-2.9024242424242424,-4.052690058479532,-3.53,0.7844444444444469,0.9777570093457957,2.8399065420560743,2.7400000000000015,2.8320093457943933,4.210280373831775,0.938785046728971,0.10163398692810383,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,395,59.036368,2.0,346.162464,0.1,394,394.00,1.0
128,12.87,11.58,12.19,11.57,11.54,11.1,10.99,10.97,1.5778354978354967,1.2836257309941512,1.2696261682242977,-0.07415204678362486,0.04822429906542003,1.2624299065420537,-0.9689473684210516,-0.9107009345794388,-0.01228971962616928,0.6115887850467279,0.09300653594771222,umag_gmag_imag | gmag_rmag_imag,602,23.9796111,2.0,92.6009792,0.09,600,600.00,0.0
129,20.28,17.36,15.13,13.79,14.61,11.66,10.64,10.33,1.8677489177489202,0.6443859649122827,1.5192990654205627,3.5200584795321626,4.644579439252336,7.51691588785047,1.4542105263157872,1.9894392523364468,4.179252336448599,1.5699065420560765,0.7566013071895417,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | Jmag_Hmag_Kmag,74,9.502543,2.0,100.55307,0.09,74,74.00,0.0
142,13.98,12.28,12.17,11.88,11.88,11.74,11.76,11.73,1.6480952380952394,1.4450292397660838,1.4962616822429924,1.4572514619883057,1.5281308411214967,2.0999999999999996,-0.057894736842105304,-0.024158878504673048,0.3999999999999986,0.28999999999999915,-0.0454901960784304,umag_gmag_imag | umag_gmag_Hamag,694,4.5595814,2.0,105.7442908,0.07,692,692.00,0.0
144,11.17,10.63,12.74,11.11,11.32,9.57,9.56,9.49,1.5356277056277046,0.8459649122807,0.89144859813084,-3.552690058479533,-2.9501869158878504,0.32299065420560896,-3.0536842105263156,-2.7669158878504665,-0.3239719626168205,1.6888785046728982,-0.04947712418300698,umag_rmag_imag | umag_rmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,601,51.008247,2.0,59.017563,0.07,599,599.00,0.0
154,14.09,14.69,12.65,11.94,12.06,11.38,11.25,11.18,-1.5625974025974019,-2.3529239766081864,-1.9395794392523353,0.5763742690058467,0.8665420560747661,2.3002803738317774,1.6289473684210514,1.7670560747663544,2.8391588785046737,0.7436448598130853,0.07052287581699401,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,10,23.662258,2.0,93.885612,0.06,10,10.00,0.0
159,13.17,11.53,12.71,12.45,12.55,12.18,12.1,12.07,2.196796536796538,2.226432748538012,2.159532710280375,0.14374269005847679,0.3044859813084102,0.8452336448598154,-1.330526315789476,-1.2540186915887865,-0.8457009345794382,0.28803738317757205,0.05450980392156925,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,281,0.1551842,2.0,100.9836472,0.06,281,281.00,0.0
160,14.07,14.5,12.48,11.84,12.0,11.29,11.17,11.07,-1.3831601731601726,-2.125555555555555,-1.7033644859813077,0.8115204678362566,1.1234579439252332,2.4303738317757015,1.6494736842105255,1.7979439252336442,2.7788785046728974,0.6848598130841128,0.035032679738561626,umag_gmag_imag | umag_gmag_Hamag,630,23.491268,2.0,90.052214,0.06,628,628.00,0.0
163,14.13,11.8,13.06,12.72,12.88,12.12,11.99,11.91,2.9245454545454543,2.9164327485380115,2.880093457943925,0.6564327485380123,0.8950467289719632,1.6103738317757013,-1.4568421052631575,-1.3432710280373827,-0.8011214953271026,0.38485981308411205,0.06202614379084863,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,455,57.556201,2.0,346.462287,0.05,454,454.00,0.0
186,13.38,14.36,12.33,11.75,11.78,11.54,11.56,11.49,-1.9378787878787862,-2.643684210526314,-2.2941121495327086,0.344502923976609,0.5154205607476637,1.6675700934579438,1.6942105263157887,1.7755607476635504,2.632289719626167,0.5884112149532709,-0.07947712418300812,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,748,1.301154,2.0,100.970449,0.04,746,746.00,0.0
195,14.38,15.89,12.68,11.91,11.88,10.9,10.58,10.26,-3.0246753246753246,-4.046959064327485,-3.552476635514018,0.7633918128654988,0.9224299065420584,2.4324299065420574,2.764210526315791,2.839906542056076,3.9577102803738327,0.7615887850467288,0.04810457516339878,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,84,52.434199,2.0,59.058908,0.04,84,84.00,1.0
209,18.09,16.66,14.74,13.6,14.34,11.82,11.33,11.09,0.5240259740259738,-0.520526315789474,0.24831775700934555,1.9633333333333327,2.9612149532710275,5.416728971962617,1.2599999999999998,1.7349532710280373,3.60981308411215,1.3474766355140193,0.28607843137254907,umag_rmag_Hamag,680,40.5904686,2.0,307.8023292,0.0,678,678.00,1.0
213,17.87,16.53,14.46,13.26,14.04,11.26,10.75,10.4,0.36324675324675304,-0.7443859649122815,0.07172897196261596,1.9503508771929816,3.0017757009345782,5.586822429906542,1.3752631578947367,1.8757009345794389,3.849532710280375,1.4186915887850478,0.21261437908496744,umag_rmag_Hamag | umag_imag_Hamag,865,40.771078,2.0,308.522824,0.0,863,863.00,1.0
214,18.5,17.19,15.15,13.94,14.73,11.99,11.38,11.1,0.3474025974025958,-0.7616374269005868,0.057009345794390986,1.8781871345029229,2.941775700934579,5.549345794392525,1.3394736842105268,1.8457009345794402,3.8369626168224324,1.4314953271028048,0.37209150326797236,umag_rmag_Hamag | umag_imag_Hamag,363,41.0134283,2.0,308.1972797,0.0,362,362.00,1.0
219,19.14,17.45,15.15,13.78,14.67,11.55,10.97,10.65,0.6047186147186165,-0.6493567251461974,0.274018691588787,2.323567251461988,3.5234579439252336,6.474579439252338,1.5068421052631564,2.077943925233644,4.331261682242991,1.619532710280375,0.30810457516339856,umag_rmag_Hamag | umag_imag_Hamag,997,40.964083,2.0,308.306357,0.0,995,995.00,1.0
223,18.15,16.4,14.28,12.98,13.86,10.76,10.18,9.83,0.7496536796536801,-0.4299999999999984,0.45626168224299146,2.2887134502923985,3.4617757009345786,6.272056074766352,1.3673684210526316,1.9257009345794385,4.073831775700932,1.5467289719626156,0.2826143790849677,umag_rmag_Hamag | umag_imag_Hamag,442,40.975877,2.0,307.924164,0.0,441,441.00,1.0
226,17.62,16.33,14.37,13.13,13.89,11.09,10.55,10.26,0.36515151515151834,-0.7497660818713405,0.04719626168224722,1.7416959064327526,2.783457943925237,5.4417757009345795,1.2421052631578948,1.7379439252336446,3.764672897196259,1.453084112149531,0.2935947712418285,umag_imag_Hamag,512,43.8130789,2.0,308.5992303,0.0,511,511.00,1.0
227,16.06,16.28,16.14,15.96,15.98,15.92,16.0,15.63,-0.28606060606060874,-0.42397660818713706,-0.37280373831775976,-0.29894736842105407,-0.23551401869159072,0.12504672897195995,0.03578947368421127,0.06598130841121548,0.3348598130841121,0.1856074766355136,-0.3943790849673196,Jmag_Hmag_Kmag,27,6.304176,2.0,104.22319,0.0,27,27.00,1.0
233,18.15,16.87,14.86,13.66,14.46,11.71,11.14,10.86,0.3315584415584385,-0.7661403508771958,0.05247663551401649,1.8303508771929828,2.9012149532710287,5.491869158878504,1.315263157894739,1.8249532710280396,3.8043925233644873,1.4242990654205603,0.3320915032679732,umag_imag_Hamag,1025,42.647098,2.0,309.106289,0.0,1023,1.023.00,1.0
236,17.85,16.56,14.4,13.08,13.92,10.93,10.28,9.86,0.27077922077922434,-0.9282456140350837,-0.05467289719625801,1.8443859649122818,2.9834579439252344,5.8219626168224305,1.395789473684209,1.937943925233643,4.104112149532709,1.555514018691589,0.29313725490196124,umag_rmag_Hamag | umag_imag_Hamag,993,41.2237322,2.0,307.8245564,0.0,991,991.00,1.0
249,17.77,16.49,14.26,12.92,13.79,10.81,10.22,9.91,0.2277489177489196,-0.995614035087717,-0.09523364485981123,1.880058479532164,3.053177570093457,5.939532710280372,1.4542105263157883,2.0125700934579425,4.216401869158877,1.5839252336448595,0.32660130718954195,umag_rmag_Hamag | umag_imag_Hamag,938,41.3662294,2.0,307.8462903,0.0,936,936.00,0.0
250,18.34,16.89,14.79,13.48,14.33,11.35,10.78,10.51,0.4590909090909078,-0.7236257309941525,0.1460747663551396,1.956549707602342,3.102897196261684,5.924485981308409,1.3415789473684234,1.8871962616822449,4.041542056074766,1.5483177570093445,0.3405882352941183,umag_rmag_Hamag | umag_imag_Hamag,354,41.9749158,2.0,308.6439447,0.0,353,353.00,0.0
255,16.77,16.58,15.99,15.59,15.79,15.01,15.04,14.76,-0.0883982683982662,-0.44105263157894503,-0.21238317757009167,0.29345029239765985,0.5856074766355124,1.430467289719625,0.35842105263157686,0.49747663551401633,1.1385981308411193,0.4560747663551403,-0.26790849673202494,Jmag_Hmag_Kmag,882,22.163427,2.0,88.270422,0.0,880,880.00,1.0
257,18.64,17.39,15.36,14.1,14.93,12.05,11.49,11.22,0.29212121212121167,-0.8471345029239767,-0.0029906542056077345,1.7473684210526332,2.8620560747663566,5.579439252336449,1.300526315789475,1.8310747663551414,3.906682242990655,1.4927102803738317,0.3305882352941185,umag_imag_Hamag,955,42.311689,2.0,308.360821,0.0,953,953.00,0.0
258,18.67,17.64,15.56,14.27,15.12,12.1,11.37,11.03,0.04852813852813975,-1.1181286549707594,-0.25355140186915825,1.5408771929824565,2.682336448598131,5.464485981308412,1.3331578947368419,1.8764485981308408,4.001542056074767,1.5283177570093467,0.4411111111111117,umag_imag_Hamag | Jmag_Hmag_Kmag,406,41.0463217,2.0,306.75949,0.0,405,405.00,1.0
260,18.23,16.72,14.4,12.99,13.93,10.71,10.13,9.8,0.4152813852813877,-0.8676023391812837,0.08892523364486205,2.1149122807017546,3.3731775700934574,6.417196261682243,1.5036842105263144,2.1025700934579423,4.428411214953269,1.6735514018691589,0.29960784313725497,umag_rmag_Hamag | umag_imag_Hamag,992,40.9170372,2.0,308.2794072,0.0,990,990.00,0.0
261,18.83,17.5,15.42,14.11,15.0,11.71,11.07,10.73,0.3485281385281369,-0.8308771929824581,0.05663551401869027,1.8165497076023374,3.001775700934578,5.834579439252336,1.321578947368421,1.8857009345794393,4.051261682242991,1.5595327102803744,0.3511111111111118,umag_rmag_Hamag | umag_imag_Hamag,985,42.61052,2.0,309.453926,0.0,983,983.00,0.0
262,17.87,16.65,14.6,13.33,14.15,11.13,10.55,10.24,0.25268398268398573,-0.8962573099415168,-0.05336448598130472,1.7252046783625754,2.832616822429909,5.5669158878504685,1.3147368421052623,1.8418224299065413,3.929252336448597,1.4999065420560744,0.31660130718954216,umag_imag_Hamag,988,40.8335525,2.0,308.8307803,0.0,986,986.00,1.0
264,19.45,17.23,14.22,12.36,13.63,9.65,8.91,8.51,0.7996969696969689,-0.8842690058479548,0.3863551401869154,2.9675438596491204,4.656542056074765,8.680467289719628,1.9331578947368413,2.737056074766355,5.8135981308411235,2.216074766355142,0.40013071895424834,umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,403,40.542745,2.0,308.255134,0.0,402,402.00,0.0
265,18.82,17.44,14.65,12.95,14.1,10.51,9.86,9.51,0.06350649350649218,-1.4820467836257327,-0.32121495327102956,2.1021637426900575,3.635420560747663,7.310186915887852,1.8057894736842108,2.535560747663552,5.344439252336451,2.0224299065420572,0.352614379084968,umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,404,40.549046,2.0,307.867893,0.0,403,403.00,0.0
266,19.13,17.72,15.33,13.85,14.83,11.46,10.76,10.42,0.2822510822510831,-1.056842105263157,-0.062009345794391546,1.9997660818713439,3.314018691588784,6.507289719626168,1.5331578947368407,2.1586915887850457,4.5981308411214945,1.7547663551401875,0.4111111111111123,umag_rmag_Hamag | umag_imag_Hamag | Jmag_Hmag_Kmag,401,41.358015,2.0,307.561618,0.0,400,400.00,0.0
268,19.01,17.52,15.38,14.03,14.95,11.97,11.42,11.12,0.480216450216453,-0.7346198830409336,0.18098130841121707,1.9878947368421047,3.2120560747663545,6.132149532710282,1.3584210526315772,1.9410747663551384,4.173551401869159,1.6079439252336463,0.29509803921568645,umag_rmag_Hamag | umag_imag_Hamag,945,41.557741,2.0,310.177643,0.0,943,943.00,0.0
269,17.82,16.54,14.23,12.81,13.73,10.52,9.88,9.53,0.19000000000000195,-1.0976023391812841,-0.15126168224298864,1.8627485380116962,3.104018691588785,6.16214953271028,1.487894736842104,2.0786915887850457,4.4135514018691575,1.6779439252336448,0.34261437908496495,umag_rmag_Hamag | umag_imag_Hamag,998,42.952862,2.0,309.776298,0.0,996,996.00,1.0
271,17.74,16.6,14.11,12.59,13.6,10.12,9.48,9.14,-0.034935064935068816,-1.4160818713450327,-0.38803738317757364,1.781111111111111,3.13429906542056,6.41485981308411,1.6100000000000023,2.25406542056075,4.760420560747665,1.8031775700934576,0.35111111111111004,umag_rmag_Hamag | umag_imag_Hamag | rmag_imag_Hamag,994,41.1084692,2.0,308.5715444,0.0,992,992.00,0.0
272,17.81,16.48,14.3,12.9,13.83,10.61,9.95,9.61,0.3013419913419899,-0.9519883040935686,-0.01976635514018854,1.8070760233918108,3.0531775700934554,6.074672897196259,1.369473684210526,1.9625700934579433,4.270981308411215,1.6607476635514022,0.3711111111111114,umag_rmag_Hamag | umag_imag_Hamag,555,41.3602828,2.0,306.1497194,0.0,554,554.00,0.0
273,18.04,16.56,14.16,12.63,13.64,10.17,9.45,9.09,0.3475324675324687,-1.0250877192982437,-0.007289719626166535,2.0189473684210526,3.374579439252336,6.67485981308411,1.5142105263157886,2.1594392523364476,4.680420560747661,1.8131775700934574,0.4141176470588247,umag_rmag_Hamag | umag_imag_Hamag | rmag_imag_Hamag | Jmag_Hmag_Kmag,393,42.207888,2.0,308.903828,0.0,392,392.00,0.0
274,18.31,16.86,14.39,12.86,13.88,10.36,9.66,9.31,0.28450216450216437,-1.0997076023391816,-0.06785046728971933,2.05894736842105,3.424299065420559,6.727383177570094,1.584210526315788,2.234065420560747,4.75785046728972,1.8159813084112164,0.40261437908496694,umag_rmag_Hamag | umag_imag_Hamag | rmag_imag_Hamag,407,41.793389,2.0,306.065207,0.0,406,406.00,0.0
275,17.56,16.46,13.81,12.2,13.27,9.78,9.14,8.75,-0.15043290043290258,-1.6154385964912308,-0.5248130841121519,1.791637426900582,3.225140186915885,6.699999999999999,1.717894736842105,2.4001869158878506,5.0550000000000015,1.9100000000000013,0.3086274509803905,umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,402,41.2459394,2.0,308.1472356,0.0,401,401.00,0.0
276,17.8,16.84,14.42,12.95,13.92,10.6,9.97,9.62,-0.1819047619047609,-1.519590643274853,-0.527289719626167,1.591929824561404,2.8940186915887858,6.064766355140189,1.5689473684210524,2.188691588785047,4.61070093457944,1.7419626168224307,0.33261437908496516,umag_imag_Hamag,405,41.655735,2.0,305.334852,0.0,404,404.00,0.0
277,18.24,16.87,14.49,13.0,14.01,10.72,10.1,9.79,0.24696969696969417,-1.096842105263161,-0.08672897196261964,1.9376023391812849,3.2834579439252316,6.50485981308411,1.5173684210526324,2.1579439252336456,4.6204205607476645,1.7731775700934582,0.3566013071895431,umag_rmag_Hamag | umag_imag_Hamag,394,41.423859,2.0,309.706708,0.0,393,393.00,0.0
278,18.37,17.09,14.41,12.68,13.86,10.12,9.43,9.02,0.015411255411256874,-1.5310526315789459,-0.36518691588784913,1.8556725146198838,3.4254205607476638,7.167757009345795,1.6784210526315786,2.425560747663551,5.286728971962617,2.0608411214953275,0.34163398692810404,umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,400,39.644065,2.0,308.558073,0.0,399,399.00,0.0
279,18.81,17.45,14.65,12.88,14.09,10.34,9.65,9.29,0.038787878787878816,-1.553040935672514,-0.3514018691588785,2.0070175438596487,3.6157009345794373,7.445327102803734,1.7752631578947362,2.5409345794392513,5.469018691588783,2.1092523364485976,0.38411764705882206,umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,399,39.820718,2.0,308.016323,0.0,398,398.00,0.0
280,17.7,16.24,14.35,13.1,14.16,10.71,10.17,9.89,0.5681818181818197,-0.5415204678362553,0.4005607476635533,1.82953216374269,3.1653271028037384,5.927476635514019,1.166315789473683,1.8021028037383169,3.927570093457943,1.5471962616822432,0.30209150326797535,umag_rmag_Hamag | umag_imag_Hamag,972,41.1327592,2.0,308.3676236,0.0,970,970.00,0.0
