,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,RAJ2000,DEJ2000,em
10043,15.668,13.973,13.4,13.06,13.3,12.559,12.398,12.306,1.0773333333333324,1.0538235294117653,1.0866279069767426,1.107069767441859,0.020441860465116535,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,101.9654,10.997735,1.0
10044,15.482,14.096,13.83,13.67,13.69,13.409,13.376,13.253,1.0953333333333324,0.4883529411764659,1.3353023255813956,1.5552558139534898,0.21995348837209405,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,101.81039,11.19881,1.0
10045,16.048,14.272,13.48,13.07,13.3,12.39,12.222,12.129,1.0311666666666646,0.6218823529411759,1.1929767441860437,1.4554418604651127,0.2624651162790689,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,101.11009,10.772998,1.0
10046,15.329,14.193,13.7,13.52,13.64,13.225,13.179,13.128,0.8090000000000016,0.7512941176470679,0.8318139534883707,1.0485348837209272,0.21672093023255634,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,101.68781,11.284388,1.0
10047,15.98,13.944,13.34,12.89,13.14,12.159,11.914,11.836,1.218500000000001,0.7536470588235331,1.4022790697674417,1.430697674418606,0.02841860465116408,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,101.08831,10.8706,1.0
10048,15.079,16.217,13.45,13.13,13.21,12.58,12.449,12.425,-1.7193333333333287,-2.6768235294117533,-1.3407906976744168,1.2420232558139548,2.5828139534883716,gmag_rmag_imag_Hamag,100.11633,11.141836,1.0
10049,15.038,15.256,13.1,12.66,12.9,12.006,11.851,11.781,-1.0173333333333323,-1.5003529411764664,-0.826372093023256,0.7770697674418607,1.6034418604651166,gmag_rmag_imag_Hamag,99.991015,11.079414,1.0
10050,15.411,17.19,13.81,13.55,13.71,13.161,13.036,12.941,-2.2513333333333345,-2.4201764705882347,-2.184581395348839,0.8270465116279059,3.0116279069767447,umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,101.56268,11.526735,1.0
10051,15.492,14.498,13.69,13.45,13.5,13.076,12.986,12.981,0.5580000000000013,-0.22423529411764265,0.8672558139534882,1.560139534883719,0.6928837209302308,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,101.6589,11.404417,1.0
10052,15.387,14.328,13.52,13.27,13.46,12.822,12.727,12.641,0.6048333333333344,0.6742941176470679,0.5773720930232539,0.9479302325581348,0.3705581395348808,umag_gmag_rmag_Hamag,99.47093,8.1239755,1.0
