,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,Unnamed: 0,DEJ2000,LAMOST_sep,RAJ2000,model_prob,col1,original_index,Halpha
38,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-2.7628333333333335,-6.737058823529409,-1.1916279069767461,0.32093023255813413,1.5125581395348804,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,98,52.173432,2.0,59.558931,0.38,98,98.00,1.0
39,14.15,14.86,12.91,11.78,11.97,10.89,10.8,10.65,-2.7628333333333335,-6.737058823529409,-1.1916279069767461,0.32093023255813413,1.5125581395348804,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,979,52.173405,2.0,59.558959,0.38,977,977.00,1.0
40,23.71,18.13,13.21,12.94,13.01,12.25,12.17,12.18,5.089499999999999,4.297647058823524,5.402558139534885,10.161395348837209,4.758837209302323,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,634,23.857319,2.0,93.283401,0.38,632,632.00,0.0
42,13.3,15.09,12.91,11.81,11.76,10.49,10.24,10.01,-3.7883333333333313,-9.16352941176471,-1.6632558139534859,0.6318604651162829,2.295116279069769,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,221,45.4200264,2.0,307.8161506,0.35,221,221.00,1.0
43,11.08,11.18,12.63,11.21,11.29,10.36,10.28,10.27,-2.6796666666666655,-8.691764705882365,-0.3027906976744138,-1.9369767441860386,-1.634186046511625,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,668,52.6647547,2.0,59.8407956,0.34,666,666.00,0.0
58,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-2.100500000000003,-5.905882352941179,-0.5960465116279112,1.5648837209302262,2.160930232558137,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,291,23.1843864,2.0,90.0966072,0.22,291,291.00,1.0
59,14.95,15.47,13.24,12.37,12.4,11.36,10.9,10.49,-2.100500000000003,-5.905882352941179,-0.5960465116279112,1.5648837209302262,2.160930232558137,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,125,23.184375,2.0,90.096597,0.22,125,125.00,1.0
68,13.6,12.79,12.74,11.65,11.71,10.75,10.62,10.58,-1.1701666666666655,-5.794117647058821,0.6579069767441854,0.5697674418604624,-0.08813953488372306,umag_gmag_rmag_Hamag,272,50.1102214,2.0,59.3023628,0.2,272,272.00,0.0
76,10.98,10.13,12.87,11.1,11.35,9.06,9.16,9.08,-2.3654999999999986,-8.895882352941177,0.21627906976744182,-3.0993023255813936,-3.3155813953488353,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,939,51.13302,2.0,59.076031,0.18,937,937.00,0.0
77,14.17,12.0,12.21,11.64,11.68,11.43,11.34,11.35,1.1344999999999996,-1.2282352941176553,2.0686046511627927,1.7665116279069801,-0.3020930232558128,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,621,10.467609,2.0,101.3984,0.18,619,619.00,0.0
81,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,1.4345000000000003,-0.9282352941176435,2.368604651162789,2.1365116279069722,-0.2320930232558166,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,785,21.5004469,2.0,87.0868689,0.17,783,783.00,0.0
82,14.75,12.28,12.42,11.85,11.89,11.67,11.67,11.62,1.4345000000000003,-0.9282352941176435,2.368604651162789,2.1365116279069722,-0.2320930232558166,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,777,21.500454,2.0,87.086859,0.17,775,775.00,0.0
87,13.68,12.03,12.03,11.62,11.64,11.34,11.35,11.31,0.9051666666666669,-0.8505882352941105,1.5993023255813923,1.5532558139534822,-0.04604651162791006,umag_gmag_rmag_imag,22,56.380257,2.0,348.674884,0.16,22,22.00,0.0
89,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,-2.1513333333333304,-9.456470588235298,0.7367441860465146,-1.0081395348837177,-1.7448837209302321,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,591,23.1526269,2.0,88.2362508,0.16,590,590.00,1.0
90,11.48,10.87,12.73,11.21,11.16,9.71,9.61,9.52,-2.1513333333333304,-9.456470588235298,0.7367441860465146,-1.0081395348837177,-1.7448837209302321,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,118,23.152603,2.0,88.236244,0.16,118,118.00,1.0
103,13.8,12.09,12.85,11.6,11.85,10.47,10.37,10.29,-0.5608333333333317,-4.701764705882354,1.076279069767443,-0.25930232558139354,-1.3355813953488367,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,724,51.087715,2.0,59.126724,0.12,722,722.00,0.0
108,14.47,14.43,12.27,11.63,11.79,10.91,10.76,10.63,-1.1226666666666631,-3.037647058823532,-0.36558139534883194,1.4260465116279164,1.7916279069767482,gmag_rmag_imag_Hamag,833,22.649184,2.0,88.431,0.11,831,831.00,1.0
111,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,-0.32416666666666405,-4.80705882352941,1.4481395348837223,-0.09465116279069519,-1.5427906976744177,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,804,51.238834,2.0,59.23572,0.11,802,802.00,0.0
112,14.31,12.0,12.76,11.31,11.65,9.94,9.76,9.66,-0.32416666666666405,-4.80705882352941,1.4481395348837223,-0.09465116279069519,-1.5427906976744177,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,596,51.238823,2.0,59.235759,0.11,594,594.00,0.0
115,14.21,12.7,11.88,11.64,11.7,11.15,11.05,11.0,1.0740000000000012,0.3558823529411681,1.357906976744191,2.0397674418604717,0.6818604651162806,umag_gmag_rmag_imag,303,49.3262792,2.0,55.4238473,0.1,302,302.00,0.0
121,15.78,15.97,14.02,13.66,13.76,13.07,12.94,12.85,-0.8440000000000001,-1.8570588235294123,-0.4434883720930235,1.2762790697674435,1.7197674418604671,gmag_rmag_imag_Hamag,887,0.546029,2.0,101.665527,0.1,885,885.00,1.0
122,14.46,15.81,12.52,11.57,11.53,10.17,9.72,9.31,-3.075833333333331,-7.697647058823533,-1.248604651162788,2.133488372093029,3.382093023255817,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,395,59.036368,2.0,346.162464,0.1,394,394.00,1.0
135,13.65,12.42,12.1,11.93,11.88,11.53,11.48,11.43,0.9211666666666674,-0.1805882352941104,1.3567441860465093,1.7918604651162744,0.43511627906976524,umag_gmag_rmag_imag,616,23.6290914,2.0,92.4660947,0.08,614,614.00,0.0
142,13.98,12.28,12.17,11.88,11.88,11.74,11.76,11.73,1.1731666666666696,-0.15941176470587637,1.700000000000001,1.8100000000000005,0.10999999999999943,umag_gmag_rmag_imag,694,4.5595814,2.0,105.7442908,0.07,692,692.00,0.0
144,11.17,10.63,12.74,11.11,11.32,9.57,9.56,9.49,-2.421166666666668,-8.564705882352944,0.007674418604648459,-2.585813953488376,-2.5934883720930246,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,601,51.008247,2.0,59.017563,0.07,599,599.00,0.0
154,14.09,14.69,12.65,11.94,12.06,11.38,11.25,11.18,-1.8898333333333341,-4.382941176470588,-0.9041860465116299,0.8595348837209252,1.7637209302325552,gmag_rmag_imag_Hamag,10,23.662258,2.0,93.885612,0.06,10,10.00,0.0
159,13.17,11.53,12.71,12.45,12.55,12.18,12.1,12.07,1.1676666666666646,0.6141176470588228,1.3865116279069738,-0.023720930232565662,-1.4102325581395396,umag_gmag_rmag_imag | gmag_rmag_imag_Hamag,281,0.1551842,2.0,100.9836472,0.06,281,281.00,0.0
160,14.07,14.5,12.48,11.84,12.0,11.29,11.17,11.07,-1.5926666666666671,-3.5076470588235327,-0.8355813953488371,0.8160465116279066,1.6516279069767437,gmag_rmag_imag_Hamag,630,23.491268,2.0,90.052214,0.06,628,628.00,0.0
163,14.13,11.8,13.06,12.72,12.88,12.12,11.99,11.91,1.712333333333334,1.175882352941178,1.9244186046511627,0.29604651162790707,-1.6283720930232557,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,455,57.556201,2.0,346.462287,0.05,454,454.00,0.0
164,14.05,14.33,12.66,12.34,12.41,11.95,11.88,11.82,-0.8613333333333331,-1.8829411764705881,-0.45744186046511626,1.0513953488372088,1.508837209302325,gmag_rmag_imag_Hamag,571,24.173047,2.0,91.208839,0.05,570,570.00,0.0
165,14.05,14.33,12.66,12.34,12.41,11.95,11.88,11.82,-0.8613333333333331,-1.8829411764705881,-0.45744186046511626,1.0513953488372088,1.508837209302325,gmag_rmag_imag_Hamag,678,24.1730759,2.0,91.2088553,0.05,676,676.00,0.0
176,13.64,12.76,12.91,11.78,11.97,10.89,10.8,10.65,-1.1728333333333336,-5.1470588235294095,0.3983720930232536,-0.18906976744186565,-0.5874418604651194,umag_gmag_rmag_Hamag,273,52.173405,2.0,59.558968,0.05,273,273.00,1.0
186,13.38,14.36,12.33,11.75,11.78,11.54,11.56,11.49,-2.033666666666665,-4.506470588235299,-1.0560465116279039,0.9048837209302365,1.9609302325581404,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,748,1.301154,2.0,100.970449,0.04,746,746.00,0.0
195,14.38,15.89,12.68,11.91,11.88,10.9,10.58,10.26,-2.908833333333332,-6.639411764705877,-1.4339534883720946,1.8451162790697653,3.2790697674418596,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,84,52.434199,2.0,59.058908,0.04,84,84.00,1.0
