,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
1965,20.869,19.693,17.25,15.764,16.811,13.288,12.511,12.082,-1.5235666666666687,-1.6387647058823558,-1.4780232558139552,-1.4455581395348833,0.032465116279071005,umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,4.5,-58.804336,4.552,3.62,17.253,161.590173,14.67,8.08,5577,1,0,0,0
1966,17.035,17.182,16.18,15.767,15.93,14.967,14.679,14.614,-0.8972833333333321,-1.7499411764705872,-0.5601860465116268,0.06653488372092986,0.6267209302325567,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,5.39,-61.378245,4.339,3.369,16.185,158.760084,15.53,3.02,5578,1,0,0,0
1972,19.821,19.484,17.238,15.674,16.397,12.25,11.035,10.377,-2.504266666666666,-5.055294117647068,-1.495720930232555,-0.9143023255813865,0.5814186046511682,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,5.07,-59.510516,4.634,5.321,17.287,160.9027,13.59,10.138,5614,1,1,1,0
1993,16.243,16.563,15.762,15.272,15.204,13.948,13.546,13.543,-1.2101666666666673,-3.8977647058823535,-0.14762790697674552,0.8099302325581356,0.9575581395348811,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,5.15,-59.938926,4.303,5.232,15.71,160.539457,13.87,3.814,5698,1,1,0,0
1994,19.965,19.456,17.947,17.215,17.618,16.07,15.612,15.472,-0.820799999999998,-1.6004705882352983,-0.5125581395348795,0.0686046511627989,0.5811627906976783,umag_gmag_rmag_imag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.45,-57.815366,4.303,3.083,17.985,162.679274,16.05,4.12,5699,1,0,0,0
1996,20.006,19.224,17.438,16.455,16.869,14.932,14.346,14.078,-1.003783333333334,-2.8662941176470538,-0.2674418604651194,0.5653953488372045,0.8328372093023241,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.21,-60.10587,4.331,3.335,17.451,160.367623,14.76,5.332,5710,1,1,0,0
2007,19.69,19.367,17.504,16.305,16.914,13.717,12.89,12.444,-1.8551833333333354,-3.459941176470588,-1.220744186046515,-0.7598604651162857,0.4608837209302288,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,1.88,-59.612416,4.563,4.742,17.506,160.928355,15.07,7.808,5751,1,1,1,0
2009,20.437,19.947,18.08,16.9,17.729,14.503,13.71,13.315,-1.6536666666666635,-1.7605294117646988,-1.6114186046511612,-1.6530465116279043,-0.04162790697674379,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.02,-59.489541,4.498,4.449,18.083,161.071379,15.25,7.395,5766,1,0,0,0
2011,18.879,18.668,17.174,16.184,16.512,13.873,13.187,12.693,-1.5874999999999946,-4.03358823529411,-0.6204418604651123,0.11839534883721492,0.7388372093023271,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.33,-59.501944,4.322,5.213,17.191,161.065286,13.0,6.628,5772,1,1,0,0
2014,20.433,19.99,18.438,17.543,18.424,15.958,15.139,14.911,-1.1829166666666642,0.35323529411765264,-1.7902325581395329,-2.266581395348835,-0.4763488372093021,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.53,-59.370887,4.331,4.074,18.447,161.209144,15.47,5.537,5782,1,0,0,0
2027,17.246,17.618,16.775,16.223,16.622,15.08,14.678,14.524,-1.374799999999999,-1.3529999999999918,-1.3834186046511645,-1.45904651162791,-0.07562790697674582,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.44,-59.907671,4.371,4.811,16.798,160.674886,15.53,3.863,5822,1,0,1,0
2028,16.479,16.912,16.256,15.844,15.853,15.031,14.792,14.687,-1.1814666666666678,-3.016941176470592,-0.4558139534883728,0.17946511627906714,0.6352790697674399,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.19,-59.905554,4.334,4.444,16.212,160.677646,15.51,2.907,5823,1,1,0,0
2032,19.624,19.769,18.285,17.373,18.737,15.528,14.551,14.176,-1.8017999999999974,2.7531176470588132,-3.602581395348828,-5.258953488372077,-1.6563720930232493,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.42,-59.543117,4.559,4.988,18.527,161.071843,16.96,6.435,5839,1,0,1,0
2034,16.949,16.663,14.969,13.855,14.575,11.676,10.973,10.603,-1.737766666666663,-2.2402352941176473,-1.5391162790697623,-1.502790697674409,0.036325581395353135,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,3.1,-59.399034,4.57,4.419,14.955,161.225755,13.44,6.878,5843,1,0,0,0
2036,12.907,13.236,12.356,11.808,11.968,10.368,9.975,9.776,-1.3245333333333338,-2.816764705882354,-0.734581395348838,-0.22295348837209306,0.5116279069767449,umag_gmag_rmag_Hamag,6.99,-59.724042,4.348,5.214,12.434,160.89348,10.53,4.245,5848,1,1,0,0
2037,19.649,19.391,17.559,16.48,16.246,13.825,13.05,12.563,-1.7021833333333314,-8.160647058823544,0.8511627906976813,3.2219069767441937,2.3707441860465126,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.22,-59.55578,4.452,4.988,17.534,161.07336,13.95,7.645,5849,1,1,1,0
2038,19.891,19.958,18.453,17.594,18.048,16.277,15.562,15.44,-1.6275166666666632,-2.663764705882361,-1.2178372093023178,-0.7580930232557996,0.4597441860465179,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,4.85,-60.97133,4.604,3.781,18.481,159.515585,18.9,5.22,5850,1,0,1,0
2047,19.562,19.087,17.439,16.469,16.564,14.542,13.898,13.533,-1.2871666666666628,-5.135294117647059,0.23418604651163233,1.6634651162790766,1.4292790697674442,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.32,-59.710504,4.337,4.193,17.435,160.937835,14.1,6.006,5879,1,1,0,0
2050,19.317,18.808,17.144,16.051,16.018,14.04,13.403,13.112,-1.4766166666666658,-6.7106470588235165,0.5926511627906921,2.3326279069767346,1.7399767441860425,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.55,-59.708517,4.423,4.097,17.04,160.951741,14.4,6.338,5898,1,1,0,0
2051,20.393,19.937,18.231,17.192,17.649,15.365,14.601,14.386,-1.4315166666666694,-3.275647058823536,-0.7024418604651181,-0.048604651162794,0.6538372093023239,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.73,-59.327283,4.484,3.998,18.234,161.350447,16.3,6.221,5901,1,1,1,0
2052,20.171,19.837,18.263,17.339,17.408,15.629,15.037,14.723,-1.3446000000000056,-5.148058823529417,0.15909302325580704,1.5742325581395202,1.415139534883713,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.49,-59.335458,4.429,3.989,18.242,161.342209,16.19,5.672,5902,1,1,1,0
2056,20.243,19.905,18.403,17.456,17.482,15.516,14.791,14.492,-1.382383333333334,-5.567235294117648,0.2720930232558119,1.714232558139536,1.4421395348837238,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.96,-59.693408,4.381,4.561,18.38,160.985387,15.38,6.08,5920,1,1,1,0
