,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
1713,15.168,14.395,12.444,11.318,11.885,9.005,8.365,8.059,-1.2725666666666688,-2.8111764705882436,-0.6642790697674419,-0.01869767441860537,0.6455813953488363,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.44,-59.199053,4.363,4.013,12.356,160.281809,8.68,6.855,4755,1,0,0,1
1716,18.068,18.13,16.738,15.788,16.337,13.831,13.056,12.706,-1.7878333333333292,-2.6331176470588207,-1.4536511627906934,-1.325627906976738,0.1280232558139549,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,2.32,-60.199935,4.489,4.99,16.689,159.185837,14.67,6.302,4761,1,0,1,0
1718,15.042,14.99,13.901,13.184,13.485,12.022,11.549,11.32,-1.250550000000001,-2.6152941176470623,-0.7110000000000004,-0.31499999999999995,0.39600000000000046,umag_gmag_rmag_Hamag,5.55,-58.250954,4.306,4.094,13.894,161.270902,11.83,4.126,4763,1,0,0,0
1719,20.115,19.808,18.015,17.084,17.134,15.208,14.576,14.357,-1.3843166666666693,-5.341764705882357,0.18025581395348525,1.8581395348837155,1.6778837209302302,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.38,-58.923858,4.514,3.859,17.975,160.583949,16.65,6.071,4765,1,1,1,0
1722,19.997,19.178,17.298,16.256,16.826,14.207,13.652,13.371,-1.0739666666666636,-2.2073529411764583,-0.6258837209302335,-0.058209302325579415,0.5676744186046538,gmag_rmag_imag_Hamag,2.02,-58.794535,4.302,3.767,17.304,160.725457,13.59,6.126,4770,1,0,0,0
1725,20.552,19.908,18.14,17.277,17.568,15.49,14.902,14.859,-0.9237833333333338,-3.0235294117647036,-0.09365116279069985,1.0043720930232538,1.0980232558139535,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.88,-59.065755,4.322,3.682,18.135,160.448903,15.19,5.52,4780,1,1,0,0
1726,19.929,19.49,17.933,17.067,16.766,15.421,14.77,14.387,-1.1342333333333323,-7.043529411764719,1.2020000000000046,3.452000000000007,2.2500000000000027,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.67,-59.498331,4.304,4.05,17.922,159.995091,14.81,5.403,4785,1,1,0,0
1731,20.105,19.832,18.294,17.495,17.556,15.951,15.524,15.142,-1.1785166666666658,-4.458882352941176,0.11837209302325571,1.5159302325581399,1.3975581395348842,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.65,-59.009884,4.425,3.73,18.254,160.528256,16.74,5.103,4796,1,1,1,0
1737,17.589,17.372,16.076,15.338,15.876,13.892,13.379,13.221,-1.1237000000000033,-1.065352941176479,-1.1467674418604663,-1.0894186046511645,0.05734883720930184,umag_gmag_rmag_Hamag,2.93,-59.520714,4.304,4.031,16.124,160.013642,13.61,4.618,4822,1,0,0,0
1739,20.332,19.656,17.951,16.971,17.742,15.04,14.324,14.158,-1.1043333333333318,-0.6640588235294078,-1.2783953488372084,-1.3484883720930245,-0.07009302325581657,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.75,-59.481898,4.298,4.056,17.96,160.072942,14.28,5.964,4831,1,0,0,0
1742,19.56,19.308,17.557,16.679,16.191,14.859,14.177,13.884,-1.3430333333333342,-8.506470588235295,1.4890232558139507,4.363558139534881,2.87453488372093,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,7.14,-59.464112,4.503,4.007,17.559,160.09682,16.1,6.036,4839,1,1,1,0
1744,19.571,19.131,17.648,16.731,17.469,15.036,14.441,14.102,-1.225883333333328,-0.7077058823529305,-1.4307441860465082,-1.6468604651162728,-0.21611627906976505,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.4,-59.496221,4.297,4.123,17.654,160.064131,14.41,5.397,4842,1,0,0,0
1772,17.492,17.649,16.623,16.079,15.902,15.067,14.736,14.774,-1.1452666666666673,-4.77988235294119,0.29167441860465443,1.725186046511634,1.4335116279069795,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.53,-59.140497,4.385,3.678,16.511,160.552448,15.93,3.546,4949,1,1,0,0
1774,19.433,17.787,15.15,13.687,14.746,10.951,10.154,9.736,-1.0117833333333337,-0.94435294117647,-1.0384418604651167,-0.8396046511627935,0.19883720930232318,umag_gmag_rmag_Hamag,1.99,-59.000602,4.317,3.583,15.168,160.701155,9.92,8.205,4951,1,0,0,1
1778,18.482,18.426,17.167,16.452,16.457,15.189,14.638,14.302,-1.2429166666666651,-4.496352941176476,0.0433255813953523,1.2908139534883747,1.2474883720930223,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,5.18,-60.667291,4.368,4.04,17.112,158.865077,15.39,4.565,4960,1,1,0,0
1783,14.353,13.961,12.394,11.538,11.903,9.465,8.881,8.555,-1.1630666666666665,-2.7561764705882346,-0.5332325581395355,0.19341860465116256,0.7266511627906979,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.84,-59.454645,4.3,4.484,12.401,160.248764,8.76,5.901,4980,1,1,0,1
1788,19.859,19.529,18.127,17.329,17.428,15.784,15.126,14.927,-1.1196999999999946,-4.151823529411752,0.07904651162790843,1.2531162790697696,1.1740697674418612,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.3,-59.527148,4.3,4.132,18.095,160.18161,15.25,5.047,4993,1,1,0,0
1791,20.09,19.869,18.302,17.491,17.714,16.125,15.27,15.126,-1.252316666666666,-3.549117647058831,-0.34427906976743894,0.7093023255814013,1.05358139534884,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,7.24,-58.801898,4.456,3.79,18.298,160.960948,16.97,5.252,5006,1,1,1,0
1799,15.74,15.414,13.686,12.61,13.268,10.444,9.787,9.439,-1.6287333333333334,-2.354117647058819,-1.341953488372095,-1.1288837209302365,0.21306976744185824,umag_gmag_rmag_imag,2.67,-59.608413,4.566,4.28,13.687,160.125589,12.25,6.764,5022,1,0,0,0
1803,20.462,19.897,17.953,16.707,17.555,14.217,13.198,12.743,-1.6985666666666623,-1.986882352941174,-1.5845813953488324,-1.5929534883720855,-0.008372093023253369,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.09,-58.306081,4.478,4.646,17.974,161.501489,14.42,7.906,5036,1,0,0,0
1804,19.713,19.37,17.905,17.132,17.496,15.768,14.978,14.804,-1.0612833333333325,-2.279411764705899,-0.5796976744185972,0.047255813953502646,0.6269534883720997,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.1,-58.850276,4.319,3.885,17.912,160.951673,15.36,4.937,5039,1,0,0,0
1810,12.644,13.106,12.275,11.734,11.894,10.721,10.448,10.293,-1.4448166666666669,-2.9048823529411782,-0.8675813953488372,-0.40495348837209344,0.46262790697674355,umag_gmag_rmag_Hamag,1.73,-60.155805,4.51,4.245,12.248,159.584447,12.79,3.668,5074,1,0,0,0
1812,19.78,19.138,17.409,16.48,17.278,14.638,14.048,13.818,-1.0456833333333306,-0.1979411764705905,-1.380837209302321,-1.4890930232558008,-0.1082558139534806,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.23,-58.839614,4.308,3.815,17.484,161.001042,14.13,5.684,5076,1,0,0,0
1817,19.94,19.307,17.32,16.099,16.481,13.627,12.888,12.486,-1.585149999999997,-4.746470588235285,-0.3353255813953494,0.772186046511623,1.1075116279069723,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.63,-59.58504,4.512,4.235,17.324,160.234954,14.57,7.544,5090,1,1,0,0
1820,19.851,19.643,18.209,17.384,17.411,16.224,15.6,15.395,-1.2907499999999998,-4.9085882352941095,0.13955813953487956,1.5113953488372038,1.3718372093023243,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.2,-61.607862,4.471,3.494,18.154,157.894712,17.48,4.714,5099,1,1,1,0
1822,20.654,19.683,17.551,16.241,17.299,13.683,12.852,12.502,-1.4088333333333303,-0.6447647058823462,-1.7109069767441842,-2.0147674418604593,-0.30386046511627596,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.4,-59.50732,4.431,4.108,17.577,160.329197,13.69,7.796,5102,1,0,0,0
1824,18.163,18.352,17.181,16.477,16.759,15.313,14.888,14.714,-1.4679333333333342,-2.894764705882358,-0.9038372093023254,-0.38209302325581396,0.5217441860465113,umag_gmag_rmag_Hamag,1.47,-61.623374,4.564,3.85,17.16,157.879754,17.8,4.381,5104,1,0,1,0
1826,20.332,19.808,18.256,17.344,18.289,15.928,15.282,15.354,-1.132799999999997,0.7355882352941266,-1.8714651162790683,-2.4951627906976723,-0.6236976744186045,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.13,-58.847291,4.353,3.532,18.272,161.025999,15.99,5.037,5109,1,0,0,0
1844,20.025,19.967,18.218,17.252,17.857,15.559,15.015,14.722,-1.6969000000000016,-2.2566470588235346,-1.4756046511627912,-1.1195116279069786,0.3560930232558126,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,4.39,-59.263386,4.613,3.722,18.173,160.643481,18.27,5.842,5153,1,0,1,0
1848,13.104,13.38,12.4,11.829,11.99,10.552,10.182,9.951,-1.3133166666666676,-2.904823529411768,-0.6841162790697678,-0.07479069767441726,0.6093255813953504,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,0.9,-59.819418,4.388,4.582,12.446,160.080728,11.14,4.141,5173,1,1,0,0
1849,19.513,18.949,17.139,15.999,16.868,13.747,12.98,12.602,-1.506999999999997,-1.1735882352941231,-1.638813953488366,-1.8295348837209158,-0.19072093023255032,umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.76,-59.370825,4.415,4.345,17.137,160.565631,13.73,6.986,5175,1,0,0,0
1850,17.559,17.048,15.394,14.423,14.871,12.75,12.234,11.91,-1.2529833333333302,-2.842352941176467,-0.6246279069767418,-0.0020697674418599377,0.6225581395348816,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.39,-59.052429,4.371,3.706,15.378,160.900037,12.86,5.53,5177,1,1,0,0
1854,20.286,19.329,17.175,15.983,16.617,13.655,12.992,12.587,-1.208466666666666,-2.6207647058823524,-0.6501162790697668,0.04420930232558229,0.6943255813953488,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.6,-59.161234,4.381,3.797,17.194,160.794264,13.44,7.113,5191,1,1,0,0
1857,20.129,19.989,18.581,17.766,18.007,16.255,15.486,15.033,-1.3405833333333348,-3.540352941176459,-0.47090697674419335,0.38223255813952184,0.8531395348837151,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.92,-59.854136,4.396,4.355,18.57,160.063721,16.36,5.402,5202,1,1,1,0
1858,19.94,19.686,18.208,17.435,17.586,16.01,15.559,15.254,-1.150283333333331,-3.734117647058823,-0.12876744186046307,1.0015813953488415,1.1303488372093045,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.88,-59.066424,4.403,3.651,18.186,160.905624,16.65,4.83,5203,1,1,1,0
1862,20.324,19.92,18.4,17.64,18.057,16.198,15.659,15.297,-0.9766666666666628,-1.7952352941176475,-0.6530465116279016,-0.09311627906975373,0.5599302325581477,gmag_rmag_imag_Hamag,2.59,-59.365443,4.315,3.696,18.469,160.608429,15.96,4.821,5215,1,0,0,0
1867,20.098,19.654,18.04,17.186,17.381,15.562,14.995,14.92,-1.1074333333333324,-3.7813529411764657,-0.050302325581396745,1.1147441860465106,1.1650465116279074,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.11,-59.054505,4.369,3.715,18.039,160.94961,15.73,5.281,5232,1,1,0,0
1869,14.638,14.764,13.883,13.272,13.383,12.397,12.104,11.965,-1.2359833333333305,-3.331882352941177,-0.4073720930232523,0.218069767441867,0.6254418604651193,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.67,-60.255273,4.336,3.744,13.818,159.659101,12.8,3.327,5237,1,1,0,0
1874,19.811,19.471,17.915,17.053,17.438,15.317,14.598,14.634,-1.2259666666666633,-2.7184117647058854,-0.6359302325581342,0.03367441860466269,0.6696046511627967,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.88,-59.959697,4.377,4.01,17.934,159.999749,15.46,5.491,5249,1,1,0,0
1879,20.914,19.445,16.985,15.544,16.58,12.751,11.851,11.369,-1.1488166666666628,-1.1277647058823597,-1.1571395348837128,-1.0823488372092864,0.07479069767442592,umag_gmag_rmag_Hamag,0.72,-59.179471,4.329,3.96,16.991,160.854971,11.61,8.383,5265,1,0,0,1
1884,19.919,18.585,16.129,14.526,15.66,11.376,10.325,9.773,-1.578116666666669,-1.6731176470588327,-1.5405581395348835,-1.6953953488372084,-0.15483720930232536,umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,5.81,-59.826344,4.384,4.366,16.046,160.183987,10.34,9.378,5279,1,0,0,1
1887,17.787,17.958,16.896,16.19,16.118,14.788,14.388,13.984,-1.453566666666665,-5.159352941176486,0.011511627906984206,1.239279069767453,1.227767441860469,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.42,-61.777599,4.383,4.653,16.834,157.912211,15.15,4.602,5289,1,1,1,0
1893,20.024,19.601,17.932,17.055,17.144,15.333,14.744,14.402,-1.1702166666666625,-4.629470588235296,0.19739534883721468,1.6614883720930325,1.4640930232558178,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.05,-59.940586,4.378,3.86,17.964,160.107666,15.44,5.599,5318,1,1,0,0
1894,20.393,19.99,18.094,16.833,17.609,14.186,13.236,12.754,-1.887816666666669,-2.7067058823529364,-1.5640697674418658,-1.4546744186046654,0.1093953488371997,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,1.98,-59.680048,4.521,4.875,18.084,160.392854,14.85,8.11,5321,1,0,1,0
1895,20.113,19.806,18.294,17.388,17.807,15.482,14.915,14.506,-1.3388999999999989,-2.8155294117647203,-0.7551162790697605,-0.20779069767440328,0.5473255813953569,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,0.33,-59.664926,4.362,4.419,18.288,160.415011,15.31,5.844,5326,1,0,1,0
1896,19.358,19.05,17.615,16.801,17.067,15.144,14.721,14.504,-1.1707666666666665,-3.2056470588235197,-0.3662790697674463,0.4563023255813896,0.8225813953488357,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.59,-60.306349,4.33,3.989,17.632,159.712936,15.03,5.064,5328,1,1,0,0
1904,19.123,18.836,17.359,16.355,17.156,14.442,13.773,13.453,-1.5369333333333328,-1.0145882352941344,-1.7434418604651087,-2.110604651162781,-0.3671627906976729,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.81,-59.301492,4.379,4.489,17.382,160.83235,14.34,6.034,5358,1,0,0,0
1907,19.932,19.919,18.268,17.182,17.373,14.994,14.103,13.712,-1.959900000000005,-5.725529411764707,-0.4711627906976824,0.7400930232558004,1.2112558139534826,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.78,-59.650637,4.588,4.855,18.215,160.473833,16.73,7.093,5365,1,1,1,0
1910,18.68,18.626,17.367,16.647,16.575,15.015,14.398,14.064,-1.2540000000000056,-5.024117647058837,0.23651162790697305,1.6612790697674364,1.4247674418604634,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.0,-59.704282,4.3,4.788,17.342,160.421719,14.41,5.072,5374,1,1,0,0
1912,20.657,19.959,18.215,17.201,17.694,15.538,14.944,14.805,-1.144099999999998,-2.642529411764712,-0.5516976744186,0.0572558139534971,0.6089534883720968,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.04,-58.933618,4.373,3.527,18.249,161.23932,15.67,5.611,5383,1,1,0,0
1913,20.106,19.805,18.004,17.076,17.24,15.077,14.343,13.987,-1.3848666666666658,-4.597588235294136,-0.11472093023255076,1.3086976744186156,1.423418604651166,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.55,-60.029167,4.485,4.188,18.004,160.083815,15.95,6.433,5386,1,1,1,0
1914,19.821,19.483,18.005,17.239,17.055,15.826,15.207,14.808,-1.053566666666662,-5.753176470588231,0.8044186046511662,2.706046511627914,1.9016279069767479,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.38,-60.043046,4.321,3.846,17.995,160.071576,15.52,4.901,5396,1,1,0,0
1915,19.669,19.495,18.035,17.311,16.979,15.616,15.068,14.701,-1.1412666666666673,-6.596823529411774,1.0155813953488382,3.239953488372096,2.2243720930232582,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,5.82,-60.110063,4.354,4.275,18.008,160.008902,15.55,5.243,5401,1,1,1,0
1918,19.802,19.771,18.345,17.546,17.299,15.704,15.342,14.938,-1.4205166666666666,-6.675705882352941,0.6571162790697657,2.651790697674418,1.9946744186046526,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.6,-59.704671,4.458,4.406,18.346,160.460651,16.67,5.55,5406,1,1,1,0
1920,20.246,19.886,18.372,17.605,17.706,15.92,15.274,14.938,-1.0333833333333327,-3.9102352941176513,0.10397674418604835,1.3854418604651197,1.2814651162790713,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.19,-59.696536,4.297,4.195,18.421,160.470568,15.31,5.274,5408,1,1,0,0
1923,20.081,19.79,18.443,17.619,17.721,16.06,15.637,15.161,-1.2059333333333355,-4.338294117647068,0.03244186046511599,1.1446046511627876,1.1121627906976717,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.23,-59.723311,4.314,4.12,18.378,160.446649,15.74,4.977,5414,1,1,1,0
1928,19.753,19.193,17.544,16.451,17.222,14.3,13.673,13.25,-1.4256166666666674,-1.5045882352941145,-1.3943953488372116,-1.5204883720930251,-0.12609302325581395,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.4,-59.438813,4.32,4.415,17.561,160.778719,13.57,6.455,5435,1,0,0,0
1929,18.466,17.992,16.395,15.373,16.093,13.51,12.92,12.587,-1.3826333333333332,-1.4623529411764684,-1.351116279069768,-1.4117906976744181,-0.06067441860465039,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.66,-59.427044,4.355,4.078,16.414,160.79548,13.31,5.895,5439,1,0,0,0
1930,19.609,18.96,16.887,15.591,16.261,12.953,12.097,11.679,-1.7054000000000005,-3.3647647058823615,-1.049372093023254,-0.518930232558136,0.5304418604651178,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,2.65,-59.162743,4.559,4.368,16.896,161.073523,14.24,8.065,5440,1,1,0,0
1933,19.386,18.37,16.047,14.572,15.601,11.74,10.845,10.325,-1.663583333333337,-1.8436470588235303,-1.592395348837214,-1.6384883720930299,-0.04609302325581632,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.22,-59.453477,4.51,4.191,16.059,160.776274,12.29,8.701,5451,1,0,0,0
1935,16.071,15.804,14.235,13.194,13.838,11.231,10.581,10.199,-1.6241499999999958,-2.278470588235295,-1.3654651162790636,-1.2791627906976624,0.08630232558140083,umag_gmag_rmag_imag,3.16,-59.292326,4.462,4.382,14.217,160.956727,11.9,6.313,5463,1,0,0,0
1938,19.741,19.332,17.815,16.904,17.721,14.993,14.424,14.122,-1.2459833333333366,-0.19370588235295005,-1.6620000000000004,-2.0260000000000002,-0.3639999999999999,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.65,-59.704036,4.309,4.342,17.814,160.525824,14.41,5.717,5472,1,0,0,0
1939,20.667,19.419,16.956,15.435,16.5,12.627,11.756,11.307,-1.5151499999999962,-1.6757647058823495,-1.4516511627906938,-1.4406279069767365,0.011023255813956911,umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,4.0,-59.430787,4.537,3.924,16.981,160.818798,13.59,8.71,5475,1,0,0,0
1941,17.031,16.862,15.586,14.764,15.398,13.124,12.586,12.342,-1.324300000000001,-1.0364117647058861,-1.438116279069767,-1.6217906976744199,-0.18367441860465306,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.52,-59.737961,4.326,4.42,15.581,160.500798,12.85,5.091,5483,1,0,0,0
1942,20.205,19.795,18.12,17.163,18.079,15.493,14.73,14.506,-1.3285500000000043,0.1471176470588177,-1.911953488372096,-2.3458837209302343,-0.4339302325581387,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.62,-60.156857,4.456,3.888,18.112,160.048121,16.23,5.855,5488,1,0,1,0
1948,18.239,17.714,16.165,15.292,15.448,13.839,13.404,13.075,-1.0609499999999963,-4.072235294117639,0.1295581395348846,1.3193953488372085,1.189837209302324,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.12,-60.381748,4.301,3.526,16.193,159.81405,13.54,4.85,5512,1,1,0,0
1955,17.366,17.406,16.398,15.811,15.913,14.742,14.598,14.322,-1.1063833333333317,-3.149705882352938,-0.2985581395348835,0.47460465116278944,0.7731627906976729,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.52,-61.23684,4.322,3.746,16.362,158.861403,15.03,3.547,5537,1,1,0,0
1961,16.836,16.904,15.952,15.367,15.367,14.438,14.092,13.723,-1.1307499999999995,-3.818882352941173,-0.06800000000000139,0.8839999999999986,0.952,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,7.62,-60.362289,4.297,3.948,15.949,159.907146,14.36,3.488,5563,1,1,0,0
