,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,ID,DEJ2000,w1_err,e_gmag,e_rmag,objtype_SIMBAD,w1,e_umag,Fe_type,h,h_err,k_err,e_imag,e_Hamag,Halpha_type,e_Kmag,e_Jmag,RAJ2000,e_Hmag,k,objtype_Hou
75,15.302,15.793,12.68,11.91,11.88,10.899,10.575,10.259,-1.9599047619047612,-2.966128654970759,-2.4840700934579423,1.6853918128654977,1.8444299065420573,3.354429906542056,2.6672105263157895,2.7429065420560748,3.8607102803738313,0.7615887850467288,0.05550326797385696,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag,J035614.13+522603.1,52.434199,0.023,0.012,0.0,Emission-line Star,10.04,0.007,,10.575,0.032,0.022,0.0,0.0,I,0.022,0.027,59.058908,0.032,10.259,CBe
77,16.526,15.552,15.04,14.59,14.55,13.874,13.65,13.406,0.7324069264069264,0.36079532163742734,0.4636355140186924,0.93863157894737,1.0097383177570116,1.8859065420560759,0.25147368421052724,0.28531775700934703,0.9322803738317761,0.4387850467289715,0.016679738562091928,umag_gmag_Hamag,J052831.75+271146.6,27.196278,0.026,0.003,0.0,,13.154,0.006,,13.65,0.031,0.032,0.0,0.0,I,0.032,0.026,82.132292,0.031,13.406,CBe
79,15.564,14.665,14.41,14.09,14.03,13.516,13.37,13.265,0.7786753246753261,0.5324795321637441,0.5755654205607488,0.7647602339181283,0.7846542056074759,1.3988598130841117,0.06973684210526201,0.07920560747663419,0.5304205607476625,0.3031775700934581,0.056784313725492155,umag_rmag_imag | umag_rmag_Hamag,J055342.76+215223.3,21.873139,0.024,0.003,0.0,,12.943,0.005,,13.37,0.026,0.028,0.0,0.0,I,0.028,0.024,88.428167,0.026,13.265,CBe
82,16.526,15.552,15.04,14.59,14.55,13.874,13.65,13.406,0.7324069264069264,0.36079532163742734,0.4636355140186924,0.93863157894737,1.0097383177570116,1.8859065420560759,0.25147368421052724,0.28531775700934703,0.9322803738317761,0.4387850467289715,0.016679738562091928,umag_gmag_Hamag,J052831.75+271146.6,27.196278,0.026,0.003,0.0,,13.154,0.006,,13.65,0.031,0.032,0.0,0.0,I,0.032,0.026,82.132292,0.031,13.406,CBe
83,15.693,14.806,13.52,12.96,12.83,12.013,11.716,11.386,0.28018614718614787,-0.28969005847953055,-0.11946728971962495,1.491830409356727,1.502345794392524,2.570196261682241,0.961789473684211,0.9667943925233644,1.7494112149532688,0.5235514018691574,0.016607843137255496,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,J055352.81+222544.5,22.429046,0.024,0.004,0.0,,11.247,0.006,unclassify,11.716,0.021,0.019,0.0,0.0,I,0.019,0.022,88.470081,0.021,11.386,CBe
84,15.693,14.806,13.52,12.96,12.83,12.013,11.716,11.386,0.28018614718614787,-0.28969005847953055,-0.11946728971962495,1.491830409356727,1.502345794392524,2.570196261682241,0.961789473684211,0.9667943925233644,1.7494112149532688,0.5235514018691574,0.016607843137255496,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,J055352.81+222544.5,22.429046,0.024,0.004,0.0,,11.247,0.006,,11.716,0.021,0.019,0.0,0.0,I,0.019,0.022,88.470081,0.021,11.386,CBe
85,15.268,14.549,13.65,13.33,13.25,12.782,12.636,12.489,0.29479653679653844,-0.05802339181286387,0.05735981308411375,1.2287602339181287,1.2292149532710281,1.83781308411215,0.7137368421052621,0.7139532710280364,1.1595607476635508,0.29757009345794416,0.021098039215688397,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,J061658.93+251525.8,25.257194,0.024,0.011,0.0,,12.323,0.005,double-peak,12.636,0.023,0.024,0.0,0.0,I,0.024,0.021,94.245542,0.023,12.489,CBe
86,15.268,14.549,13.65,13.33,13.25,12.782,12.636,12.489,0.29479653679653844,-0.05802339181286387,0.05735981308411375,1.2287602339181287,1.2292149532710281,1.83781308411215,0.7137368421052621,0.7139532710280364,1.1595607476635508,0.29757009345794416,0.021098039215688397,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,J061658.92+251525.8,25.257169,0.024,0.011,0.0,,12.323,0.005,,12.636,0.023,0.024,0.0,0.0,I,0.024,0.021,94.245504,0.023,12.489,CBe
87,14.487,14.61,12.86,12.62,12.6,12.059,11.903,11.737,-0.948757575757575,-1.3914795321637419,-1.1467850467289709,1.335070175438597,1.3742897196261692,1.8419532710280389,1.6110526315789473,1.6297196261682245,1.9751401869158884,0.23439252336448632,0.014954248366011585,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,J061036.48+241848.1,24.313367,0.024,0.009,0.0,,11.482,0.004,double-peak,11.903,0.022,0.021,0.0,0.0,I,0.021,0.021,92.652009,0.022,11.737,CBe
89,15.564,14.665,14.41,14.09,14.03,13.516,13.37,13.265,0.7786753246753261,0.5324795321637441,0.5755654205607488,0.7647602339181283,0.7846542056074759,1.3988598130841117,0.06973684210526201,0.07920560747663419,0.5304205607476625,0.3031775700934581,0.056784313725492155,umag_rmag_imag | umag_rmag_Hamag,J055342.75+215223.3,21.873148,0.024,0.003,0.0,,12.943,0.005,,13.37,0.026,0.028,0.0,0.0,I,0.028,0.024,88.428156,0.026,13.265,CBe
