,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,em,RA,B-TS2,W1mag,DEC,BeC1,Type,objtype,BeC,class,EM2,ID,W2mag,Be_EM2,BeC2,SpT,Ref,B-TS1,GroupSize,EM1,GroupID,EMobj,obsid,subclass,PStar,B-TS
75,11.14,12.36,11.55,10.33,9.20199966430664,9.367,9.202,9.035,0,336.26525,,8.958,57.8415916666667,0,Be,,0,,1,V450 Cep,8.674,1,0,B1.5IVpe-B1.5IV-V:ep,BeSS-Chen2019,1,,,,,,,1.0,1
76,11.47,12.24,11.1,10.65,9.163999557495115,9.313,9.164,9.067,0,28.109625,,9.027,60.8317694444444,0,Be,,0,,1,BD+60 368,9.036,1,0,B1IIIe-B1:III:,BeSS-Chen2019,1,,,,,,,1.0,1
77,1.0,12.48,12.03,10.28,8.380999565124512,8.502,8.381,8.334,0,35.5947916666667,,7.718,57.284725,0,Be,,0,,1,BD+56 582,7.611,1,0,B1IIIe-B1:III:(e),BeSS-Chen2019,1,,,,,,,1.0,1
78,11.15,12.22,11.96,11.04,7.59600019454956,7.683,7.596,7.539,0,301.003125,,7.472,26.2713222222222,0,Be,,0,,1,HD 339483,7.524,1,0,B1IIIe-B1III,BeSS-Chen2019,1,,,,,,,1.0,1
79,1.0,12.43,10.99,10.54,8.350000381469727,8.575,8.35,8.106,0,35.3252916666667,,7.738,57.3061388888889,0,Be,,0,,1,V504 Per,7.487,1,0,B1IIIe-O9e,BeSS-Chen2019,1,,,,,,,1.0,1
80,11.01,12.15,10.74,10.2,8.340999603271484,8.361,8.341,8.324,0,32.3570833333333,,8.177,56.9917055555556,0,Be,,0,,1,V351 Per,8.09,1,0,B1IVe-B0.5,BeSS-Chen2019,1,,,,,,,1.0,1
81,11.57,12.41,12.05,10.42,8.277999877929688,8.356,8.278,8.149,0,302.660166666667,,7.8,35.87445,0,Be,,0,,1,HD 228104,7.593,1,0,B1IVpe-B1:IV:ep,BeSS-Chen2019,1,,,,,,,1.0,1
82,11.76,12.52,11.98,10.3,8.369999885559082,8.584,8.37,8.109,0,1.70125,,7.67,60.6002305555556,0,Be,,0,,1,BD+59 2829,7.387,1,0,B1Ve-B0,BeSS-Chen2019,1,,,,,,,1.0,1
83,11.8,12.62,10.71,10.14,8.166000366210938,8.299,8.166,8.083,0,39.7067916666667,,8.062,57.5913055555556,0,Be,,0,,1,HD 16264,8.055,1,0,B1Ve-B1:V:,BeSS-Chen2019,1,,,,,,,1.0,1
84,1.0,12.56,11.95,10.75,9.553999900817873,9.643,9.554,9.496,0,15.30025,,9.476,63.9539694444445,0,Be,,0,,1,BD+63 124,9.511,1,0,B1Ve-B1V,BeSS-Chen2019,1,,,,,,,1.0,1
