,a,b,f1
124,umag_gmag_Hamag,umag_Jmag_Hmag,0.6846473029045643
232,umag_gmag_Hmag,gmag_rmag_Jmag,0.6837606837606838
490,umag_rmag_Hmag,rmag_Hamag_Hmag,0.6836363636363636
536,umag_rmag_Kmag,rmag_Hamag_Kmag,0.6827458256029684
288,umag_gmag_Kmag,gmag_imag_Kmag,0.6825053995680345
385,umag_rmag_Hamag,gmag_imag_Kmag,0.682261208576998
898,umag_Jmag_Kmag,rmag_Jmag_Kmag,0.6819923371647509
812,umag_Hamag_Kmag,gmag_Hamag_Hmag,0.6818181818181818
214,umag_gmag_Hmag,umag_gmag_Kmag,0.6810344827586208
26,umag_gmag_rmag,gmag_imag_Jmag,0.6808510638297873
397,umag_rmag_Hamag,rmag_Hamag_Hmag,0.6808510638297873
427,umag_rmag_Jmag,gmag_rmag_Hmag,0.6807610993657506
349,umag_rmag_imag,rmag_Hamag_Hmag,0.6793103448275863
139,umag_gmag_Hamag,gmag_Jmag_Hmag,0.6790123456790125
775,umag_Hamag_Hmag,gmag_Hamag_Kmag,0.6777546777546777
355,umag_rmag_imag,imag_Hamag_Hmag,0.6769825918762089
356,umag_rmag_imag,imag_Hamag_Kmag,0.67578125
696,umag_imag_Kmag,gmag_Hamag_Kmag,0.67578125
380,umag_rmag_Hamag,gmag_rmag_Hmag,0.6756238003838771
346,umag_rmag_imag,rmag_imag_Hmag,0.674698795180723
773,umag_Hamag_Hmag,gmag_Hamag_Jmag,0.6745098039215686
858,umag_Jmag_Hmag,rmag_Hamag_Jmag,0.6733067729083666
491,umag_rmag_Hmag,rmag_Hamag_Kmag,0.6730038022813688
653,umag_imag_Hmag,gmag_Hamag_Jmag,0.6721311475409836
321,umag_rmag_imag,umag_imag_Hmag,0.6720321931589537
373,umag_rmag_Hamag,umag_Hamag_Kmag,0.6718446601941749
381,umag_rmag_Hamag,gmag_rmag_Kmag,0.6718146718146718
225,umag_gmag_Hmag,umag_Hamag_Hmag,0.670807453416149
372,umag_rmag_Hamag,umag_Hamag_Hmag,0.6706114398422091
324,umag_rmag_imag,umag_Hamag_Hmag,0.6705653021442496
