VPHAS-OB1,RAJ2000,DEJ2000,Rv,goodOB,EM,SUB,LUM,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,W1mag,W2mag,u-g,u-r,u-i,g-r,g-i,r-Ha,r-i,J-H,J-K,H-K,W1-W2
11182,165.370846,-61.139346,3.646,1,0,0,0,14.441,14.879,14.026,13.76,13.523,12.796,12.505,12.418,12.528,12.767,-0.438,0.415,0.918,0.853,1.356,0.266,0.503,0.291,0.378,0.087,-0.239
11186,165.09462,-61.439075,3.411,1,0,0,0,12.562,13.038,12.54,12.507,12.249,11.873,11.76,11.729,11.745,11.901,-0.476,0.022,0.313,0.498,0.789,0.033,0.291,0.113,0.144,0.031,-0.156
11187,166.130418,-60.310523,3.513,1,0,0,0,14.587,14.912,14.235,14.053,13.857,13.259,13.085,13.042,12.745,12.945,-0.325,0.352,0.73,0.677,1.055,0.182,0.378,0.174,0.217,0.043,-0.2
11191,165.428097,-61.096322,3.917,1,0,0,0,17.726,17.725,16.425,16.101,15.637,14.253,13.834,13.553,13.54,14.202,0.001,1.301,2.089,1.3,2.088,0.324,0.788,0.419,0.7,0.281,-0.662
11196,165.373824,-61.161366,3.964,1,0,0,0,17.522,17.148,15.511,15.14,14.542,12.748,12.118,11.868,11.662,11.695,0.374,2.011,2.98,1.637,2.606,0.371,0.969,0.63,0.88,0.25,-0.033
11207,165.092694,-61.479175,3.41,1,0,0,0,13.936,14.534,13.944,13.77,13.619,13.208,13.07,13.01,13.022,13.331,-0.598,-0.008,0.317,0.59,0.915,0.174,0.325,0.138,0.198,0.06,-0.309
11211,165.840927,-60.68147,3.638,1,0,0,0,17.729,17.456,16.08,15.743,15.274,13.887,13.49,13.293,13.279,13.606,0.273,1.649,2.455,1.376,2.182,0.337,0.806,0.397,0.594,0.197,-0.327
11220,166.333001,-60.137671,3.184,1,0,0,0,12.546,13.073,12.672,12.504,12.422,12.201,12.112,12.108,12.14,12.239,-0.527,-0.126,0.124,0.401,0.651,0.168,0.25,0.089,0.093,0.004,-0.099
11222,165.913437,-60.614213,3.569,1,0,0,0,14.952,15.135,14.055,13.774,13.442,12.409,12.162,12.003,11.891,11.942,-0.183,0.897,1.51,1.08,1.693,0.281,0.613,0.247,0.406,0.159,-0.051
11223,164.975529,-61.623258,3.413,1,0,0,0,15.306,15.647,14.822,14.556,14.297,13.608,13.433,13.297,13.482,13.717,-0.341,0.484,1.009,0.825,1.35,0.266,0.525,0.175,0.311,0.136,-0.235
11233,165.802624,-60.746541,3.727,1,0,0,0,16.319,15.854,14.089,13.679,13.083,11.247,10.726,10.409,10.139,10.023,0.465,2.23,3.236,1.765,2.771,0.41,1.006,0.521,0.838,0.317,0.116
11242,165.745742,-60.817254,3.411,1,0,0,0,13.459,13.782,13.139,12.946,12.76,12.274,12.099,12.019,11.8,11.814,-0.323,0.32,0.699,0.643,1.022,0.193,0.379,0.175,0.255,0.08,-0.014
11248,166.650086,-59.807882,3.644,1,0,0,0,15.361,15.57,14.461,14.206,13.869,12.925,12.552,12.375,12.449,12.55,-0.209,0.9,1.492,1.109,1.701,0.255,0.592,0.373,0.55,0.177,-0.101
11249,165.553854,-61.046592,4.151,1,0,0,0,14.729,14.698,13.186,12.736,12.265,10.577,10.027,9.673,9.336,9.184,0.031,1.543,2.464,1.512,2.433,0.45,0.921,0.55,0.904,0.354,0.152
